feature_column,source_metric,feature_type,lookback_steps,lookback_minutes,dataset_scope
lag_total_avg_active_gpus_0001,total_avg_active_gpus,lag,1,5,global_primary
lag_total_avg_active_gpus_0002,total_avg_active_gpus,lag,2,10,global_primary
lag_total_avg_active_gpus_0003,total_avg_active_gpus,lag,3,15,global_primary
lag_total_avg_active_gpus_0006,total_avg_active_gpus,lag,6,30,global_primary
lag_total_avg_active_gpus_0012,total_avg_active_gpus,lag,12,60,global_primary
lag_total_avg_active_gpus_0024,total_avg_active_gpus,lag,24,120,global_primary
lag_total_avg_active_gpus_0048,total_avg_active_gpus,lag,48,240,global_primary
lag_total_avg_active_gpus_0288,total_avg_active_gpus,lag,288,1440,global_primary
lag_total_avg_active_gpus_0576,total_avg_active_gpus,lag,576,2880,global_primary
lag_total_avg_active_gpus_2016,total_avg_active_gpus,lag,2016,10080,global_primary
lag_fixed_avg_active_gpus_F30_0001,fixed_avg_active_gpus_F30,lag,1,5,global_primary
lag_fixed_avg_active_gpus_F30_0002,fixed_avg_active_gpus_F30,lag,2,10,global_primary
lag_fixed_avg_active_gpus_F30_0003,fixed_avg_active_gpus_F30,lag,3,15,global_primary
lag_fixed_avg_active_gpus_F30_0006,fixed_avg_active_gpus_F30,lag,6,30,global_primary
lag_fixed_avg_active_gpus_F30_0012,fixed_avg_active_gpus_F30,lag,12,60,global_primary
lag_fixed_avg_active_gpus_F30_0024,fixed_avg_active_gpus_F30,lag,24,120,global_primary
lag_fixed_avg_active_gpus_F30_0048,fixed_avg_active_gpus_F30,lag,48,240,global_primary
lag_fixed_avg_active_gpus_F30_0288,fixed_avg_active_gpus_F30,lag,288,1440,global_primary
lag_fixed_avg_active_gpus_F30_0576,fixed_avg_active_gpus_F30,lag,576,2880,global_primary
lag_fixed_avg_active_gpus_F30_2016,fixed_avg_active_gpus_F30,lag,2016,10080,global_primary
lag_flexible_avg_active_gpus_F30_0001,flexible_avg_active_gpus_F30,lag,1,5,global_primary
lag_flexible_avg_active_gpus_F30_0002,flexible_avg_active_gpus_F30,lag,2,10,global_primary
lag_flexible_avg_active_gpus_F30_0003,flexible_avg_active_gpus_F30,lag,3,15,global_primary
lag_flexible_avg_active_gpus_F30_0006,flexible_avg_active_gpus_F30,lag,6,30,global_primary
lag_flexible_avg_active_gpus_F30_0012,flexible_avg_active_gpus_F30,lag,12,60,global_primary
lag_flexible_avg_active_gpus_F30_0024,flexible_avg_active_gpus_F30,lag,24,120,global_primary
lag_flexible_avg_active_gpus_F30_0048,flexible_avg_active_gpus_F30,lag,48,240,global_primary
lag_flexible_avg_active_gpus_F30_0288,flexible_avg_active_gpus_F30,lag,288,1440,global_primary
lag_flexible_avg_active_gpus_F30_0576,flexible_avg_active_gpus_F30,lag,576,2880,global_primary
lag_flexible_avg_active_gpus_F30_2016,flexible_avg_active_gpus_F30,lag,2016,10080,global_primary
lag_arriving_job_count_0001,arriving_job_count,lag,1,5,global_primary
lag_arriving_job_count_0002,arriving_job_count,lag,2,10,global_primary
lag_arriving_job_count_0003,arriving_job_count,lag,3,15,global_primary
lag_arriving_job_count_0006,arriving_job_count,lag,6,30,global_primary
lag_arriving_job_count_0012,arriving_job_count,lag,12,60,global_primary
lag_arriving_job_count_0024,arriving_job_count,lag,24,120,global_primary
lag_arriving_job_count_0048,arriving_job_count,lag,48,240,global_primary
lag_arriving_job_count_0288,arriving_job_count,lag,288,1440,global_primary
lag_arriving_job_count_0576,arriving_job_count,lag,576,2880,global_primary
lag_arriving_job_count_2016,arriving_job_count,lag,2016,10080,global_primary
lag_arriving_requested_gpus_0001,arriving_requested_gpus,lag,1,5,global_primary
lag_arriving_requested_gpus_0002,arriving_requested_gpus,lag,2,10,global_primary
lag_arriving_requested_gpus_0003,arriving_requested_gpus,lag,3,15,global_primary
lag_arriving_requested_gpus_0006,arriving_requested_gpus,lag,6,30,global_primary
lag_arriving_requested_gpus_0012,arriving_requested_gpus,lag,12,60,global_primary
lag_arriving_requested_gpus_0024,arriving_requested_gpus,lag,24,120,global_primary
lag_arriving_requested_gpus_0048,arriving_requested_gpus,lag,48,240,global_primary
lag_arriving_requested_gpus_0288,arriving_requested_gpus,lag,288,1440,global_primary
lag_arriving_requested_gpus_0576,arriving_requested_gpus,lag,576,2880,global_primary
lag_arriving_requested_gpus_2016,arriving_requested_gpus,lag,2016,10080,global_primary
lag_arriving_flexible_gpu_hours_F30_0001,arriving_flexible_gpu_hours_F30,lag,1,5,global_primary
lag_arriving_flexible_gpu_hours_F30_0002,arriving_flexible_gpu_hours_F30,lag,2,10,global_primary
