target_column,source_metric,target_type,horizon_steps,horizon_minutes,primary_role,dataset_scope
target_fixed_avg_active_gpus_F30_h03,fixed_avg_active_gpus_F30,point_at_horizon,3,15,primary,global_primary
target_total_avg_active_gpus_h03,total_avg_active_gpus,point_at_horizon,3,15,comparison,global_primary
target_flexible_avg_active_gpus_F30_h03,flexible_avg_active_gpus_F30,point_at_horizon,3,15,comparison,global_primary
target_arriving_flexible_gpu_hours_F30_h03,arriving_flexible_gpu_hours_F30,point_at_horizon,3,15,comparison,global_primary
target_cumulative_arriving_flexible_gpu_hours_F30_h03,arriving_flexible_gpu_hours_F30,cumulative_next_horizon,3,15,primary,global_primary
target_fixed_avg_active_gpus_F30_h06,fixed_avg_active_gpus_F30,point_at_horizon,6,30,primary,global_primary
target_total_avg_active_gpus_h06,total_avg_active_gpus,point_at_horizon,6,30,comparison,global_primary
target_flexible_avg_active_gpus_F30_h06,flexible_avg_active_gpus_F30,point_at_horizon,6,30,comparison,global_primary
target_arriving_flexible_gpu_hours_F30_h06,arriving_flexible_gpu_hours_F30,point_at_horizon,6,30,comparison,global_primary
target_cumulative_arriving_flexible_gpu_hours_F30_h06,arriving_flexible_gpu_hours_F30,cumulative_next_horizon,6,30,primary,global_primary
target_fixed_avg_active_gpus_F30_h12,fixed_avg_active_gpus_F30,point_at_horizon,12,60,primary,global_primary
target_total_avg_active_gpus_h12,total_avg_active_gpus,point_at_horizon,12,60,comparison,global_primary
target_flexible_avg_active_gpus_F30_h12,flexible_avg_active_gpus_F30,point_at_horizon,12,60,comparison,global_primary
target_arriving_flexible_gpu_hours_F30_h12,arriving_flexible_gpu_hours_F30,point_at_horizon,12,60,comparison,global_primary
target_cumulative_arriving_flexible_gpu_hours_F30_h12,arriving_flexible_gpu_hours_F30,cumulative_next_horizon,12,60,primary,global_primary
target_fixed_avg_active_gpus_F30_h24,fixed_avg_active_gpus_F30,point_at_horizon,24,120,primary,global_primary
target_total_avg_active_gpus_h24,total_avg_active_gpus,point_at_horizon,24,120,comparison,global_primary
target_flexible_avg_active_gpus_F30_h24,flexible_avg_active_gpus_F30,point_at_horizon,24,120,comparison,global_primary
target_arriving_flexible_gpu_hours_F30_h24,arriving_flexible_gpu_hours_F30,point_at_horizon,24,120,comparison,global_primary
target_cumulative_arriving_flexible_gpu_hours_F30_h24,arriving_flexible_gpu_hours_F30,cumulative_next_horizon,24,120,primary,global_primary
target_fixed_avg_active_gpus_F30_h48,fixed_avg_active_gpus_F30,point_at_horizon,48,240,primary,global_primary
target_total_avg_active_gpus_h48,total_avg_active_gpus,point_at_horizon,48,240,comparison,global_primary
target_flexible_avg_active_gpus_F30_h48,flexible_avg_active_gpus_F30,point_at_horizon,48,240,comparison,global_primary
target_arriving_flexible_gpu_hours_F30_h48,arriving_flexible_gpu_hours_F30,point_at_horizon,48,240,comparison,global_primary
target_cumulative_arriving_flexible_gpu_hours_F30_h48,arriving_flexible_gpu_hours_F30,cumulative_next_horizon,48,240,primary,global_primary
