target_column,method,scale,event_threshold
target_cumulative_arriving_flexible_gpu_hours_F30_h03,hurdle_log_l1,0.5,0.05
target_cumulative_arriving_flexible_gpu_hours_F30_h03,hurdle_log_l2,0.5,0.05
target_cumulative_arriving_flexible_gpu_hours_F30_h03,tweedie_1.1,0.5,0.05
target_cumulative_arriving_flexible_gpu_hours_F30_h03,tweedie_1.3,0.5,0.05
target_cumulative_arriving_flexible_gpu_hours_F30_h03,tweedie_1.5,0.5,0.05
target_cumulative_arriving_flexible_gpu_hours_F30_h03,tweedie_1.7,0.5,0.05
target_cumulative_arriving_flexible_gpu_hours_F30_h06,hurdle_log_l1,0.5,0.05
target_cumulative_arriving_flexible_gpu_hours_F30_h06,hurdle_log_l2,0.5,0.05
target_cumulative_arriving_flexible_gpu_hours_F30_h06,tweedie_1.1,0.5,0.05
target_cumulative_arriving_flexible_gpu_hours_F30_h06,tweedie_1.3,0.5,0.05
target_cumulative_arriving_flexible_gpu_hours_F30_h06,tweedie_1.5,0.5,0.05
target_cumulative_arriving_flexible_gpu_hours_F30_h06,tweedie_1.7,0.5,0.05
target_cumulative_arriving_flexible_gpu_hours_F30_h12,hurdle_log_l1,0.5,0.05
target_cumulative_arriving_flexible_gpu_hours_F30_h12,hurdle_log_l2,0.5,0.05
target_cumulative_arriving_flexible_gpu_hours_F30_h12,tweedie_1.1,0.5,0.05
target_cumulative_arriving_flexible_gpu_hours_F30_h12,tweedie_1.3,0.5,0.05
target_cumulative_arriving_flexible_gpu_hours_F30_h12,tweedie_1.5,0.5,0.05
target_cumulative_arriving_flexible_gpu_hours_F30_h12,tweedie_1.7,0.5,0.05
target_cumulative_arriving_flexible_gpu_hours_F30_h24,hurdle_log_l1,0.5,0.1
target_cumulative_arriving_flexible_gpu_hours_F30_h24,hurdle_log_l2,0.5,0.1
target_cumulative_arriving_flexible_gpu_hours_F30_h24,tweedie_1.1,0.5,0.1
target_cumulative_arriving_flexible_gpu_hours_F30_h24,tweedie_1.3,0.5,0.1
target_cumulative_arriving_flexible_gpu_hours_F30_h24,tweedie_1.5,0.5,0.1
target_cumulative_arriving_flexible_gpu_hours_F30_h24,tweedie_1.7,0.5,0.1
target_cumulative_arriving_flexible_gpu_hours_F30_h48,hurdle_log_l1,0.5,0.1
target_cumulative_arriving_flexible_gpu_hours_F30_h48,hurdle_log_l2,0.5,0.1
target_cumulative_arriving_flexible_gpu_hours_F30_h48,tweedie_1.1,0.5,0.1
target_cumulative_arriving_flexible_gpu_hours_F30_h48,tweedie_1.3,0.5,0.1
target_cumulative_arriving_flexible_gpu_hours_F30_h48,tweedie_1.5,0.5,0.1
target_cumulative_arriving_flexible_gpu_hours_F30_h48,tweedie_1.7,0.5,0.1
