target_column,family,selected_method,selection_metric,selected_validation_asymmetric_loss,selected_validation_mae,zero_baseline_asymmetric_loss,structured_beats_zero_operational_loss,persistence_mae
target_cumulative_arriving_flexible_gpu_hours_F30_h03,flexible,tweedie_1.7,asymmetric_loss_under_2x_among_structured_models,21.58086363893799,11.06951151016901,21.131546617445057,False,
target_cumulative_arriving_flexible_gpu_hours_F30_h06,flexible,tweedie_1.7,asymmetric_loss_under_2x_among_structured_models,42.95422302391221,22.002637391905278,42.263093234890114,False,
target_cumulative_arriving_flexible_gpu_hours_F30_h12,flexible,tweedie_1.7,asymmetric_loss_under_2x_among_structured_models,85.40698242901298,43.646617669036324,84.52618646978023,False,
target_cumulative_arriving_flexible_gpu_hours_F30_h24,flexible,tweedie_1.7,asymmetric_loss_under_2x_among_structured_models,169.8666713567297,86.80228414499481,169.0293866376679,False,
target_cumulative_arriving_flexible_gpu_hours_F30_h48,flexible,tweedie_1.7,asymmetric_loss_under_2x_among_structured_models,336.4182860584099,171.42271062323863,337.19101815285404,True,
target_fixed_avg_active_gpus_F30_h03,fixed,persistence,mae_with_persistence_fallback,,5.251229967948717,,,5.251229967948717
target_fixed_avg_active_gpus_F30_h06,fixed,residual_l1,mae_with_persistence_fallback,,7.662557659420153,,,7.718492349664224
target_fixed_avg_active_gpus_F30_h12,fixed,residual_l1,mae_with_persistence_fallback,,11.290507657513661,,,11.45463436736874
target_fixed_avg_active_gpus_F30_h24,fixed,residual_l1,mae_with_persistence_fallback,,15.671945087578777,,,16.24436555631868
target_fixed_avg_active_gpus_F30_h48,fixed,residual_l1,mae_with_persistence_fallback,,21.107928248417537,,,22.44852048992674
