role,model,N,burst_N,eta,ROC_AUC,PR_AUC,Brier,ECE,TP,FN,TN,FP,recall,precision,specificity,FNR,FPR,GPUh_weighted_recall,captured_burst_GPUh,captured_burst_GPUh_fraction,missed_burst_GPUh,mean_missed_burst_GPUh,flagged_fraction,gate_PASS
DEVELOPMENT,C0,5568,251,0.024575848303393214,0.5,0.045079022988505746,0.04346728484707577,0.020503174685112525,251,0,0,5317,1.0,0.045079022988505746,0.0,0.0,1.0,1.0,261830.87722222222,1.0,0.0,0.0,1.0,True
CALIBRATION,C0,2496,151,0.024575848303393214,0.5,0.06049679487179487,0.05812724708440482,0.035920946568401654,151,0,0,2345,1.0,0.06049679487179487,0.0,0.0,1.0,1.0,215302.5677777778,1.0,0.0,0.0,1.0,True
EXPOSED_EVALUATION,C0,8448,418,0.024575848303393214,0.5,0.049479166666666664,0.04765115399814146,0.02490331836327345,418,0,0,8030,1.0,0.049479166666666664,0.0,0.0,1.0,1.0,539579.5461111113,1.0,0.0,0.0,1.0,True
DEVELOPMENT,C1,5568,251,0.01896092008046093,0.6294266230170535,0.07017192193409443,0.04328867531162247,0.023078596313467037,159,92,2921,2396,0.6334661354581673,0.06223091976516634,0.549369945457965,0.3665338645418327,0.450630054542035,0.6691748682836679,175210.64277777777,0.6691748682836679,86620.23444444445,941.5242874396135,0.4588721264367816,False
CALIBRATION,C1,2496,151,0.01896092008046093,0.7006255383442297,0.12071553066887598,0.056604700560910694,0.02640484584076947,137,14,774,1571,0.9072847682119205,0.08021077283372366,0.3300639658848614,0.09271523178807947,0.6699360341151386,0.9030886538789331,194437.3061111111,0.9030886538789331,20865.261666666687,1490.375833333333,0.6842948717948718,True
EXPOSED_EVALUATION,C1,8448,418,0.01896092008046093,0.6585892019758441,0.08022482210210852,0.048275588278980486,0.021934261176466765,353,65,3200,4830,0.8444976076555024,0.06810727377966429,0.398505603985056,0.15550239234449761,0.6014943960149439,0.8761901894347712,472774.3047222225,0.8761901894347712,66805.2413888888,1027.7729444444449,0.6135179924242424,False
DEVELOPMENT,C2,5568,251,0.014994726525260045,0.6185170920605709,0.06761133990590465,0.04328713811136412,0.022586824453198092,183,68,2476,2841,0.7290836653386454,0.060515873015873016,0.46567613315779577,0.27091633466135456,0.5343238668422042,0.7032662192657658,184136.81111111114,0.7032662192657658,77694.06611111108,1142.5597957516343,0.5431034482758621,False
CALIBRATION,C2,2496,151,0.014994726525260045,0.6951510187943915,0.10566162671128637,0.05691261898509803,0.0332089845831928,139,12,715,1630,0.9205298013245033,0.07857546636517806,0.3049040511727079,0.07947019867549669,0.6950959488272921,0.9221995331933673,198551.92750000002,0.9221995331933673,16750.64027777777,1395.8866898148144,0.7087339743589743,True
EXPOSED_EVALUATION,C2,8448,418,0.014994726525260045,0.654657176735567,0.08060504371811075,0.04692774774605899,0.020810544875244256,341,77,3124,4906,0.8157894736842105,0.0649895178197065,0.38904109589041097,0.18421052631578946,0.6109589041095891,0.8920278923594773,481320.005277778,0.8920278923594773,58259.540833333274,756.6174134199133,0.62109375,False
DEVELOPMENT,C3,5568,251,0.01638961397111416,0.6095471415073204,0.06278765587773848,0.043420629923251165,0.023518177352834964,171,80,2620,2697,0.6812749003984063,0.0596234309623431,0.49275907466616514,0.3187250996015936,0.5072409253338349,0.6528348391318138,170932.31861111114,0.6528348391318138,90898.55861111108,1136.2319826388887,0.5150862068965517,False
CALIBRATION,C3,2496,151,0.01638961397111416,0.6965898981911633,0.10163718013518605,0.05715365171476142,0.03608218532724258,138,13,853,1492,0.9139072847682119,0.08466257668711656,0.36375266524520256,0.08609271523178808,0.6362473347547974,0.9373330472897131,201810.21194444445,0.9373330472897131,13492.355833333335,1037.8735256410257,0.6530448717948718,True
EXPOSED_EVALUATION,C3,8448,418,0.01638961397111416,0.6584295137254434,0.08749870492042937,0.04685901853996091,0.02227746563497049,323,95,3630,4400,0.7727272727272727,0.06838873597289859,0.4520547945205479,0.22727272727272727,0.547945205479452,0.8296931722196709,447685.4652777781,0.8296931722196709,91894.0808333332,967.3061140350875,0.5590672348484849,False
