track,role,u_hours,body,classifier,policy,eta,status,requested_denominator,overall_coverage,GPU_coverage,underpredicted_job_count,positive_residual_seconds,GPU_positive_miss,overreservation_GPU_hours,P95_overreservation_job_sec,completion_slot_MAE,body_miss_sec,tail_miss_sec,flagged_fraction,fallback_use_rate,GPU_mass_ratio,overreservation_ratio,body_gate,tail_gate,selectivity_gate,hybrid_coverage_gate,underprediction_improvement_gate,overreservation_gate,temporal_gate,PASS_gate,reference_only_gate
P,DEVELOPMENT,4,B0,C0,R0,,NOT_EXECUTED_NO_CAL_ELIGIBLE_ETA,4346,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,True
P,DEVELOPMENT,4,B0,C0,R1,,NOT_EXECUTED_NO_CAL_ELIGIBLE_ETA,4346,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,True
P,DEVELOPMENT,4,B0,C0,R2,,NOT_EXECUTED_NO_CAL_ELIGIBLE_ETA,4346,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,True
P,DEVELOPMENT,4,B0,C1,R0,,NOT_EXECUTED_NO_CAL_ELIGIBLE_ETA,4346,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,True
P,DEVELOPMENT,4,B0,C1,R1,,NOT_EXECUTED_NO_CAL_ELIGIBLE_ETA,4346,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,True
P,DEVELOPMENT,4,B0,C1,R2,,NOT_EXECUTED_NO_CAL_ELIGIBLE_ETA,4346,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,True
P,DEVELOPMENT,4,B0,C2,R0,,NOT_EXECUTED_NO_CAL_ELIGIBLE_ETA,4346,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,True
P,DEVELOPMENT,4,B0,C2,R1,,NOT_EXECUTED_NO_CAL_ELIGIBLE_ETA,4346,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,True
P,DEVELOPMENT,4,B0,C2,R2,,NOT_EXECUTED_NO_CAL_ELIGIBLE_ETA,4346,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,True
P,DEVELOPMENT,4,B0,C3,R0,,NOT_EXECUTED_NO_CAL_ELIGIBLE_ETA,4346,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,True
P,DEVELOPMENT,4,B0,C3,R1,,NOT_EXECUTED_NO_CAL_ELIGIBLE_ETA,4346,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,True
P,DEVELOPMENT,4,B0,C3,R2,,NOT_EXECUTED_NO_CAL_ELIGIBLE_ETA,4346,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,True
P,DEVELOPMENT,4,B1,C0,R0,,NOT_EXECUTED_NO_CAL_ELIGIBLE_ETA,4346,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,
P,DEVELOPMENT,4,B1,C0,R1,,NOT_EXECUTED_NO_CAL_ELIGIBLE_ETA,4346,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,
P,DEVELOPMENT,4,B1,C0,R2,,NOT_EXECUTED_NO_CAL_ELIGIBLE_ETA,4346,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,
