N,coverage,GPU_coverage,underprediction_rate,positive_residual_mean_sec,positive_residual_P95_sec,positive_residual_max_sec,MAE_sec,WAPE,log_MAE,completion_slot_MAE,positive_error_sec,GPU_underprediction_sec,overreservation_GPU_hours,overreservation_P95_sec,track,role,u_hours,body,group,Q50_MAE_sec,Q50_WAPE,Q50_pinball,raw_Q90_MAE_sec,overconservative_warning,coverage_gate,GPU_gate,coverage_min,coverage_max
2554,0.9949099451840251,0.9748853461454466,0.005090054815974941,9.71799939184704,0.0,3681.5901489257812,34901.88796351828,12.098292663699985,4.535616382921225,38.49060297572436,24819.770446777344,230625.77044677734,41704.05340399848,42503.87109375,PW,DEVELOPMENT,4,B0,OVERALL,29415.14988227001,10.19638514667987,14707.574941135004,34901.88796351828,True,FAIL,PASS,0.9,0.95
568,1.0,1.0,0.0,0.0,0.0,0.0,39821.57562169895,6.715252204519497,2.488779002726721,43.96302816901409,0.0,0.0,11796.967527126737,41599.23046875,PW,DEVELOPMENT,4,B0,2025-03-22,34245.12640294895,5.774875980701854,17122.563201474473,39821.57562169895,True,PASS,PASS,0.88,1.0
242,1.0,1.0,0.0,0.0,0.0,0.0,32084.903562435433,6.014561792180206,2.4258065606578705,35.36776859504132,0.0,0.0,4883.396475694444,41479.23046875,PW,DEVELOPMENT,4,B0,2025-03-23,26833.74218321733,5.030191228791792,13416.871091608666,32084.903562435433,True,PASS,PASS,0.88,1.0
702,1.0,1.0,0.0,0.0,0.0,0.0,40056.566651086185,18.564785822129096,3.481105082005749,44.25925925925926,0.0,0.0,15622.060993923611,41481.23046875,PW,DEVELOPMENT,4,B0,2025-03-24,34480.117432336185,15.980301078445612,17240.058716168092,40056.566651086185,True,PASS,PASS,0.88,1.0
79,1.0,1.0,0.0,0.0,0.0,0.0,33105.03565071202,3.5203758988808094,2.0278619443179715,37.075949367088604,0.0,0.0,726.4716156684028,42371.27109375,PW,DEVELOPMENT,4,B0,2025-03-25,27528.586431962027,2.9273785785290944,13764.293215981013,33105.03565071202,True,INSUFFICIENT_SUPPORT,INSUFFICIENT_SUPPORT,0.88,1.0
109,1.0,1.0,0.0,0.0,0.0,0.0,9731.39669491829,220.9377712447602,5.963529821825301,10.128440366972477,0.0,0.0,294.64506659613716,55192.51796875,PW,DEVELOPMENT,4,B0,2025-03-26,4154.947476168291,94.33227971304807,2077.4737380841457,9731.39669491829,True,PASS,PASS,0.88,1.0
130,0.9615384615384616,0.7213930348258707,0.038461538461538464,53.05384615384615,0.0,2718.0,9900.298501352163,28.181891549536473,5.400204641541675,10.438461538461539,6897.0,109800.0,397.6277510579427,55165.967968749996,PW,DEVELOPMENT,4,B0,2025-03-27,4720.8341313288765,13.438184262251285,2360.4170656644383,9900.298501352163,False,PASS,FAIL,0.88,1.0
142,0.9436619718309859,0.7293577981651376,0.056338028169014086,126.21669328716439,21.84999999999974,3681.5901489257812,10605.802042786505,16.889166770314155,5.158652165392583,11.26056338028169,17922.770446777344,120825.77044677734,478.2305917697483,54863.11796875,PW,DEVELOPMENT,4,B0,2025-03-28,5642.713911889305,8.98571705474068,2821.3569559446523,10605.802042786505,False,PASS,FAIL,0.88,1.0
535,1.0,1.0,0.0,0.0,0.0,0.0,42034.14161799065,675.1408257715632,8.92208858937907,46.4803738317757,0.0,0.0,6369.958158637152,42503.87109375,PW,DEVELOPMENT,4,B0,2025-03-29,36473.943022597836,585.8344446572952,18236.971511298918,42034.14161799065,True,PASS,PASS,0.88,1.0
47,1.0,1.0,0.0,0.0,0.0,0.0,35726.84973404255,6.035982118464945,2.584220485122235,39.340425531914896,0.0,0.0,1134.6952235243054,41859.030468749996,PW,DEVELOPMENT,4,B0,2025-03-30,30214.2983813996,5.104647236174229,15107.1491906998,35726.84973404255,True,INSUFFICIENT_SUPPORT,INSUFFICIENT_SUPPORT,0.88,1.0
989,0.9969666329625885,0.9969666329625885,0.003033367037411527,11.148402878440185,0.0,3681.5901489257812,31872.611244625943,27.828060159272862,7.086528264588448,35.097067745197165,11025.770446777344,11025.770446777344,8753.051875135634,54657.91796875,PW,DEVELOPMENT,4,B0,GPU_1,26366.80583818858,23.020927072509455,13183.40291909429,31872.611244625943,True,PASS,PASS,0.88,1.0
1549,0.9974176888315042,0.9949968730456535,0.0025823111684958036,0.05939315687540349,0.0,23.0,37130.308857276876,9.263313528906055,2.931928161871735,40.98192382182053,92.0,368.0,32310.552101779514,41480.23046875,PW,DEVELOPMENT,4,B0,GPU_2_4,31609.1274464449,7.8858826366639345,15804.56372322245,37130.308857276876,True,PASS,PASS,0.88,1.0
16,0.625,0.7551020408163265,0.375,856.375,2718.0,2718.0,6410.057373046875,3.89861702089748,2.114441597719751,7.0625,13702.0,219232.0,640.4494270833334,28402.1552734375,PW,DEVELOPMENT,4,B0,GPU_5_PLUS,5436.463175371289,3.3064739729327033,2718.2315876856446,6410.057373046875,False,INSUFFICIENT_SUPPORT,INSUFFICIENT_SUPPORT,0.88,1.0
2554,0.9678935003915426,0.9672417558418869,0.03210649960845732,40.872061710936194,0.0,3248.9574330450396,9357.428631900457,3.2436328454996706,3.573407308298371,10.31832419733751,104387.24560973104,207577.2364288778,11030.84707893658,13594.16530694678,PW,DEVELOPMENT,4,B1,OVERALL,7323.896522640473,2.5387349722220325,3661.9482613202367,9357.428631900457,False,FAIL,PASS,0.9,0.95
568,0.9330985915492958,0.9360936093609361,0.06690140845070422,85.2688953964075,351.60743304503956,3248.9574330450396,5448.420585481507,0.9187863055792149,1.1289705109460275,6.262323943661972,48432.73258515946,95552.32787564577,1681.2819080876018,10373.04256695496,PW,DEVELOPMENT,4,B1,2025-03-22,3648.809173340616,0.6153115104715978,1824.404586670308,5448.420585481507,False,PASS,PASS,0.88,1.0
242,0.9545454545454546,0.9625167336010709,0.045454545454545456,75.9077188775419,0.0,3008.9574330450396,6021.790614337389,1.128830936924089,1.4124254338692026,6.822314049586777,18369.66796836514,40335.35294473992,1510.2775655434095,11500.84322864194,PW,DEVELOPMENT,4,B1,2025-03-23,3982.7365592673723,0.7465945811890891,1991.3682796336861,6021.790614337389,False,PASS,PASS,0.88,1.0
702,0.9886039886039886,0.9886039886039886,0.011396011396011397,19.47308043513756,0.0,3008.9574330450396,9310.997779180552,4.315314416896472,2.1776338109964146,10.301994301994302,13670.102465466567,27340.204930933134,3623.6946325107124,10736.468733437252,PW,DEVELOPMENT,4,B1,2025-03-24,5828.7467174238955,2.701415609654564,2914.3733587119477,9310.997779180552,True,PASS,PASS,0.88,1.0
79,0.810126582278481,0.810126582278481,0.189873417721519,44.05233549266754,363.7756335947157,485.6756335947157,4551.593594352645,0.4840145940369859,0.9139566516747212,5.075949367088608,3480.1345039207354,3480.1345039207354,98.9154887360939,13729.724366405284,PW,DEVELOPMENT,4,B1,2025-03-25,4287.899517441937,0.45597347416542,2143.9497587209685,4551.593594352645,False,INSUFFICIENT_SUPPORT,INSUFFICIENT_SUPPORT,0.88,1.0
109,1.0,1.0,0.0,0.0,0.0,0.0,13316.783925374144,302.33898101765914,6.583067006111842,13.990825688073395,0.0,0.0,403.2026244071616,13386.416262199833,PW,DEVELOPMENT,4,B1,2025-03-26,11945.975051859485,271.2166799943103,5972.987525929742,13316.783925374144,True,PASS,PASS,0.88,1.0
