track,u_hours,body,classifier,role,N,tail_N,prevalence,ROC_AUC,PR_AUC,Brier,ECE,eta,selectivity_limit,recall,precision,specificity,FNR,FPR,GPU_recall,GPU_FNR,mass_capture,flagged_fraction
PW,4,B0,C0,DEVELOPMENT,4346,1792,0.41233317993557295,0.5,0.41233317993557295,0.24561097864337256,0.057414719224090915,,0.6,,,,,,,,,
PW,4,B0,C1,DEVELOPMENT,4346,1792,0.41233317993557295,0.8020591168265465,0.7157117883264661,0.15375083662521097,0.22713360438758606,,0.6,,,,,,,,,
PW,4,B0,C2,DEVELOPMENT,4346,1792,0.41233317993557295,0.7547818679032889,0.6643392806945233,0.23237526752085105,0.17112673801164294,,0.6,,,,,,,,,
PW,4,B0,C3,DEVELOPMENT,4346,1792,0.41233317993557295,0.6298476348375097,0.5733990191046946,0.21377265069294732,0.3071635345736792,,0.6,,,,,,,,,
PW,4,B1,C0,DEVELOPMENT,4346,1792,0.41233317993557295,0.5,0.41233317993557295,0.24561097864337256,0.057414719224090915,,0.6,,,,,,,,,
PW,4,B1,C1,DEVELOPMENT,4346,1792,0.41233317993557295,0.8020591168265465,0.7157117883264661,0.15375083662521097,0.22713360438758606,,0.6,,,,,,,,,
PW,4,B1,C2,DEVELOPMENT,4346,1792,0.41233317993557295,0.7547818679032889,0.6643392806945233,0.23237526752085105,0.17112673801164294,,0.6,,,,,,,,,
PW,4,B1,C3,DEVELOPMENT,4346,1792,0.41233317993557295,0.6298476348375097,0.5733990191046946,0.21377265069294732,0.3071635345736792,,0.6,,,,,,,,,
PW,4,B2,C0,DEVELOPMENT,4346,1792,0.41233317993557295,0.5,0.41233317993557295,0.24561097864337256,0.057414719224090915,,0.6,,,,,,,,,
PW,4,B2,C1,DEVELOPMENT,4346,1792,0.41233317993557295,0.8020591168265465,0.7157117883264661,0.15375083662521097,0.22713360438758606,,0.6,,,,,,,,,
PW,4,B2,C2,DEVELOPMENT,4346,1792,0.41233317993557295,0.7547818679032889,0.6643392806945233,0.23237526752085105,0.17112673801164294,,0.6,,,,,,,,,
PW,4,B2,C3,DEVELOPMENT,4346,1792,0.41233317993557295,0.6298476348375097,0.5733990191046946,0.21377265069294732,0.3071635345736792,,0.6,,,,,,,,,
PW,4,B3,C0,DEVELOPMENT,4346,1792,0.41233317993557295,0.5,0.41233317993557295,0.24561097864337256,0.057414719224090915,,0.6,,,,,,,,,
PW,4,B3,C1,DEVELOPMENT,4346,1792,0.41233317993557295,0.8020591168265465,0.7157117883264661,0.15375083662521097,0.22713360438758606,,0.6,,,,,,,,,
PW,4,B3,C2,DEVELOPMENT,4346,1792,0.41233317993557295,0.7547818679032889,0.6643392806945233,0.23237526752085105,0.17112673801164294,,0.6,,,,,,,,,
PW,4,B3,C3,DEVELOPMENT,4346,1792,0.41233317993557295,0.6298476348375097,0.5733990191046946,0.21377265069294732,0.3071635345736792,,0.6,,,,,,,,,
PW,4,B0,C0,CALIBRATION,2634,574,0.21791951404707668,0.5,0.21791951404707668,0.23384813499297616,0.2518283851125871,,0.6,,,,,,,,,
PW,4,B0,C1,CALIBRATION,2634,574,0.21791951404707668,0.598611768884679,0.35866656848281614,0.28824812083857115,0.314134877497574,,0.6,,,,,,,,,
PW,4,B0,C2,CALIBRATION,2634,574,0.21791951404707668,0.7186051723554683,0.4818006347203323,0.2970902553738231,0.3716469827125189,,0.6,,,,,,,,,
PW,4,B0,C3,CALIBRATION,2634,574,0.21791951404707668,0.5705088630289907,0.2599727462639571,0.2965892788986506,0.3547572553972448,,0.6,,,,,,,,,
PW,4,B1,C0,CALIBRATION,2634,574,0.21791951404707668,0.5,0.21791951404707668,0.23384813499297616,0.2518283851125871,,0.6,,,,,,,,,
PW,4,B1,C1,CALIBRATION,2634,574,0.21791951404707668,0.598611768884679,0.35866656848281614,0.28824812083857115,0.314134877497574,,0.6,,,,,,,,,
PW,4,B1,C2,CALIBRATION,2634,574,0.21791951404707668,0.7186051723554683,0.4818006347203323,0.2970902553738231,0.3716469827125189,,0.6,,,,,,,,,
PW,4,B1,C3,CALIBRATION,2634,574,0.21791951404707668,0.5705088630289907,0.2599727462639571,0.2965892788986506,0.3547572553972448,,0.6,,,,,,,,,
PW,4,B2,C0,CALIBRATION,2634,574,0.21791951404707668,0.5,0.21791951404707668,0.23384813499297616,0.2518283851125871,,0.6,,,,,,,,,
PW,4,B2,C1,CALIBRATION,2634,574,0.21791951404707668,0.598611768884679,0.35866656848281614,0.28824812083857115,0.314134877497574,,0.6,,,,,,,,,
PW,4,B2,C2,CALIBRATION,2634,574,0.21791951404707668,0.7186051723554683,0.4818006347203323,0.2970902553738231,0.3716469827125189,,0.6,,,,,,,,,
PW,4,B2,C3,CALIBRATION,2634,574,0.21791951404707668,0.5705088630289907,0.2599727462639571,0.2965892788986506,0.3547572553972448,,0.6,,,,,,,,,
