target_day,policy,legacy_reason,V41_DA_decision_authority,realized_runtime_available,realized_workload_available,realized_grid_inputs_available,realized_traffic_available,V41_actual_replay_status,execution_status
2025-05-02,B0,OLD_CONTRACT_COUNTERFACTUAL_AUTHORITY_UNRESOLVED,frozen_artifacts/v41_may_campaign/2025-05-02/B0/dayahead/freeze_receipt.json,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,DEFINED_BY_COUNTERFACTUAL_REPLAY,NOT_RUN
2025-05-02,B1,OLD_CONTRACT_COUNTERFACTUAL_AUTHORITY_UNRESOLVED,frozen_artifacts/v41_may_campaign/2025-05-02/B1/dayahead/freeze_receipt.json,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,DEFINED_BY_COUNTERFACTUAL_REPLAY,NOT_RUN
2025-05-02,B2,OLD_CONTRACT_COUNTERFACTUAL_AUTHORITY_UNRESOLVED,frozen_artifacts/v41_may_campaign/2025-05-02/B2/dayahead/freeze_receipt.json,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,DEFINED_BY_COUNTERFACTUAL_REPLAY,NOT_RUN
2025-05-02,B3,OLD_CONTRACT_COUNTERFACTUAL_AUTHORITY_UNRESOLVED,frozen_artifacts/v41_may_campaign/2025-05-02/B3/dayahead/freeze_receipt.json,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,DEFINED_BY_COUNTERFACTUAL_REPLAY,NOT_RUN
2025-05-03,B0,OLD_CONTRACT_COUNTERFACTUAL_AUTHORITY_UNRESOLVED,frozen_artifacts/v41_may_campaign/2025-05-03/B0/dayahead/freeze_receipt.json,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,DEFINED_BY_COUNTERFACTUAL_REPLAY,NOT_RUN
2025-05-03,B1,OLD_CONTRACT_COUNTERFACTUAL_AUTHORITY_UNRESOLVED,frozen_artifacts/v41_may_campaign/2025-05-03/B1/dayahead/freeze_receipt.json,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,DEFINED_BY_COUNTERFACTUAL_REPLAY,NOT_RUN
2025-05-03,B2,OLD_CONTRACT_COUNTERFACTUAL_AUTHORITY_UNRESOLVED,frozen_artifacts/v41_may_campaign/2025-05-03/B2/dayahead/freeze_receipt.json,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,DEFINED_BY_COUNTERFACTUAL_REPLAY,NOT_RUN
2025-05-03,B3,OLD_CONTRACT_COUNTERFACTUAL_AUTHORITY_UNRESOLVED,frozen_artifacts/v41_may_campaign/2025-05-03/B3/dayahead/freeze_receipt.json,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,DEFINED_BY_COUNTERFACTUAL_REPLAY,NOT_RUN
2025-05-05,B0,OLD_CONTRACT_COUNTERFACTUAL_AUTHORITY_UNRESOLVED,frozen_artifacts/v41_may_campaign/2025-05-05/B0/dayahead/freeze_receipt.json,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,DEFINED_BY_COUNTERFACTUAL_REPLAY,NOT_RUN
2025-05-05,B1,OLD_CONTRACT_COUNTERFACTUAL_AUTHORITY_UNRESOLVED,frozen_artifacts/v41_may_campaign/2025-05-05/B1/dayahead/freeze_receipt.json,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,DEFINED_BY_COUNTERFACTUAL_REPLAY,NOT_RUN
2025-05-05,B2,OLD_CONTRACT_COUNTERFACTUAL_AUTHORITY_UNRESOLVED,frozen_artifacts/v41_may_campaign/2025-05-05/B2/dayahead/freeze_receipt.json,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,DEFINED_BY_COUNTERFACTUAL_REPLAY,NOT_RUN
2025-05-05,B3,OLD_CONTRACT_COUNTERFACTUAL_AUTHORITY_UNRESOLVED,frozen_artifacts/v41_may_campaign/2025-05-05/B3/dayahead/freeze_receipt.json,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,DEFINED_BY_COUNTERFACTUAL_REPLAY,NOT_RUN
2025-05-06,B1,OLD_CONTRACT_COUNTERFACTUAL_AUTHORITY_UNRESOLVED,frozen_artifacts/v41_may_campaign/2025-05-06/B1/dayahead/freeze_receipt.json,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,DEFINED_BY_COUNTERFACTUAL_REPLAY,NOT_RUN
2025-05-06,B3,OLD_CONTRACT_COUNTERFACTUAL_AUTHORITY_UNRESOLVED,frozen_artifacts/v41_may_campaign/2025-05-06/B3/dayahead/freeze_receipt.json,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,DEFINED_BY_COUNTERFACTUAL_REPLAY,NOT_RUN
2025-05-07,B1,OLD_CONTRACT_COUNTERFACTUAL_AUTHORITY_UNRESOLVED,frozen_artifacts/v41_may_campaign/2025-05-07/B1/dayahead/freeze_receipt.json,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,DEFINED_BY_COUNTERFACTUAL_REPLAY,NOT_RUN
2025-05-07,B3,OLD_CONTRACT_COUNTERFACTUAL_AUTHORITY_UNRESOLVED,frozen_artifacts/v41_may_campaign/2025-05-07/B3/dayahead/freeze_receipt.json,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,DEFINED_BY_COUNTERFACTUAL_REPLAY,NOT_RUN
2025-05-08,B1,OLD_CONTRACT_COUNTERFACTUAL_AUTHORITY_UNRESOLVED,frozen_artifacts/v41_may_campaign/2025-05-08/B1/dayahead/freeze_receipt.json,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,DEFINED_BY_COUNTERFACTUAL_REPLAY,NOT_RUN
2025-05-08,B3,OLD_CONTRACT_COUNTERFACTUAL_AUTHORITY_UNRESOLVED,frozen_artifacts/v41_may_campaign/2025-05-08/B3/dayahead/freeze_receipt.json,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,DEFINED_BY_COUNTERFACTUAL_REPLAY,NOT_RUN
2025-05-09,B1,OLD_CONTRACT_COUNTERFACTUAL_AUTHORITY_UNRESOLVED,frozen_artifacts/v41_may_campaign/2025-05-09/B1/dayahead/freeze_receipt.json,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,DEFINED_BY_COUNTERFACTUAL_REPLAY,NOT_RUN
2025-05-09,B3,OLD_CONTRACT_COUNTERFACTUAL_AUTHORITY_UNRESOLVED,frozen_artifacts/v41_may_campaign/2025-05-09/B3/dayahead/freeze_receipt.json,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,DEFINED_BY_COUNTERFACTUAL_REPLAY,NOT_RUN
2025-05-10,B0,OLD_CONTRACT_COUNTERFACTUAL_AUTHORITY_UNRESOLVED,frozen_artifacts/v41_may_campaign/2025-05-10/B0/dayahead/freeze_receipt.json,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,DEFINED_BY_COUNTERFACTUAL_REPLAY,NOT_RUN
2025-05-10,B1,OLD_CONTRACT_COUNTERFACTUAL_AUTHORITY_UNRESOLVED,frozen_artifacts/v41_may_campaign/2025-05-10/B1/dayahead/freeze_receipt.json,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,DEFINED_BY_COUNTERFACTUAL_REPLAY,NOT_RUN
2025-05-10,B2,OLD_CONTRACT_COUNTERFACTUAL_AUTHORITY_UNRESOLVED,frozen_artifacts/v41_may_campaign/2025-05-10/B2/dayahead/freeze_receipt.json,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,DEFINED_BY_COUNTERFACTUAL_REPLAY,NOT_RUN
2025-05-10,B3,OLD_CONTRACT_COUNTERFACTUAL_AUTHORITY_UNRESOLVED,frozen_artifacts/v41_may_campaign/2025-05-10/B3/dayahead/freeze_receipt.json,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,NOT_READ_BEFORE_DA_FREEZE,DEFINED_BY_COUNTERFACTUAL_REPLAY,NOT_RUN
