day,option,site,idle_IT_kW,full_IT_kW,idle_PCC_P_mean_kW,full_PCC_P_max_kW,full_PCC_Q_max_kvar,full_PCC_apparent_max_kVA,idle_PCC_P_delta_mean_kW
2025-05-01,A75,AIDC01,31.24820893538529,195.5653816412592,36.23049866961096,228.898732508586,75.23537507116055,240.94603421956415,24.581924367505795
2025-05-01,A75,AIDC02,15.832425860595214,99.08646003157132,20.81471558999269,104.0808375111244,34.20971694361058,109.55877632749936,12.499283574343972
2025-05-01,A75,AIDC03,31.24820893538529,195.5653816412592,36.23049866961096,228.898732508586,75.23537507116055,240.94603421956415,24.581924367505795
2025-05-01,A75,AIDC04,15.832425860595214,99.08646003157132,20.81471558999269,104.0808375111244,34.20971694361058,109.55877632749936,12.499283574343972
2025-05-01,A75,AIDC05,39.1644218656829,245.1086116570449,44.14671162105102,297.3530003256978,97.7352048343022,313.00315823757666,30.831566175712627
2025-05-01,A75,AIDC06,31.24820893538529,195.5653816412592,36.23049866961096,228.898732508586,75.23537507116055,240.94603421956415,24.581924367505795
2025-05-01,A75,AIDC07,15.832425860595214,99.08646003157132,20.81471558999269,104.0808375111244,34.20971694361058,109.55877632749936,12.499283574343972
2025-05-01,A75,AIDC08,31.24820893538529,195.5653816412592,36.23049866961096,228.898732508586,75.23537507116055,240.94603421956415,24.581924367505795
2025-05-01,A75,AIDC09,15.832425860595214,99.08646003157132,20.81471558999269,104.0808375111244,34.20971694361058,109.55877632749936,12.499283574343972
2025-05-01,A75,AIDC10,31.24820893538529,195.5653816412592,36.23049866961096,228.898732508586,75.23537507116055,240.94603421956415,24.581924367505795
2025-05-01,A75,AIDC11,15.832425860595214,99.08646003157132,20.81471558999269,104.0808375111244,34.20971694361058,109.55877632749936,12.499283574343972
2025-05-01,A75,AIDC12,31.24820893538529,195.5653816412592,36.23049866961096,228.898732508586,75.23537507116055,240.94603421956415,24.581924367505795
2025-05-01,A80,AIDC01,29.58163779216474,185.13522795372535,34.56392752491612,214.48730869304748,70.49856912999692,225.7761144137342,22.915353222810943
