option,allocation_rule,target,site,current_GPU,candidate_GPU,total_GPU,nodes,facility_weight,candidate_share,share_error
A75,LEGACY_SHAPE_SCALE,0.75,AIDC01,64,300,2936,75,0.059185965338270544,0.10217983651226158,0.04299387117399103
A75,LEGACY_SHAPE_SCALE,0.75,AIDC02,32,152,2936,38,0.009864327556378408,0.051771117166212535,0.04190678960983413
A75,LEGACY_SHAPE_SCALE,0.75,AIDC03,64,300,2936,75,0.13810058578929799,0.10217983651226158,-0.03592074927703641
A75,LEGACY_SHAPE_SCALE,0.75,AIDC04,32,152,2936,38,0.009295231735818107,0.051771117166212535,0.042475885430394426
A75,LEGACY_SHAPE_SCALE,0.75,AIDC05,80,376,2936,94,0.20715087868394705,0.12806539509536785,-0.0790854835885792
A75,LEGACY_SHAPE_SCALE,0.75,AIDC06,64,300,2936,75,0.06658421100555434,0.10217983651226158,0.03559562550670724
A75,LEGACY_SHAPE_SCALE,0.75,AIDC07,32,152,2936,38,0.044389474003702925,0.051771117166212535,0.00738164316250961
A75,LEGACY_SHAPE_SCALE,0.75,AIDC08,64,300,2936,75,0.07398245667283816,0.10217983651226158,0.028197379839423414
A75,LEGACY_SHAPE_SCALE,0.75,AIDC09,32,152,2936,38,0.011571615018059306,0.051771117166212535,0.04019950214815323
A75,LEGACY_SHAPE_SCALE,0.75,AIDC10,64,300,2936,75,0.1676935684584333,0.10217983651226158,-0.06551373194617173
A75,LEGACY_SHAPE_SCALE,0.75,AIDC11,32,152,2936,38,0.034623789722888224,0.051771117166212535,0.01714732744332431
A75,LEGACY_SHAPE_SCALE,0.75,AIDC12,64,300,2936,75,0.1775578960148117,0.10217983651226158,-0.07537805950255012
A80,LEGACY_SHAPE_SCALE,0.8,AIDC01,64,284,2752,71,0.059185965338270544,0.10319767441860465,0.04401170908033411
A80,LEGACY_SHAPE_SCALE,0.8,AIDC02,32,140,2752,35,0.009864327556378408,0.050872093023255814,0.041007765466877406
A80,LEGACY_SHAPE_SCALE,0.8,AIDC03,64,284,2752,71,0.13810058578929799,0.10319767441860465,-0.03490291137069333
A80,LEGACY_SHAPE_SCALE,0.8,AIDC04,32,140,2752,35,0.009295231735818107,0.050872093023255814,0.041576861287437705
A80,LEGACY_SHAPE_SCALE,0.8,AIDC05,80,352,2752,88,0.20715087868394705,0.12790697674418605,-0.079243901939761
A80,LEGACY_SHAPE_SCALE,0.8,AIDC06,64,284,2752,71,0.06658421100555434,0.10319767441860465,0.036613463413050315
A80,LEGACY_SHAPE_SCALE,0.8,AIDC07,32,140,2752,35,0.044389474003702925,0.050872093023255814,0.006482619019552889
A80,LEGACY_SHAPE_SCALE,0.8,AIDC08,64,284,2752,71,0.07398245667283816,0.10319767441860465,0.029215217745766492
A80,LEGACY_SHAPE_SCALE,0.8,AIDC09,32,140,2752,35,0.011571615018059306,0.050872093023255814,0.03930047800519651
A80,LEGACY_SHAPE_SCALE,0.8,AIDC10,64,284,2752,71,0.1676935684584333,0.10319767441860465,-0.06449589403982865
A80,LEGACY_SHAPE_SCALE,0.8,AIDC11,32,140,2752,35,0.034623789722888224,0.050872093023255814,0.01624830330036759
A80,LEGACY_SHAPE_SCALE,0.8,AIDC12,64,280,2752,70,0.1775578960148117,0.10174418604651163,-0.07581370996830007
A85,LEGACY_SHAPE_SCALE,0.85,AIDC01,64,268,2592,67,0.059185965338270544,0.10339506172839506,0.04420909639012452
A85,LEGACY_SHAPE_SCALE,0.85,AIDC02,32,132,2592,33,0.009864327556378408,0.05092592592592592,0.041061598369547515
A85,LEGACY_SHAPE_SCALE,0.85,AIDC03,64,268,2592,67,0.13810058578929799,0.10339506172839506,-0.03470552406090292
A85,LEGACY_SHAPE_SCALE,0.85,AIDC04,32,132,2592,33,0.009295231735818107,0.05092592592592592,0.041630694190107814
A85,LEGACY_SHAPE_SCALE,0.85,AIDC05,80,332,2592,83,0.20715087868394705,0.12808641975308643,-0.07906445893086061
A85,LEGACY_SHAPE_SCALE,0.85,AIDC06,64,268,2592,67,0.06658421100555434,0.10339506172839506,0.036810850722840724
A85,LEGACY_SHAPE_SCALE,0.85,AIDC07,32,132,2592,33,0.044389474003702925,0.05092592592592592,0.006536451922222998
A85,LEGACY_SHAPE_SCALE,0.85,AIDC08,64,268,2592,67,0.07398245667283816,0.10339506172839506,0.0294126050555569
A85,LEGACY_SHAPE_SCALE,0.85,AIDC09,32,132,2592,33,0.011571615018059306,0.05092592592592592,0.03935431090786662
A85,LEGACY_SHAPE_SCALE,0.85,AIDC10,64,264,2592,66,0.1676935684584333,0.10185185185185185,-0.06584171660658146
A85,LEGACY_SHAPE_SCALE,0.85,AIDC11,32,132,2592,33,0.034623789722888224,0.05092592592592592,0.0163021362030377
A85,LEGACY_SHAPE_SCALE,0.85,AIDC12,64,264,2592,66,0.1775578960148117,0.10185185185185185,-0.07570604416295985
B75,GENERALIZED_MINIMUM_PLUS_WEIGHTED_RESIDUAL,0.75,AIDC01,64,184,2936,46,0.059185965338270544,0.06267029972752043,0.003484334389249888
B75,GENERALIZED_MINIMUM_PLUS_WEIGHTED_RESIDUAL,0.75,AIDC02,32,56,2936,14,0.009864327556378408,0.01907356948228883,0.009209241925910421
B75,GENERALIZED_MINIMUM_PLUS_WEIGHTED_RESIDUAL,0.75,AIDC03,64,384,2936,96,0.13810058578929799,0.1307901907356948,-0.007310395053603175
B75,GENERALIZED_MINIMUM_PLUS_WEIGHTED_RESIDUAL,0.75,AIDC04,32,56,2936,14,0.009295231735818107,0.01907356948228883,0.009778337746470722
B75,GENERALIZED_MINIMUM_PLUS_WEIGHTED_RESIDUAL,0.75,AIDC05,80,560,2936,140,0.20715087868394705,0.1907356948228883,-0.016415183861058752
B75,GENERALIZED_MINIMUM_PLUS_WEIGHTED_RESIDUAL,0.75,AIDC06,64,204,2936,51,0.06658421100555434,0.06948228882833787,0.0028980778227835347
B75,GENERALIZED_MINIMUM_PLUS_WEIGHTED_RESIDUAL,0.75,AIDC07,32,144,2936,36,0.044389474003702925,0.04904632152588556,0.004656847522182636
B75,GENERALIZED_MINIMUM_PLUS_WEIGHTED_RESIDUAL,0.75,AIDC08,64,220,2936,55,0.07398245667283816,0.07493188010899182,0.0009494234361536597
B75,GENERALIZED_MINIMUM_PLUS_WEIGHTED_RESIDUAL,0.75,AIDC09,32,64,2936,16,0.011571615018059306,0.021798365122615803,0.010226750104556497
B75,GENERALIZED_MINIMUM_PLUS_WEIGHTED_RESIDUAL,0.75,AIDC10,64,460,2936,115,0.1676935684584333,0.1566757493188011,-0.011017819139632207
B75,GENERALIZED_MINIMUM_PLUS_WEIGHTED_RESIDUAL,0.75,AIDC11,32,120,2936,30,0.034623789722888224,0.04087193460490463,0.0062481448820164084
B75,GENERALIZED_MINIMUM_PLUS_WEIGHTED_RESIDUAL,0.75,AIDC12,64,484,2936,121,0.1775578960148117,0.164850136239782,-0.012707759775029692
B80,GENERALIZED_MINIMUM_PLUS_WEIGHTED_RESIDUAL,0.8,AIDC01,64,172,2752,43,0.059185965338270544,0.0625,0.0033140346617294564
B80,GENERALIZED_MINIMUM_PLUS_WEIGHTED_RESIDUAL,0.8,AIDC02,32,56,2752,14,0.009864327556378408,0.020348837209302327,0.01048450965292392
B80,GENERALIZED_MINIMUM_PLUS_WEIGHTED_RESIDUAL,0.8,AIDC03,64,360,2752,90,0.13810058578929799,0.1308139534883721,-0.007286632300925883
B80,GENERALIZED_MINIMUM_PLUS_WEIGHTED_RESIDUAL,0.8,AIDC04,32,56,2752,14,0.009295231735818107,0.020348837209302327,0.01105360547348422
B80,GENERALIZED_MINIMUM_PLUS_WEIGHTED_RESIDUAL,0.8,AIDC05,80,524,2752,131,0.20715087868394705,0.19040697674418605,-0.016743901939760997
B80,GENERALIZED_MINIMUM_PLUS_WEIGHTED_RESIDUAL,0.8,AIDC06,64,188,2752,47,0.06658421100555434,0.06831395348837209,0.0017297424828177504
B80,GENERALIZED_MINIMUM_PLUS_WEIGHTED_RESIDUAL,0.8,AIDC07,32,136,2752,34,0.044389474003702925,0.04941860465116279,0.005029130647459863
B80,GENERALIZED_MINIMUM_PLUS_WEIGHTED_RESIDUAL,0.8,AIDC08,64,208,2752,52,0.07398245667283816,0.0755813953488372,0.0015989386759990426
B80,GENERALIZED_MINIMUM_PLUS_WEIGHTED_RESIDUAL,0.8,AIDC09,32,60,2752,15,0.011571615018059306,0.02180232558139535,0.010230710563336043
B80,GENERALIZED_MINIMUM_PLUS_WEIGHTED_RESIDUAL,0.8,AIDC10,64,428,2752,107,0.1676935684584333,0.1555232558139535,-0.01217031264447982
B80,GENERALIZED_MINIMUM_PLUS_WEIGHTED_RESIDUAL,0.8,AIDC11,32,112,2752,28,0.034623789722888224,0.040697674418604654,0.0060738846957164305
B80,GENERALIZED_MINIMUM_PLUS_WEIGHTED_RESIDUAL,0.8,AIDC12,64,452,2752,113,0.1775578960148117,0.16424418604651161,-0.013313709968300086
B85,GENERALIZED_MINIMUM_PLUS_WEIGHTED_RESIDUAL,0.85,AIDC01,64,164,2592,41,0.059185965338270544,0.06327160493827161,0.004085639600001065
B85,GENERALIZED_MINIMUM_PLUS_WEIGHTED_RESIDUAL,0.85,AIDC02,32,52,2592,13,0.009864327556378408,0.020061728395061727,0.01019740083868332
B85,GENERALIZED_MINIMUM_PLUS_WEIGHTED_RESIDUAL,0.85,AIDC03,64,336,2592,84,0.13810058578929799,0.12962962962962962,-0.008470956159668364
B85,GENERALIZED_MINIMUM_PLUS_WEIGHTED_RESIDUAL,0.85,AIDC04,32,52,2592,13,0.009295231735818107,0.020061728395061727,0.01076649665924362
B85,GENERALIZED_MINIMUM_PLUS_WEIGHTED_RESIDUAL,0.85,AIDC05,80,488,2592,122,0.20715087868394705,0.1882716049382716,-0.01887927374567544
B85,GENERALIZED_MINIMUM_PLUS_WEIGHTED_RESIDUAL,0.85,AIDC06,64,180,2592,45,0.06658421100555434,0.06944444444444445,0.0028602334388901085
B85,GENERALIZED_MINIMUM_PLUS_WEIGHTED_RESIDUAL,0.85,AIDC07,32,132,2592,33,0.044389474003702925,0.05092592592592592,0.006536451922222998
B85,GENERALIZED_MINIMUM_PLUS_WEIGHTED_RESIDUAL,0.85,AIDC08,64,196,2592,49,0.07398245667283816,0.07561728395061729,0.0016348272777791245
B85,GENERALIZED_MINIMUM_PLUS_WEIGHTED_RESIDUAL,0.85,AIDC09,32,56,2592,14,0.011571615018059306,0.021604938271604937,0.010033323253545631
B85,GENERALIZED_MINIMUM_PLUS_WEIGHTED_RESIDUAL,0.85,AIDC10,64,404,2592,101,0.1676935684584333,0.1558641975308642,-0.01182937092756911
B85,GENERALIZED_MINIMUM_PLUS_WEIGHTED_RESIDUAL,0.85,AIDC11,32,108,2592,27,0.034623789722888224,0.041666666666666664,0.007042876943778441
B85,GENERALIZED_MINIMUM_PLUS_WEIGHTED_RESIDUAL,0.85,AIDC12,64,424,2592,106,0.1775578960148117,0.16358024691358025,-0.013977649101231449
