model,mode,horizon_hours,role,Q90_pinball_ratio_to_same_H_LGBM,raw_Q90_pinball_ratio_to_same_H_LGBM,requirement_ratio_to_same_H_LGBM,coverage,positive_coverage,burst_coverage,N_zero,N_windows
F0_FROZEN,fixed,4,DEVELOPMENT,1.0112128552836714,1.0,0.7476408610981558,0.8103448275862069,0.7744303797468355,0.0702576112412178,748.0,4698.0
F0_FROZEN,fixed,4,EXPOSED_EVALUATION,1.0227668598448283,1.0,0.656938575364324,0.872334455667789,0.8578791191628924,0.0620384047267356,725.0,7128.0
F0_FROZEN,fixed,4,MAY_HISTORICAL,1.0420002373034607,1.0,0.7075113150345571,0.8299482277976902,0.8266341859520909,0.12256267409470752,48.0,2511.0
F1_LGBM,expanding,4,DEVELOPMENT,1.0,1.0,1.0,0.8463175819497658,0.8172151898734178,0.24121779859484774,748.0,4698.0
F1_LGBM,expanding,4,EXPOSED_EVALUATION,1.0,1.0,1.0,0.9207351290684626,0.9117601124472904,0.45937961595273263,725.0,7128.0
F1_LGBM,expanding,4,MAY_HISTORICAL,1.0,1.0,1.0,0.9629629629629629,0.9622411693057247,0.7437325905292479,48.0,2511.0
F1_LGBM,fixed,1,DEVELOPMENT,1.0,1.0,1.0,0.8767148683722655,0.8166023166023167,0.1162079510703364,1768.0,5394.0
F1_LGBM,fixed,1,EXPOSED_EVALUATION,1.0,1.0,1.0,0.9255865102639295,0.903988648904304,0.2248995983935743,1841.0,8184.0
F1_LGBM,fixed,1,MAY_HISTORICAL,1.0,1.0,1.0,0.9025320846340618,0.8872391653290531,0.32209737827715357,391.0,2883.0
F1_LGBM,fixed,2,DEVELOPMENT,1.0,1.0,1.0,0.8731111972103834,0.8348461926374181,0.2428940568475452,1196.0,5162.0
F1_LGBM,fixed,2,EXPOSED_EVALUATION,1.0,1.0,1.0,0.9300306435137896,0.9179026217228464,0.23601398601398602,1157.0,7832.0
F1_LGBM,fixed,2,MAY_HISTORICAL,1.0,1.0,1.0,0.9017760057992025,0.895849346656418,0.35454545454545455,157.0,2759.0
F1_LGBM,fixed,4,DEVELOPMENT,1.0,1.0,1.0,0.8437633035334184,0.8141772151898734,0.234192037470726,748.0,4698.0
F1_LGBM,fixed,4,EXPOSED_EVALUATION,1.0,1.0,1.0,0.9151234567901234,0.9055130407621427,0.24224519940915804,725.0,7128.0
F1_LGBM,fixed,4,MAY_HISTORICAL,1.0,1.0,1.0,0.8757467144563919,0.8733252131546894,0.27298050139275765,48.0,2511.0
F1_LGBM,fixed,8,DEVELOPMENT,1.0,1.0,1.0,0.8294429708222811,0.8040231636696129,0.20374707259953162,489.0,3770.0
F1_LGBM,fixed,8,EXPOSED_EVALUATION,1.0,1.0,1.0,0.913986013986014,0.9060171919770775,0.4426229508196721,485.0,5720.0
F1_LGBM,fixed,8,MAY_HISTORICAL,1.0,1.0,1.0,0.8883374689826301,0.8876684972541188,0.4833759590792839,12.0,2015.0
F2_TFT,fixed,4,DEVELOPMENT,0.900124423117948,0.7903066877992442,0.9451055307609549,0.8686675180928054,0.8437974683544304,0.1608118657298985,748.0,4698.0
F2_TFT,fixed,4,EXPOSED_EVALUATION,1.0292914975044494,0.8998931769229884,0.8502761063450015,0.8980078563411897,0.8864594721224427,0.13096996553421958,725.0,7128.0
F2_TFT,fixed,4,MAY_HISTORICAL,0.9845237150014545,0.8052512195177993,1.1970376992429248,0.9003053232443913,0.8983624306401407,0.35004642525533886,48.0,2511.0
F3_DEEPAR,expanding,4,DEVELOPMENT,0.9629050872893501,0.8564209560361099,1.1394352443818674,0.8588051653185752,0.8320675105485232,0.3294301327088212,748.0,4698.0
F3_DEEPAR,expanding,4,EXPOSED_EVALUATION,0.9776507797399485,0.9766532512577775,0.889419892878084,0.9072671156004489,0.8967671404029361,0.31462333825701627,725.0,7128.0
F3_DEEPAR,expanding,4,MAY_HISTORICAL,1.0774207562808658,1.0734780360023728,0.8493673222891142,0.9113235098898181,0.9095953444309108,0.5561745589600743,48.0,2511.0
F3_DEEPAR,fixed,1,DEVELOPMENT,0.9671572244051939,0.9312044603197721,1.1118732795268755,0.8912989741688295,0.838297481154624,0.20591233435270132,1768.0,5394.0
F3_DEEPAR,fixed,1,EXPOSED_EVALUATION,1.044629249890095,1.0020031929203568,1.028988823444219,0.9095389377647441,0.8832834095328184,0.19544846050870146,1841.0,8184.0
F3_DEEPAR,fixed,1,MAY_HISTORICAL,1.0625827839110187,0.965302157436423,1.2458555039616752,0.912822291594404,0.899143927233815,0.3707865168539326,391.0,2883.0
F3_DEEPAR,fixed,2,DEVELOPMENT,0.9618275756965019,0.901108256747726,1.0214443172243366,0.880795557277541,0.8448478735922004,0.3359173126614987,1196.0,5162.0
F3_DEEPAR,fixed,2,EXPOSED_EVALUATION,1.0365062346125091,1.0354327866610975,0.9683870572907571,0.9066649642492339,0.8904868913857679,0.23601398601398602,1157.0,7832.0
F3_DEEPAR,fixed,2,MAY_HISTORICAL,1.0772214058199505,0.9553120326470929,1.4557321062516255,0.920985864443639,0.916218293620292,0.5121212121212121,157.0,2759.0
F3_DEEPAR,fixed,4,DEVELOPMENT,0.9441857586598617,0.8382718606507056,1.054822770936562,0.855612317298141,0.8282700421940928,0.3169398907103825,748.0,4698.0
F3_DEEPAR,fixed,4,EXPOSED_EVALUATION,1.1111062071254398,0.9621584434715387,1.1145329972087505,0.9011878039655817,0.8899994794106929,0.3225012309207287,725.0,7128.0
F3_DEEPAR,fixed,4,MAY_HISTORICAL,1.0879928684284843,0.8359459465604386,1.8520567145518292,0.922208947298553,0.9206929219109486,0.5431754874651811,48.0,2511.0
F3_DEEPAR,fixed,8,DEVELOPMENT,0.9100258300246206,0.8101078035076171,1.1143851342846751,0.8321839080459771,0.8071726099766332,0.30210772833723654,489.0,3770.0
F3_DEEPAR,fixed,8,EXPOSED_EVALUATION,1.117460217858057,0.8980277835392052,1.0761345149064045,0.8893356643356644,0.879083094555874,0.47583018074821354,485.0,5720.0
F3_DEEPAR,fixed,8,MAY_HISTORICAL,1.1025655791404574,0.8686232232009488,1.3467406963465884,0.9076923076923077,0.9071392910634049,0.5507246376811595,12.0,2015.0
SEASONAL,fixed,1,DEVELOPMENT,1.046990438787644,0.9816960591176216,1.2531454957458126,0.8958101594364108,0.8450082735797021,0.12844036697247707,1768.0,5394.0
SEASONAL,fixed,1,EXPOSED_EVALUATION,1.0543687893124982,1.042364387917465,0.9609003160219591,0.8990713587487781,0.8697777077092859,0.14056224899598393,1841.0,8184.0
SEASONAL,fixed,1,MAY_HISTORICAL,1.0516009590668736,1.033329757465284,0.9411805848856827,0.8844953173777316,0.8663723916532905,0.21722846441947566,391.0,2883.0
SEASONAL,fixed,2,DEVELOPMENT,1.015530671689201,0.9661295816700898,1.1770308922427888,0.8862843858969391,0.8519919314170449,0.20155038759689922,1196.0,5162.0
SEASONAL,fixed,2,EXPOSED_EVALUATION,1.01406433542355,1.0553786784515895,0.841940224075984,0.9046220633299284,0.8880898876404495,0.19055944055944055,1157.0,7832.0
SEASONAL,fixed,2,MAY_HISTORICAL,1.0390482900306508,1.0436501482378766,0.9650475340427594,0.8909025009061254,0.8843197540353575,0.38181818181818183,157.0,2759.0
SEASONAL,fixed,4,DEVELOPMENT,0.9359337576877116,0.8796036619890295,1.1395449283514334,0.8639846743295019,0.8382278481012658,0.1920374707259953,748.0,4698.0
