model,mode,horizon_hours,role,metric,difference_to_LGBM,CI95_low,CI95_high,N_paired_days,block_length_days,bootstrap_draws,seed_aggregation
F0_FROZEN,fixed,4,EXPOSED_EVALUATION,calibrated_Q90_pinball,13.9803394201774,-19.792971715935483,51.45483764073809,88,7,1000,mean per-seed daily metric before resampling
F0_FROZEN,fixed,4,EXPOSED_EVALUATION,raw_Q90_pinball,-8.679925465251224e-16,-7.59291619477732e-15,5.169602120118227e-15,88,7,1000,mean per-seed daily metric before resampling
F0_FROZEN,fixed,4,EXPOSED_EVALUATION,mean_forecast_requirement,-1140.0066937914255,-1305.3702653004962,-955.4639346062821,88,7,1000,mean per-seed daily metric before resampling
F0_FROZEN,fixed,4,EXPOSED_EVALUATION,burst_mean_miss_GPUh,1042.8663391779703,891.1708029551323,1196.5230969726533,88,7,1000,mean per-seed daily metric before resampling
F0_FROZEN,fixed,4,EXPOSED_EVALUATION,calibrated_coverage,-0.04278900112233446,-0.05753016273849609,-0.029878647586980927,88,7,1000,mean per-seed daily metric before resampling
F0_FROZEN,fixed,4,MAY_HISTORICAL,calibrated_Q90_pinball,42.680014656275034,-28.1285947485974,116.14108594395216,31,7,1000,mean per-seed daily metric before resampling
F0_FROZEN,fixed,4,MAY_HISTORICAL,raw_Q90_pinball,7.563842025833324e-15,2.2920733411616134e-16,1.4898476717550487e-14,31,7,1000,mean per-seed daily metric before resampling
F0_FROZEN,fixed,4,MAY_HISTORICAL,mean_forecast_requirement,-955.7971354317066,-1114.600405311322,-814.2416054190533,31,7,1000,mean per-seed daily metric before resampling
F0_FROZEN,fixed,4,MAY_HISTORICAL,burst_mean_miss_GPUh,730.6439593768353,547.5072890858087,866.4182322581095,31,7,1000,mean per-seed daily metric before resampling
F0_FROZEN,fixed,4,MAY_HISTORICAL,calibrated_coverage,-0.045798486658701724,-0.06332138590203108,-0.02786738351254481,31,7,1000,mean per-seed daily metric before resampling
F1_LGBM,expanding,4,EXPOSED_EVALUATION,calibrated_Q90_pinball,0.0,0.0,0.0,88,7,1000,mean per-seed daily metric before resampling
F1_LGBM,expanding,4,EXPOSED_EVALUATION,raw_Q90_pinball,0.0,0.0,0.0,88,7,1000,mean per-seed daily metric before resampling
F1_LGBM,expanding,4,EXPOSED_EVALUATION,mean_forecast_requirement,0.0,0.0,0.0,88,7,1000,mean per-seed daily metric before resampling
F1_LGBM,expanding,4,EXPOSED_EVALUATION,burst_mean_miss_GPUh,0.0,0.0,0.0,88,7,1000,mean per-seed daily metric before resampling
F1_LGBM,expanding,4,EXPOSED_EVALUATION,calibrated_coverage,0.0,0.0,0.0,88,7,1000,mean per-seed daily metric before resampling
F1_LGBM,expanding,4,MAY_HISTORICAL,calibrated_Q90_pinball,0.0,0.0,0.0,31,7,1000,mean per-seed daily metric before resampling
F1_LGBM,expanding,4,MAY_HISTORICAL,raw_Q90_pinball,0.0,0.0,0.0,31,7,1000,mean per-seed daily metric before resampling
F1_LGBM,expanding,4,MAY_HISTORICAL,mean_forecast_requirement,0.0,0.0,0.0,31,7,1000,mean per-seed daily metric before resampling
F1_LGBM,expanding,4,MAY_HISTORICAL,burst_mean_miss_GPUh,0.0,0.0,0.0,31,7,1000,mean per-seed daily metric before resampling
F1_LGBM,expanding,4,MAY_HISTORICAL,calibrated_coverage,0.0,0.0,0.0,31,7,1000,mean per-seed daily metric before resampling
F1_LGBM,fixed,1,EXPOSED_EVALUATION,calibrated_Q90_pinball,0.0,0.0,0.0,88,7,1000,mean per-seed daily metric before resampling
