family,seed,training_seconds,inference_seconds,N_training_days,N_inference_days,parameter_count,parameter_count_definition,gpu_peak_memory_bytes,device,cpu_threads,frozen_reuse,model_sha256,run_id,horizon,phase,environment,protocol_sha256,learning_rate,selected_epoch,epochs_run,torch,cuda,dataloader_workers,model_load_seconds,full_dataset_inference_seconds,full_dataset_inference_days
LGBM,20260907,0.0,0.5030209999968065,167,443,12000,tree leaf values across Q50/Q90; not neural parameter count,0,cpu,1,True,62c9aad38458f0f20127e4220c18ea82876241e07001ad5f66bfbf4f3379a0dc,F0_FROZEN,4,fixed,ENVIRONMENT.json,22b3eabd4f9fb099367a99190e5d6608d34e953887ddb6e3aa8e066c6253ddc5,,,,,,,0.1889134000084595,,
TFT,20260924,2.425642000001972,0.0108088000124553,167,58,15730,,119174144,cuda:0,1,,1c61d826162a74c0eba01beb0304fe638427a5277267592b3b5790c516d3269b,trial_TFT_H4_0,4,development_search,ENVIRONMENT.json,22b3eabd4f9fb099367a99190e5d6608d34e953887ddb6e3aa8e066c6253ddc5,0.001,6.0,13.0,2.8.0+cu128,12.8,0.0,,0.37560210000083316,443.0
TFT,20260924,3.216763899996294,0.01234650000697,167,58,15730,,119174144,cuda:0,1,,5f5538819dd0bed7afa0f5b421ecaf6d119aa0a83dfb09e1d09673d7bb96b2b1,trial_TFT_H4_1,4,development_search,ENVIRONMENT.json,22b3eabd4f9fb099367a99190e5d6608d34e953887ddb6e3aa8e066c6253ddc5,0.0003,16.0,23.0,2.8.0+cu128,12.8,0.0,,,
TFT,20260925,1.636196600011317,0.0116920000000391,167,58,15730,,119174144,cuda:0,1,,865148ac4531efabd5d62d9a144d28145cb58031d2482b9ce217382056cc10fb,selected_TFT_H4_s20260925,4,selected_3seed,ENVIRONMENT.json,22b3eabd4f9fb099367a99190e5d6608d34e953887ddb6e3aa8e066c6253ddc5,0.001,5.0,12.0,2.8.0+cu128,12.8,0.0,,0.10286440000345465,443.0
TFT,20260926,1.306226400003652,0.009264099993743,167,58,15730,,119174144,cuda:0,1,,9a4822bae37241293c28f4048a628d398518f638d93c5a1d8e4809ec97ca5131,selected_TFT_H4_s20260926,4,selected_3seed,ENVIRONMENT.json,22b3eabd4f9fb099367a99190e5d6608d34e953887ddb6e3aa8e066c6253ddc5,0.001,5.0,12.0,2.8.0+cu128,12.8,0.0,,0.10462760001246352,443.0
DEEPAR,20260924,5.031837999995332,0.2233393999922555,167,58,7539,,102696960,cuda:0,1,,12071f8c81af678995fc76ddd06d653de3fca42c7f5e2d70a1c6163f43aaec65,trial_DEEPAR_H4_0,4,development_search,ENVIRONMENT.json,22b3eabd4f9fb099367a99190e5d6608d34e953887ddb6e3aa8e066c6253ddc5,0.001,11.0,18.0,2.8.0+cu128,12.8,0.0,,1.6397443000023486,443.0
DEEPAR,20260924,11.038225899988902,0.2263234999991255,167,58,7539,,102696960,cuda:0,1,,9129472bc2595f2c7ad0e8aa4a1c607eaf2ea011107821b8a51c75e74da9858d,trial_DEEPAR_H4_1,4,development_search,ENVIRONMENT.json,22b3eabd4f9fb099367a99190e5d6608d34e953887ddb6e3aa8e066c6253ddc5,0.0003,35.0,40.0,2.8.0+cu128,12.8,0.0,,,
DEEPAR,20260925,4.991039700005786,0.2336688000068534,167,58,7539,,102696960,cuda:0,1,,bd337cc34bf3c99f188e0a970f99f26d9be12824770066805ce4e6751aa64b8e,selected_DEEPAR_H4_s20260925,4,selected_3seed,ENVIRONMENT.json,22b3eabd4f9fb099367a99190e5d6608d34e953887ddb6e3aa8e066c6253ddc5,0.001,11.0,18.0,2.8.0+cu128,12.8,0.0,,1.6624531999987084,443.0
DEEPAR,20260926,5.8135654000070645,0.2349082000000635,167,58,7539,,102696960,cuda:0,1,,f2717de72785983df54b922db334c2f5a027fd5abaa516659fce5500be67434e,selected_DEEPAR_H4_s20260926,4,selected_3seed,ENVIRONMENT.json,22b3eabd4f9fb099367a99190e5d6608d34e953887ddb6e3aa8e066c6253ddc5,0.001,14.0,21.0,2.8.0+cu128,12.8,0.0,,1.6356295000005048,443.0
LGBM,20260924,2.3613724000024376,0.2496919000113848,167,229,12000,tree leaf values across Q50/Q90; not neural parameter count,0,cpu,1,False,6be8e011f5397bafe1a11feec7378cd8f8d3bb69810f92477080263f089d836a,refit_initial_LGBM_s20260924_cadence_28,4,refit,ENVIRONMENT.json,22b3eabd4f9fb099367a99190e5d6608d34e953887ddb6e3aa8e066c6253ddc5,,,,,,,,,
