FROZEN REPRODUCTION PASS
TFT seed=20260924 lr=0.001 n=167 epoch=6/13 train=2.4s
TFT seed=20260924 lr=0.0003 n=167 epoch=16/23 train=3.2s
TFT seed=20260925 lr=0.001 n=167 epoch=5/12 train=1.6s
TFT seed=20260926 lr=0.001 n=167 epoch=5/12 train=1.3s
DEEPAR seed=20260924 lr=0.001 n=167 epoch=11/18 train=5.0s
DEEPAR seed=20260924 lr=0.0003 n=167 epoch=35/40 train=11.0s
DEEPAR seed=20260925 lr=0.001 n=167 epoch=11/18 train=5.0s
DEEPAR seed=20260926 lr=0.001 n=167 epoch=14/21 train=5.8s
H4 DEV FROZEN DEEPAR 528.1879066898879
DEEPAR seed=20260924 lr=0.001 n=167 epoch=11/11 train=0.5s
DEEPAR seed=20260924 lr=0.001 n=193 epoch=11/11 train=0.7s
DEEPAR seed=20260924 lr=0.001 n=221 epoch=11/11 train=0.6s
DEEPAR seed=20260924 lr=0.001 n=167 epoch=11/11 train=0.6s
DEEPAR seed=20260924 lr=0.001 n=221 epoch=11/11 train=0.6s
DEEPAR seed=20260924 lr=0.001 n=167 epoch=11/11 train=0.6s
DEEPAR seed=20260925 lr=0.001 n=167 epoch=11/11 train=0.5s
DEEPAR seed=20260926 lr=0.001 n=167 epoch=11/11 train=0.5s
DEEPAR seed=20260924 lr=0.001 n=167 epoch=11/11 train=0.5s
DEEPAR seed=20260925 lr=0.001 n=167 epoch=11/11 train=0.6s
DEEPAR seed=20260926 lr=0.001 n=167 epoch=11/11 train=0.5s
DEEPAR seed=20260924 lr=0.001 n=167 epoch=11/11 train=0.5s
DEEPAR seed=20260925 lr=0.001 n=167 epoch=11/11 train=0.6s
DEEPAR seed=20260926 lr=0.001 n=167 epoch=11/11 train=0.5s
ALL SETTINGS FROZEN; historical evaluation begins
DEEPAR seed=20260924 lr=0.001 n=167 epoch=11/11 train=0.5s
DEEPAR seed=20260924 lr=0.001 n=193 epoch=11/11 train=0.6s
DEEPAR seed=20260924 lr=0.001 n=221 epoch=11/11 train=0.7s
DEEPAR seed=20260924 lr=0.001 n=248 epoch=11/11 train=0.8s
DEEPAR seed=20260924 lr=0.001 n=280 epoch=11/11 train=0.9s
DEEPAR seed=20260924 lr=0.001 n=304 epoch=11/11 train=0.9s
DEEPAR seed=20260924 lr=0.001 n=334 epoch=11/11 train=1.1s
DEEPAR seed=20260924 lr=0.001 n=361 epoch=11/11 train=1.2s
DEEPAR seed=20260924 lr=0.001 n=387 epoch=11/11 train=1.2s
DEEPAR seed=20260924 lr=0.001 n=415 epoch=11/11 train=1.3s
DEEPAR seed=20260925 lr=0.001 n=167 epoch=11/11 train=0.5s
DEEPAR seed=20260925 lr=0.001 n=193 epoch=11/11 train=0.6s
DEEPAR seed=20260925 lr=0.001 n=221 epoch=11/11 train=0.7s
DEEPAR seed=20260925 lr=0.001 n=248 epoch=11/11 train=0.8s
DEEPAR seed=20260925 lr=0.001 n=280 epoch=11/11 train=0.9s
DEEPAR seed=20260925 lr=0.001 n=304 epoch=11/11 train=0.9s
DEEPAR seed=20260925 lr=0.001 n=334 epoch=11/11 train=1.0s
DEEPAR seed=20260925 lr=0.001 n=361 epoch=11/11 train=1.1s
DEEPAR seed=20260925 lr=0.001 n=387 epoch=11/11 train=1.2s
DEEPAR seed=20260925 lr=0.001 n=415 epoch=11/11 train=1.2s
DEEPAR seed=20260926 lr=0.001 n=167 epoch=11/11 train=0.5s
DEEPAR seed=20260926 lr=0.001 n=193 epoch=11/11 train=0.6s
DEEPAR seed=20260926 lr=0.001 n=221 epoch=11/11 train=0.6s
DEEPAR seed=20260926 lr=0.001 n=248 epoch=11/11 train=0.7s
DEEPAR seed=20260926 lr=0.001 n=280 epoch=11/11 train=0.8s
DEEPAR seed=20260926 lr=0.001 n=304 epoch=11/11 train=0.9s
DEEPAR seed=20260926 lr=0.001 n=334 epoch=11/11 train=1.0s
DEEPAR seed=20260926 lr=0.001 n=361 epoch=11/11 train=1.1s
DEEPAR seed=20260926 lr=0.001 n=387 epoch=11/11 train=1.2s
DEEPAR seed=20260926 lr=0.001 n=415 epoch=11/11 train=1.3s
EXPERIMENT COMPLETE
