target_day,issue_time,label_matured_at,jobs,daily_GPUh,direct_GPUh,absolute_error,atomic_max_error,original_role,original_eligible,split,eligible,reason
2024-11-01,2024-10-31 08:00:00+00:00,2024-11-05 00:46:32+00:00,651,5304.0088888888895,5304.008888888889,9.094947017729282e-13,6.821210263296962e-13,CALIBRATION,True,CALIBRATION,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-02,2024-11-01 08:00:00+00:00,2024-11-05 11:05:40+00:00,2106,31638.60583333337,31638.60583333333,4.365574568510056e-11,1.091393642127514e-11,CALIBRATION,True,CALIBRATION,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-03,2024-11-02 08:00:00+00:00,2024-11-05 10:30:57+00:00,178,1537.6258333333335,1537.6258333333333,2.273736754432321e-13,5.684341886080803e-14,CALIBRATION,True,CALIBRATION,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-04,2024-11-03 08:00:00+00:00,2024-11-06 00:27:45+00:00,453,674.6575,674.6574999999999,1.1368683772161605e-13,1.6875389974302383e-14,CALIBRATION,True,CALIBRATION,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-05,2024-11-04 08:00:00+00:00,2024-11-18 14:48:00+00:00,3687,66246.27305555546,66246.27305555556,1.0186340659856795e-10,2.9103830456733704e-11,CALIBRATION,True,CALIBRATION,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-06,2024-11-05 08:00:00+00:00,2024-11-08 11:23:06+00:00,425,7740.250833333334,7740.250833333333,9.094947017729282e-13,1.1368683772161605e-13,CALIBRATION,True,CALIBRATION,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-07,2024-11-06 08:00:00+00:00,2024-11-16 16:08:38+00:00,151,3953.535833333333,3953.535833333334,4.547473508864641e-13,2.8421709430404014e-14,CALIBRATION,True,CALIBRATION,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-08,2024-11-07 08:00:00+00:00,2024-11-15 19:34:02+00:00,200,3856.678333333333,3856.678333333333,0.0,5.684341886080803e-14,CALIBRATION,True,CALIBRATION,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-09,2024-11-08 08:00:00+00:00,2024-11-22 01:06:24+00:00,250,15069.109999999995,15069.11,1.8189894035458565e-12,5.684341886080803e-14,CALIBRATION,True,CALIBRATION,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-10,2024-11-09 08:00:00+00:00,2024-11-15 08:55:10+00:00,146,2591.245277777778,2591.2452777777776,4.547473508864641e-13,7.105427357601002e-15,CALIBRATION,True,CALIBRATION,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-11,2024-11-10 08:00:00+00:00,2024-11-17 01:29:30+00:00,146,3452.270833333333,3452.270833333334,9.094947017729282e-13,1.1368683772161605e-13,CALIBRATION,True,CALIBRATION,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-12,2024-11-11 08:00:00+00:00,2024-11-19 12:54:00+00:00,1040,11181.69722222222,11181.69722222222,1.8189894035458565e-12,2.7284841053187847e-12,CALIBRATION,True,CALIBRATION,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-13,2024-11-12 08:00:00+00:00,2024-11-19 01:50:19+00:00,427,3814.633055555556,3814.633055555556,4.547473508864641e-13,4.547473508864641e-13,CALIBRATION,True,CALIBRATION,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-14,2024-11-13 08:00:00+00:00,2024-11-27 01:28:45+00:00,491,8107.256666666667,8107.256666666666,9.094947017729282e-13,2.842170943040401e-13,CALIBRATION,True,CALIBRATION,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-15,2024-11-14 08:00:00+00:00,2024-11-22 01:15:32+00:00,159,2721.580277777777,2721.580277777778,9.094947017729282e-13,2.8421709430404014e-14,CALIBRATION,True,CALIBRATION,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-16,2024-11-15 08:00:00+00:00,2024-11-25 18:57:41+00:00,1148,5528.764722222222,5528.764722222223,9.094947017729282e-13,9.094947017729282e-13,CALIBRATION,True,CALIBRATION,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-17,2024-11-16 08:00:00+00:00,2024-11-22 19:25:24+00:00,132,2907.423333333333,2907.423333333333,0.0,5.684341886080803e-14,CALIBRATION,True,CALIBRATION,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-18,2024-11-17 08:00:00+00:00,2024-11-20 19:24:31+00:00,266,3830.5597222222223,3830.5597222222223,0.0,5.684341886080803e-14,CALIBRATION,True,CALIBRATION,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-19,2024-11-18 08:00:00+00:00,2024-11-25 18:53:26+00:00,267,2685.885555555556,2685.885555555556,0.0,1.4210854715202004e-14,CALIBRATION,True,CALIBRATION,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-20,2024-11-19 08:00:00+00:00,2024-11-26 23:44:46+00:00,458,4211.4,4211.4,0.0,2.273736754432321e-13,CALIBRATION,True,CALIBRATION,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-11-21,2024-11-20 08:00:00+00:00,2024-11-23 00:12:38+00:00,767,9678.66638888889,9678.666388888889,1.8189894035458565e-12,2.273736754432321e-13,CALIBRATION,True,CALIBRATION,True,eligible; issue-time features mature; labels before next-stage cutoff
