window,split,seed,N_expected,support_complete,N_hours,actual_GPUh,Q50_coverage,Q90_coverage,calibration_error,Q90_pinball,Q50_pinball,Q50_MAE,Q50_RMSE,requirement_ratio,excess_reserve_proxy,Q90_sum_GPUh,positive_coverage,burst_coverage,N_days
28,DEVELOPMENT,20260924,58,True,816,196457.8227777778,0.5465686274509803,0.9166666666666666,0.016666666666666607,190.74227391491635,118.14298220545784,236.28596441091568,971.5688321613881,4.1161879219781525,3.5968292358623923,808657.3172960134,0.8626262626262626,0.1702127659574468,34
28,CALIBRATION,20260924,26,False,408,202569.10694444436,0.4730392156862745,0.9387254901960784,0.038725490196078405,393.0773963028733,243.06075119476415,486.1215023895283,3299.2815624101786,2.7059674697421143,2.3270786989281382,548145.4137663778,0.9201277955271565,0.44,17
56,DEVELOPMENT,20260924,58,True,816,196457.8227777778,0.5465686274509803,0.9313725490196079,0.03137254901960784,176.27757785336337,118.14298220545784,236.28596441091568,971.5688321613881,3.5164226190131247,2.996960432684833,690828.7316978497,0.8868686868686869,0.14893617021276595,34
56,CALIBRATION,20260924,26,True,624,248575.1924999999,0.453525641025641,0.9423076923076923,0.04230769230769227,296.65536172419417,192.62754917463104,385.2550983492621,2678.499389487771,2.6968120943153258,2.2718268613976087,670360.58548076,0.9281437125748503,0.3684210526315789,26
expanding,DEVELOPMENT,20260924,58,True,816,196457.8227777778,0.5465686274509803,0.9313725490196079,0.03137254901960784,176.31762898668748,118.14298220545784,236.28596441091568,971.5688321613881,3.51808616818263,2.9986239818543385,691155.5489457744,0.8868686868686869,0.14893617021276595,34
expanding,CALIBRATION,20260924,26,True,624,248575.1924999999,0.453525641025641,0.9407051282051282,0.04070512820512817,288.45575978707853,192.62754917463104,385.2550983492621,2678.499389487771,2.4335163655484133,2.0142771888768607,604911.799018097,0.9261477045908184,0.2894736842105263,26
28,DEVELOPMENT,20260925,58,True,816,196457.8227777778,0.5343137254901961,0.9105392156862745,0.010539215686274472,184.37425249114148,117.98445518938716,235.96891037877432,971.2321980593559,3.8119470065884538,3.2965624320193774,748886.809458635,0.8525252525252526,0.1276595744680851,34
28,CALIBRATION,20260925,26,False,408,202569.10694444436,0.4534313725490196,0.9534313725490197,0.05343137254901964,394.0447142095335,242.05249262966473,484.10498525932945,3294.5959107150757,3.0253603082407228,2.616480555131208,612844.5358254921,0.939297124600639,0.44,17
56,DEVELOPMENT,20260925,58,True,816,196457.8227777778,0.5343137254901961,0.9178921568627451,0.017892156862745034,171.76958284966813,117.98445518938716,235.96891037877432,971.2321980593559,3.3213977799264875,2.802713834964601,652514.5764233025,0.8646464646464647,0.1276595744680851,34
56,CALIBRATION,20260925,26,True,624,248575.1924999999,0.4326923076923077,0.9535256410256411,0.05352564102564106,293.5131476288651,191.51076294965546,383.0215258993109,2674.6586902271674,2.900789868439548,2.447518936648842,721064.39994941,0.9421157684630739,0.5,26
expanding,DEVELOPMENT,20260925,58,True,816,196457.8227777778,0.5343137254901961,0.9178921568627451,0.017892156862745034,171.79110899101227,117.98445518938716,235.96891037877432,971.2321980593559,3.3222918818303198,2.803607936868432,652690.2297366709,0.8646464646464647,0.1276595744680851,34
expanding,CALIBRATION,20260925,26,True,624,248575.1924999999,0.4326923076923077,0.9551282051282052,0.055128205128205154,287.9425762878204,191.51076294965546,383.0215258993109,2674.6586902271674,2.7110033773607207,2.262727251471935,673888.186395591,0.9441117764471058,0.5,26
28,DEVELOPMENT,20260926,58,True,816,196457.8227777778,0.5367647058823529,0.9105392156862745,0.010539215686274472,190.6470522143837,117.79699964491763,235.59399928983527,970.9016821135824,3.908221939601202,3.4092643423637425,767800.7731863959,0.8525252525252526,0.1702127659574468,34
28,CALIBRATION,20260926,26,False,408,202569.10694444436,0.4583333333333333,0.9411764705882353,0.04117647058823526,399.7654383899163,242.24822959255232,484.49645918510464,3297.708580312007,2.8994463008016638,2.514680216075,587338.2477867658,0.9233226837060703,0.44,17
56,DEVELOPMENT,20260926,58,True,816,196457.8227777778,0.5367647058823529,0.9117647058823529,0.0117647058823529,175.96592269851445,117.79699964491763,235.59399928983527,970.9016821135824,3.221898772343288,2.730594491272807,632967.2180249575,0.8545454545454545,0.14893617021276595,34
56,CALIBRATION,20260926,26,True,624,248575.1924999999,0.4230769230769231,0.9439102564102564,0.043910256410256365,302.5436990128247,191.51675287605045,383.0335057521009,2677.1442986893508,2.782120263540515,2.3633857469303328,691566.080067734,0.9301397205588823,0.39473684210526316,26
expanding,DEVELOPMENT,20260926,58,True,816,196457.8227777778,0.5367647058823529,0.9117647058823529,0.0117647058823529,175.99172166348848,117.79699964491763,235.59399928983527,970.9016821135824,3.2229703486807,2.7316660676102194,633177.7375791457,0.8545454545454545,0.14893617021276595,34
expanding,CALIBRATION,20260926,26,True,624,248575.1924999999,0.4230769230769231,0.9423076923076923,0.04230769230769227,291.5344064594853,191.51675287605045,383.0335057521009,2677.1442986893508,2.4955828925912504,2.0778654109409493,620339.9979255766,0.9281437125748503,0.39473684210526316,26
