role,model,N_hours,coverage,positive_coverage,burst_coverage,Q90_pinball,requirement_ratio,actual_GPUh,predicted_GPUh,N_burst
DEVELOPMENT,C0,1392,0.8139367816091954,0.7247608926673751,0.0,161.10387108456047,1.0985330576738896,329015.0525,361433.91164356034,83
DEVELOPMENT,C1,1392,0.8139367816091954,0.7247608926673751,0.0,161.10387108456047,1.0985330576738896,329015.0525,361433.91164356034,83
DEVELOPMENT,C2,1392,0.8182471264367817,0.7311370882040382,0.024096385542168676,158.1120730121142,1.2268162043940614,329015.0525,403640.9978965628,83
CALIBRATION,C0,624,0.8509615384615384,0.8143712574850299,0.02631578947368421,280.7899284790907,0.9946505125306836,248575.1924999999,247245.44262253822,38
CALIBRATION,C1,624,0.8573717948717948,0.8223552894211577,0.05263157894736842,286.6716863180046,1.2169769678277196,248575.1924999999,302510.28404584154,38
CALIBRATION,C2,624,0.8589743589743589,0.8243512974051896,0.07894736842105263,287.0633199770681,1.2350587752073645,248575.1924999999,307004.9727959847,38
EXPOSED_EVALUATION,C0,2112,0.8603219696969697,0.8195718654434251,0.007575757575757576,203.0449639119903,1.2093333630859782,672290.9750000001,813023.9057691013,132
EXPOSED_EVALUATION,C1,2112,0.8650568181818182,0.8256880733944955,0.045454545454545456,202.71942876720686,1.295075732304082,672290.9750000001,870667.7267695504,132
EXPOSED_EVALUATION,C2,2112,0.8669507575757576,0.8281345565749235,0.07575757575757576,204.25280218679868,1.4216869073260179,672290.9750000001,955787.2770709433,132
MAY_HISTORICAL,C0,744,0.8763440860215054,0.8560250391236307,0.07246376811594203,307.77869197265886,1.4079281955372558,351588.466388889,495011.3150546196,69
MAY_HISTORICAL,C1,744,0.8844086021505376,0.865414710485133,0.14492753623188406,306.9217982596079,1.6636270354631304,351588.466388889,584912.0780415758,69
MAY_HISTORICAL,C2,744,0.885752688172043,0.86697965571205,0.15942028985507245,308.07250249716816,1.6815138238563805,351588.466388889,591200.8665413812,69
