role,detector,threshold,detector_recall,precision,false_positive_rate,PR_AUC,gated_fraction,gated_hours
DEVELOPMENT,D1_BASE71_BALANCED,0.0025,0.6024096385542169,0.08264462809917356,0.4239877769289534,0.14858796848064423,0.43462643678160917,605
DEVELOPMENT,D1_BASE71_BALANCED,0.005,0.4819277108433735,0.09900990099009901,0.27807486631016043,0.14858796848064423,0.29022988505747127,404
DEVELOPMENT,D1_BASE71_BALANCED,0.01,0.3493975903614458,0.11740890688259109,0.16653934300993126,0.14858796848064423,0.17744252873563218,247
DEVELOPMENT,D1_BASE71_BALANCED,0.02,0.24096385542168675,0.16806722689075632,0.07563025210084033,0.14858796848064423,0.08548850574712644,119
DEVELOPMENT,D1_BASE71_BALANCED,0.05,0.12048192771084337,0.2777777777777778,0.019862490450725745,0.14858796848064423,0.02586206896551724,36
DEVELOPMENT,D1_BASE71_BALANCED,0.1,0.012048192771084338,0.5,0.0007639419404125286,0.14858796848064423,0.0014367816091954023,2
DEVELOPMENT,D2_EXTENDED_BALANCED,0.0025,0.39759036144578314,0.08847184986595175,0.2597402597402597,0.10842641495754664,0.26795977011494254,373
DEVELOPMENT,D2_EXTENDED_BALANCED,0.005,0.2289156626506024,0.08837209302325581,0.1497326203208556,0.10842641495754664,0.15445402298850575,215
DEVELOPMENT,D2_EXTENDED_BALANCED,0.01,0.13253012048192772,0.11702127659574468,0.06340718105423988,0.10842641495754664,0.06752873563218391,94
DEVELOPMENT,D2_EXTENDED_BALANCED,0.02,0.07228915662650602,0.13636363636363635,0.029029793735676088,0.10842641495754664,0.031609195402298854,44
DEVELOPMENT,D2_EXTENDED_BALANCED,0.05,0.03614457831325301,0.3,0.0053475935828877,0.10842641495754664,0.007183908045977011,10
DEVELOPMENT,D2_EXTENDED_BALANCED,0.1,0.012048192771084338,0.3333333333333333,0.0015278838808250573,0.10842641495754664,0.0021551724137931034,3
DEVELOPMENT,D0_OLD,0.1,0.08433734939759036,0.14285714285714285,0.03208556149732621,0.12451935444120381,0.035201149425287355,49
CALIBRATION,D1_BASE71_BALANCED,0.0025,0.8947368421052632,0.07906976744186046,0.6757679180887372,0.09623882324917754,0.6891025641025641,430
CALIBRATION,D1_BASE71_BALANCED,0.005,0.7894736842105263,0.08547008547008547,0.5477815699658704,0.09623882324917754,0.5625,351
CALIBRATION,D1_BASE71_BALANCED,0.01,0.6052631578947368,0.08778625954198473,0.40784982935153585,0.09623882324917754,0.4198717948717949,262
CALIBRATION,D1_BASE71_BALANCED,0.02,0.3684210526315789,0.09722222222222222,0.22184300341296928,0.09623882324917754,0.23076923076923078,144
CALIBRATION,D1_BASE71_BALANCED,0.05,0.10526315789473684,0.08333333333333333,0.07508532423208192,0.09623882324917754,0.07692307692307693,48
CALIBRATION,D1_BASE71_BALANCED,0.1,0.02631578947368421,0.08333333333333333,0.01877133105802048,0.09623882324917754,0.019230769230769232,12
CALIBRATION,D2_EXTENDED_BALANCED,0.0025,0.5263157894736842,0.11363636363636363,0.26621160409556316,0.10711396046266523,0.28205128205128205,176
CALIBRATION,D2_EXTENDED_BALANCED,0.005,0.3157894736842105,0.096,0.19283276450511946,0.10711396046266523,0.20032051282051283,125
CALIBRATION,D2_EXTENDED_BALANCED,0.01,0.23684210526315788,0.1125,0.12116040955631399,0.10711396046266523,0.1282051282051282,80
CALIBRATION,D2_EXTENDED_BALANCED,0.02,0.10526315789473684,0.09523809523809523,0.06484641638225255,0.10711396046266523,0.0673076923076923,42
CALIBRATION,D2_EXTENDED_BALANCED,0.05,0.05263157894736842,0.16666666666666666,0.017064846416382253,0.10711396046266523,0.019230769230769232,12
CALIBRATION,D2_EXTENDED_BALANCED,0.1,0.0,0.0,0.008532423208191127,0.10711396046266523,0.008012820512820512,5
CALIBRATION,D0_OLD,0.1,0.13157894736842105,0.0847457627118644,0.09215017064846416,0.09430472164908874,0.09455128205128205,59
EXPOSED_EVALUATION,D1_BASE71_BALANCED,0.0025,0.8712121212121212,0.0799721835883171,0.6681818181818182,0.08263523813193738,0.6808712121212122,1438
