role,family,detector,threshold,tail_quantile,hard_feasible,normalized_deficit,N_hours,coverage,positive_coverage,burst_coverage,Q90_pinball,requirement_ratio,actual_GPUh,predicted_GPUh,N_burst,detector_recall,precision,false_positive_rate,PR_AUC,gated_fraction,gated_hours
DEVELOPMENT,C1,D1_BASE71_BALANCED,0.0025,,False,1.1123335625429767,1392,0.834051724137931,0.7545164718384697,0.0,157.12787537686302,1.597673479631255,329015.0525,525658.623778735,83,0.6024096385542169,0.08264462809917356,0.4239877769289534,0.14858796848064423,0.43462643678160917,605
CALIBRATION,C1,D1_BASE71_BALANCED,0.0025,,False,0.956140350877193,624,0.907051282051282,0.8842315369261478,0.02631578947368421,275.84430073743965,1.5412820757151464,248575.1924999999,383124.48866769194,38,0.8947368421052632,0.07906976744186046,0.6757679180887372,0.09623882324917754,0.6891025641025641,430
DEVELOPMENT,C1,D1_BASE71_BALANCED,0.005,,False,1.2977920307848887,1392,0.8290229885057471,0.7470775770456961,0.012048192771084338,157.49687422333903,1.575107369635347,329015.0525,518234.0339137106,83,0.4819277108433735,0.09900990099009901,0.27807486631016043,0.14858796848064423,0.29022988505747127,404
CALIBRATION,C1,D1_BASE71_BALANCED,0.005,,False,0.956140350877193,624,0.8958333333333334,0.8702594810379242,0.02631578947368421,277.8996212487287,1.5633287887736746,248575.1924999999,388604.75461020786,38,0.7894736842105263,0.08547008547008547,0.5477815699658704,0.09623882324917754,0.5625,351
DEVELOPMENT,C1,D1_BASE71_BALANCED,0.01,,False,1.5336783779488776,1392,0.8204022988505747,0.7343251859723698,0.012048192771084338,157.7710687615735,1.4415114974711476,329015.0525,474278.98101982323,83,0.3493975903614458,0.11740890688259109,0.16653934300993126,0.14858796848064423,0.17744252873563218,247
CALIBRATION,C1,D1_BASE71_BALANCED,0.01,,False,0.6929824561403508,624,0.8974358974358975,0.872255489021956,0.18421052631578946,279.5248479589033,1.6668692370961988,248575.1924999999,414342.34148351557,38,0.6052631578947368,0.08778625954198473,0.40784982935153585,0.09623882324917754,0.4198717948717949,262
DEVELOPMENT,C1,D1_BASE71_BALANCED,0.02,,False,1.7005721203247695,1392,0.8168103448275862,0.7290116896918172,0.024096385542168676,159.2149304453691,1.2490312519587254,329015.0525,410950.0829373408,83,0.24096385542168675,0.16806722689075632,0.07563025210084033,0.14858796848064423,0.08548850574712644,119
CALIBRATION,C1,D1_BASE71_BALANCED,0.02,,False,1.0350877192982457,624,0.8846153846153846,0.8562874251497006,0.21052631578947367,283.1992822365152,1.5825825257595376,248575.1924999999,393390.7559878131,38,0.3684210526315789,0.09722222222222222,0.22184300341296928,0.09623882324917754,0.23076923076923078,144
DEVELOPMENT,C1,D1_BASE71_BALANCED,0.05,,False,1.9465369134222708,1392,0.8139367816091954,0.7247608926673751,0.0,161.10387108456047,1.0985330576738896,329015.0525,361433.91164356034,83,0.12048192771084337,0.2777777777777778,0.019862490450725745,0.14858796848064423,0.02586206896551724,36
CALIBRATION,C1,D1_BASE71_BALANCED,0.05,,False,1.8179214326764428,624,0.8541666666666666,0.8183632734530938,0.02631578947368421,281.92075656949805,1.0440672669333477,248575.1924999999,259529.22186090567,38,0.10526315789473684,0.08333333333333333,0.07508532423208192,0.09623882324917754,0.07692307692307693,48
DEVELOPMENT,C1,D1_BASE71_BALANCED,0.1,,False,2.127259804988536,1392,0.8139367816091954,0.7247608926673751,0.0,161.10387108456047,1.0985330576738896,329015.0525,361433.91164356034,83,0.012048192771084338,0.5,0.0007639419404125286,0.14858796848064423,0.0014367816091954023,2
CALIBRATION,C1,D1_BASE71_BALANCED,0.1,,False,1.9541968694190566,624,0.8509615384615384,0.8143712574850299,0.02631578947368421,280.7899284790907,0.9946505125306836,248575.1924999999,247245.44262253822,38,0.02631578947368421,0.08333333333333333,0.01877133105802048,0.09623882324917754,0.019230769230769232,12
DEVELOPMENT,C1,D2_EXTENDED_BALANCED,0.0025,,False,1.46093506990392,1392,0.8275862068965517,0.7449521785334751,0.0,158.30024062596212,1.4501928613991428,329015.0525,477135.2804283642,83,0.39759036144578314,0.08847184986595175,0.2597402597402597,0.10842641495754664,0.26795977011494254,373
CALIBRATION,C1,D2_EXTENDED_BALANCED,0.0025,,False,1.0879881104663736,624,0.8733974358974359,0.8423153692614771,0.02631578947368421,277.00128280429135,1.3124401901412155,248575.1924999999,326240.0729090891,38,0.5263157894736842,0.11363636363636363,0.26621160409556316,0.10711396046266523,0.28205128205128205,176
DEVELOPMENT,C1,D2_EXTENDED_BALANCED,0.005,,False,1.7558121465043772,1392,0.819683908045977,0.7332624867162593,0.0,159.88568924714883,1.2843668035225948,329015.0525,422576.0112902437,83,0.2289156626506024,0.08837209302325581,0.1497326203208556,0.10842641495754664,0.15445402298850575,215
CALIBRATION,C1,D2_EXTENDED_BALANCED,0.005,,False,1.358190739264505,624,0.8685897435897436,0.8363273453093812,0.07894736842105263,279.15453155993845,1.2371467101614193,248575.1924999999,307523.98162911634,38,0.3157894736842105,0.096,0.19283276450511946,0.10711396046266523,0.20032051282051283,125
DEVELOPMENT,C1,D2_EXTENDED_BALANCED,0.01,,False,1.92645659213713,1392,0.8139367816091954,0.7247608926673751,0.0,160.98076323889083,1.166420963979452,329015.0525,383770.0547008,83,0.13253012048192772,0.11702127659574468,0.06340718105423988,0.10842641495754664,0.06752873563218391,94
CALIBRATION,C1,D2_EXTENDED_BALANCED,0.01,,False,1.4090951224486012,624,0.8637820512820513,0.8303393213572854,0.13157894736842105,280.8070110778759,1.2412156211964216,248575.1924999999,308535.41197290743,38,0.23684210526315788,0.1125,0.12116040955631399,0.10711396046266523,0.1282051282051282,80
DEVELOPMENT,C1,D2_EXTENDED_BALANCED,0.02,,False,2.026858198562833,1392,0.8139367816091954,0.7247608926673751,0.0,161.10387108456047,1.0985330576738896,329015.0525,361433.91164356034,83,0.07228915662650602,0.13636363636363635,0.029029793735676088,0.10842641495754664,0.031609195402298854,44
CALIBRATION,C1,D2_EXTENDED_BALANCED,0.02,,False,1.8179214326764428,624,0.8541666666666666,0.8183632734530938,0.02631578947368421,282.673868115551,1.0724053389521324,248575.1924999999,266573.36356805393,38,0.10526315789473684,0.09523809523809523,0.06484641638225255,0.10711396046266523,0.0673076923076923,42
DEVELOPMENT,C1,D2_EXTENDED_BALANCED,0.05,,False,2.0870991624182547,1392,0.8139367816091954,0.7247608926673751,0.0,161.10387108456047,1.0985330576738896,329015.0525,361433.91164356034,83,0.03614457831325301,0.3,0.0053475935828877,0.10842641495754664,0.007183908045977011,10
CALIBRATION,C1,D2_EXTENDED_BALANCED,0.05,,False,1.9103372202962494,624,0.8509615384615384,0.8143712574850299,0.02631578947368421,280.7899284790907,0.9946505125306836,248575.1924999999,247245.44262253822,38,0.05263157894736842,0.16666666666666666,0.017064846416382253,0.10711396046266523,0.019230769230769232,12
DEVELOPMENT,C1,D2_EXTENDED_BALANCED,0.1,,False,2.127259804988536,1392,0.8139367816091954,0.7247608926673751,0.0,161.10387108456047,1.0985330576738896,329015.0525,361433.91164356034,83,0.012048192771084338,0.3333333333333333,0.0015278838808250573,0.10842641495754664,0.0021551724137931034,3
CALIBRATION,C1,D2_EXTENDED_BALANCED,0.1,,False,1.9980565185418637,624,0.8509615384615384,0.8143712574850299,0.02631578947368421,280.7899284790907,0.9946505125306836,248575.1924999999,247245.44262253822,38,0.0,0.0,0.008532423208191127,0.10711396046266523,0.008012820512820512,5
