role,model,stratum,N_hours,coverage,positive_coverage,burst_coverage,Q90_pinball,requirement_ratio,actual_GPUh,predicted_GPUh,N_burst
DEVELOPMENT,C0,zero,451,1.0,,,16.5014665394011,,0.0,74421.61409269896,0
DEVELOPMENT,C0,positive,941,0.7247608926673751,0.7247608926673751,0.0,230.40853043617247,0.8723378926587603,329015.0525,287012.2975508614,83
DEVELOPMENT,C0,burst,83,0.0,0.0,0.0,1986.108732191061,0.14258306028690387,213622.27916666673,30458.91830904665,83
DEVELOPMENT,C0,high_risk,49,0.7755102040816326,0.7441860465116279,0.0,287.52943422827343,1.2532545163754774,21211.77833333334,26583.756996605505,7
DEVELOPMENT,C0,low_risk,1343,0.8153387937453462,0.7238307349665924,0.0,156.4911736951026,1.0878706717903297,307803.2741666667,334850.1546469548,76
DEVELOPMENT,C1,zero,451,1.0,,,23.436502165091426,,0.0,105698.62476456234,0
DEVELOPMENT,C1,positive,941,0.7545164718384697,0.7545164718384697,0.0,221.20312438696823,1.2764157622064198,329015.0525,419959.99901417276,83
DEVELOPMENT,C1,burst,83,0.0,0.0,0.0,1828.5937967414807,0.21058335237730322,213622.27916666673,44985.29568939682,83
DEVELOPMENT,C1,high_risk,605,0.8760330578512396,0.8472505091649695,0.0,195.06343959465028,2.0871601722397854,187691.53944444447,391742.3057948172,50
DEVELOPMENT,C1,low_risk,787,0.8017789072426937,0.6533333333333333,0.0,127.9652116516263,0.9475869590877926,141323.51305555555,133916.31798391783,33
DEVELOPMENT,C2,zero,451,1.0,,,24.930304807550367,,0.0,112435.67468205214,0
DEVELOPMENT,C2,positive,941,0.7598299681190224,0.7598299681190224,0.1927710843373494,222.31325509516958,1.7273397501992678,329015.0525,568320.778597149,83
DEVELOPMENT,C2,burst,83,0.1927710843373494,0.1927710843373494,0.1927710843373494,1652.2932874503815,0.31922610728981093,213622.27916666673,68193.8086087523,83
DEVELOPMENT,C2,high_risk,247,0.9473684210526315,0.9400921658986175,0.5517241379310345,249.47585906862872,4.312179757859521,100701.48861111113,434242.9207751545,29
DEVELOPMENT,C2,low_risk,1145,0.8139737991266376,0.7058011049723757,0.0,138.70725181031307,1.0797147935722955,228313.56388888886,246513.5325040467,54
CALIBRATION,C0,zero,123,1.0,,,22.371353699978325,,0.0,27516.765050973336,0
CALIBRATION,C0,positive,501,0.8143712574850299,0.8143712574850299,0.02631578947368421,344.23400971228597,0.8839525592304026,248575.19249999992,219728.6775715649,38
CALIBRATION,C0,burst,38,0.02631578947368421,0.02631578947368421,0.02631578947368421,3946.2844653113907,0.1090416703209048,185609.89972222215,20239.213493806747,38
CALIBRATION,C0,high_risk,59,0.8813559322033898,0.875,0.2,262.9124825319004,2.135098097137863,25801.718333333334,55089.199716387106,5
CALIBRATION,C0,low_risk,565,0.8477876106194691,0.8067415730337079,0.0,282.6567768169389,0.8625633892228597,222773.4741666666,192156.2429061511,33
CALIBRATION,C1,zero,123,1.0,,,38.652129704153154,,0.0,47542.11953610837,0
CALIBRATION,C1,positive,501,0.8842315369261478,0.8842315369261478,0.02631578947368421,334.0771091947136,1.3500235713649653,248575.19249999992,335582.3691315836,38
CALIBRATION,C1,burst,38,0.02631578947368421,0.02631578947368421,0.02631578947368421,3700.2761136055547,0.16680565402762315,185609.89972222215,30960.780717166814,38
CALIBRATION,C1,high_risk,430,0.9069767441860465,0.8913043478260869,0.029411764705882353,381.91724613921826,1.4782423534496283,234065.72805555543,346005.87270274496,34
CALIBRATION,C1,low_risk,194,0.9072164948453608,0.8646616541353384,0.0,40.734164022157266,2.5582347375446637,14509.464444444444,37118.61596494696,4
CALIBRATION,C2,zero,123,1.0,,,63.86036223719534,,0.0,78548.24555175025,0
CALIBRATION,C2,positive,501,0.8902195608782435,0.8902195608782435,0.42105263157894735,354.41006925573726,2.196897675953946,248575.19249999992,546094.2627030546,38
CALIBRATION,C2,burst,38,0.42105263157894735,0.42105263157894735,0.42105263157894735,3412.1345880611657,0.28418322113584416,185609.89972222215,52747.21917776211,38
CALIBRATION,C2,high_risk,262,0.9732824427480916,0.9696969696969697,0.6956521739130435,536.8034779608031,2.965745222103674,180260.7263888888,534607.3880207847,23
CALIBRATION,C2,low_risk,362,0.8674033149171271,0.8222222222222222,0.0,123.67888957615745,1.317951019152829,68314.46611111108,90035.12023402024,15
EXPOSED_EVALUATION,C0,zero,477,1.0,,,17.359133256204114,,0.0,82803.06563209363,0
EXPOSED_EVALUATION,C0,positive,1635,0.8195718654434251,0.8195718654434251,0.007575757575757576,257.21752735101785,1.0861678459048294,672290.9750000001,730220.8401370076,132
EXPOSED_EVALUATION,C0,burst,132,0.007575757575757576,0.007575757575757576,0.007575757575757576,2645.808292992002,0.1546177139468889,458577.43000000005,70904.19389423948,132
EXPOSED_EVALUATION,C0,high_risk,169,0.8520710059171598,0.8387096774193549,0.047619047619047616,310.12207257471493,1.5660756197961514,89381.85416666669,139978.74266259174,21
EXPOSED_EVALUATION,C0,low_risk,1943,0.8610396294390118,0.8175675675675675,0.0,193.73151493412078,1.1546313808648538,582909.1208333333,673045.1631065096,111
EXPOSED_EVALUATION,C1,zero,477,1.0,,,29.56990281042231,,0.0,141048.43640571437,0
EXPOSED_EVALUATION,C1,positive,1635,0.8709480122324159,0.8709480122324159,0.07575757575757576,251.71929643487348,1.5566573827695835,672290.9750000001,1046526.7096031117,132
EXPOSED_EVALUATION,C1,burst,132,0.07575757575757576,0.07575757575757576,0.07575757575757576,2450.709048791801,0.2198755057969782,458577.43000000005,100829.94436832838,132
EXPOSED_EVALUATION,C1,high_risk,1438,0.913769123783032,0.8981101068200493,0.08695652173913043,251.45770888675233,1.8613062377895842,576744.3938888888,1073497.9379555616,115
EXPOSED_EVALUATION,C1,low_risk,674,0.870919881305638,0.7918660287081339,0.0,95.05891384634978,1.1939433805653787,95546.58111111133,114077.20805326442,17
EXPOSED_EVALUATION,C2,zero,477,1.0,,,50.80546465983793,,0.0,242342.0664274269,0
EXPOSED_EVALUATION,C2,positive,1635,0.8678899082568807,0.8678899082568807,0.25757575757575757,281.16403171404676,2.506466497036593,672290.9750000001,1685074.8050975658,132
EXPOSED_EVALUATION,C2,burst,132,0.25757575757575757,0.25757575757575757,0.25757575757575757,2322.2749068068733,0.31359949838602125,458577.43000000005,143809.6520191508,132
EXPOSED_EVALUATION,C2,high_risk,798,0.9661654135338346,0.961864406779661,0.5573770491803278,300.52578510291255,5.034860596202416,313111.95666666667,1576475.0528208385,61
EXPOSED_EVALUATION,C2,low_risk,1314,0.8561643835616438,0.7961165048543689,0.0,185.7822085107191,0.9770665901716598,359179.0183333334,350941.81870415417,71
MAY_HISTORICAL,C0,zero,105,1.0,,,40.15124019014965,,0.0,42158.802199657126,0
MAY_HISTORICAL,C0,positive,639,0.8560250391236307,0.8560250391236307,0.07246376811594203,351.7550338148552,1.2880186813468055,351588.466388889,452852.5128549625,69
MAY_HISTORICAL,C0,burst,69,0.07246376811594203,0.07246376811594203,0.07246376811594203,2745.374396740387,0.216006287354956,266380.71444444463,57539.90915010519,69
MAY_HISTORICAL,C0,high_risk,177,0.8757062146892656,0.8690476190476191,0.16,412.3757996424031,1.4723064642648689,121467.34388888898,178837.15560469506,25
MAY_HISTORICAL,C0,low_risk,567,0.8765432098765432,0.851380042462845,0.022727272727272728,275.1266848164953,1.3739467112582184,230121.1225,316174.1594499246,44
MAY_HISTORICAL,C1,zero,105,1.0,,,77.51786968470093,,0.0,81393.76316893596,0
MAY_HISTORICAL,C1,positive,639,0.9045383411580594,0.9045383411580594,0.17391304347826086,345.4341603992923,1.9427374114613831,351588.466388889,683044.0670920277,69
MAY_HISTORICAL,C1,burst,69,0.17391304347826086,0.17391304347826086,0.17391304347826086,2450.6105725342327,0.31312835719666954,266380.71444444463,83411.35550286408,69
MAY_HISTORICAL,C1,high_risk,715,0.9174825174825175,0.9034369885433715,0.17391304347826086,319.08630243305066,2.1596272466807553,350716.7144444445,757417.3723805763,69
MAY_HISTORICAL,C1,low_risk,29,0.9310344827586207,0.9285714285714286,,25.003399048626147,8.053274701740257,871.7519444444443,7020.457880387321,0
MAY_HISTORICAL,C2,zero,105,1.0,,,137.00715458702877,,0.0,143857.51231638022,0
MAY_HISTORICAL,C2,positive,639,0.92018779342723,0.92018779342723,0.463768115942029,359.9207236140569,2.7544659807243463,351588.466388889,968438.4698832401,69
MAY_HISTORICAL,C2,burst,69,0.463768115942029,0.463768115942029,0.463768115942029,2201.9112973664437,0.4517637062492117,266380.71444444463,120341.13883073523,69
MAY_HISTORICAL,C2,high_risk,578,0.9429065743944637,0.9352941176470588,0.49230769230769234,399.76458278202176,3.2096869388711973,328889.68722222233,1055632.9334066003,65
