role,detector,threshold,detector_recall,precision,false_positive_rate,PR_AUC,gated_fraction,gated_hours
DEVELOPMENT,PR69_MATCHED_GATE,0.01,0.3493975903614458,0.11740890688259109,0.16653934300993126,0.14858796848064423,0.17744252873563218,247
DEVELOPMENT,PR69_PRIOR_C1_GATE,0.0025,0.6024096385542169,0.08264462809917356,0.4239877769289534,0.14858796848064423,0.43462643678160917,605
DEVELOPMENT,REQUEST_STATE,0.01,0.0963855421686747,0.1095890410958904,0.04965622612681436,0.08762873111104875,0.05244252873563218,73
CALIBRATION,PR69_MATCHED_GATE,0.01,0.6052631578947368,0.08778625954198473,0.40784982935153585,0.09623882324917754,0.4198717948717949,262
CALIBRATION,PR69_PRIOR_C1_GATE,0.0025,0.8947368421052632,0.07906976744186046,0.6757679180887372,0.09623882324917754,0.6891025641025641,430
CALIBRATION,REQUEST_STATE,0.01,0.2631578947368421,0.14285714285714285,0.10238907849829351,0.11631280004669005,0.11217948717948718,70
EXPOSED_EVALUATION,PR69_MATCHED_GATE,0.01,0.4621212121212121,0.07644110275689223,0.37222222222222223,0.08263523813193738,0.3778409090909091,798
EXPOSED_EVALUATION,PR69_PRIOR_C1_GATE,0.0025,0.8712121212121212,0.0799721835883171,0.6681818181818182,0.08263523813193738,0.6808712121212122,1438
EXPOSED_EVALUATION,REQUEST_STATE,0.01,0.11363636363636363,0.08152173913043478,0.08535353535353535,0.09177726605399497,0.08712121212121213,184
MAY_HISTORICAL,PR69_MATCHED_GATE,0.01,0.9420289855072463,0.11245674740484429,0.76,0.14487547565754075,0.7768817204301075,578
MAY_HISTORICAL,PR69_PRIOR_C1_GATE,0.0025,1.0,0.0965034965034965,0.957037037037037,0.14487547565754075,0.9610215053763441,715
MAY_HISTORICAL,REQUEST_STATE,0.01,0.6521739130434783,0.11627906976744186,0.5066666666666667,0.13795262741188113,0.5201612903225806,387
