role,model,N_hours,coverage,positive_coverage,burst_coverage,Q90_pinball,requirement_ratio,actual_GPUh,predicted_GPUh,N_burst,detector_recall,precision,false_positive_rate,PR_AUC,gated_fraction,gated_hours
DEVELOPMENT,C0,1392,0.8139367816091954,0.7247608926673751,0.0,161.10387108456047,1.0985330576738896,329015.0525,361433.91164356034,83,0.3493975903614458,0.11740890688259109,0.16653934300993126,0.14858796848064423,0.17744252873563218,247
DEVELOPMENT,C1,1392,0.8146551724137931,0.7258235919234857,0.0,161.17355230322883,1.135218761589735,329015.0525,373504.0604434316,83,0.0963855421686747,0.1095890410958904,0.04965622612681436,0.08762873111104875,0.05244252873563218,73
DEVELOPMENT,C2,1392,0.819683908045977,0.7332624867162593,0.04819277108433735,162.78703316361134,1.6313137415324777,329015.0525,536726.7763142795,83,0.0963855421686747,0.1095890410958904,0.04965622612681436,0.08762873111104875,0.05244252873563218,73
CALIBRATION,C0,624,0.8509615384615384,0.8143712574850299,0.02631578947368421,280.7899284790907,0.9946505125306836,248575.1924999999,247245.44262253822,38,0.6052631578947368,0.08778625954198473,0.40784982935153585,0.09623882324917754,0.4198717948717949,262
CALIBRATION,C1,624,0.8637820512820513,0.8303393213572854,0.10526315789473684,278.3897532528045,1.2072971833945807,248575.1924999999,300104.1297670156,38,0.2631578947368421,0.14285714285714285,0.10238907849829351,0.11631280004669005,0.11217948717948718,70
CALIBRATION,C2,624,0.8717948717948718,0.8403193612774451,0.23684210526315788,295.27963690244604,1.749036652442368,248575.1924999999,434767.122570417,38,0.2631578947368421,0.14285714285714285,0.10238907849829351,0.11631280004669005,0.11217948717948718,70
EXPOSED_EVALUATION,C0,2112,0.8603219696969697,0.8195718654434251,0.007575757575757576,203.0449639119903,1.2093333630859782,672290.9750000001,813023.9057691013,132,0.4621212121212121,0.07644110275689223,0.37222222222222223,0.08263523813193738,0.3778409090909091,798
EXPOSED_EVALUATION,C1,2112,0.868844696969697,0.8305810397553517,0.05303030303030303,203.62806166095294,1.3440657902104403,672290.9750000001,903603.3005647224,132,0.11363636363636363,0.08152173913043478,0.08535353535353535,0.09177726605399497,0.08712121212121213,184
EXPOSED_EVALUATION,C2,2112,0.8716856060606061,0.8342507645259939,0.09090909090909091,214.25130321297283,1.8272129759795241,672290.9750000001,1228418.793153926,132,0.11363636363636363,0.08152173913043478,0.08535353535353535,0.09177726605399497,0.08712121212121213,184
MAY_HISTORICAL,C0,744,0.8763440860215054,0.8560250391236307,0.07246376811594203,307.77869197265886,1.4079281955372558,351588.466388889,495011.3150546196,69,0.9420289855072463,0.11245674740484429,0.76,0.14487547565754075,0.7768817204301075,578
MAY_HISTORICAL,C1,744,0.9005376344086021,0.8841940532081377,0.2753623188405797,311.587342926618,2.1508452334865233,351588.466388889,756212.3770813786,69,0.6521739130434783,0.11627906976744186,0.5066666666666667,0.13795262741188113,0.5201612903225806,387
MAY_HISTORICAL,C2,744,0.9126344086021505,0.8982785602503912,0.4057971014492754,334.6698993961478,2.988697655565314,351588.466388889,1050791.6252202769,69,0.6521739130434783,0.11627906976744186,0.5066666666666667,0.13795262741188113,0.5201612903225806,387
