role,model,reference,metric,delta,CI95_low,CI95_high,N_days,draws,block_observed_days
EXPOSED_EVALUATION,C1,C0 forecast / PR69 balanced detector matched0.01 gate,Q90_pinball,0.5830977489625866,-1.110040793805431,2.1027161918597383,88,2000,1
EXPOSED_EVALUATION,C1,C0 forecast / PR69 balanced detector matched0.01 gate,coverage,0.008522727272727293,0.004734848484848508,0.012310606060606077,88,2000,1
EXPOSED_EVALUATION,C1,C0 forecast / PR69 balanced detector matched0.01 gate,positive_coverage,0.011009174311926606,0.006285059387536618,0.01601981713169913,88,2000,1
EXPOSED_EVALUATION,C1,C0 forecast / PR69 balanced detector matched0.01 gate,burst_coverage,0.045454545454545456,0.014922609176340518,0.08088235294117647,88,2000,1
EXPOSED_EVALUATION,C1,C0 forecast / PR69 balanced detector matched0.01 gate,requirement_ratio,0.13473242712446254,0.09473348871008362,0.18430482013164232,88,2000,1
EXPOSED_EVALUATION,C1,C0 forecast / PR69 balanced detector matched0.01 gate,detector_recall,-0.34848484848484845,-0.4796829268292683,-0.2252147496333543,88,2000,1
EXPOSED_EVALUATION,C1,C0 forecast / PR69 balanced detector matched0.01 gate,precision,0.0050806363735425575,-0.039120537635466385,0.050554657786654376,88,2000,1
EXPOSED_EVALUATION,C1,C0 forecast / PR69 balanced detector matched0.01 gate,false_positive_rate,-0.2868686868686869,-0.33588185087879513,-0.2372982865577564,88,2000,1
EXPOSED_EVALUATION,C1,C0 forecast / PR69 balanced detector matched0.01 gate,pinball_minus_2pct_margin,-3.4778015292772197,-5.7114971044198874,-1.5399594729033361,88,2000,1
EXPOSED_EVALUATION,C1,C0 forecast / PR69 balanced detector matched0.01 gate,PR_AUC,0.009142027922057594,-0.01204482110434792,0.030179941231058424,88,2000,1
EXPOSED_EVALUATION,C1,C0 forecast / PR69 balanced detector matched0.01 gate,predicted_high_risk_fraction,-0.29071969696969696,-0.33713304924242427,-0.24195075757575754,88,2000,1
EXPOSED_EVALUATION,C1,C0 forecast / PR69 balanced detector matched0.01 gate,Q90_pinball,0.5830977489625866,-1.2411276591549083,2.548252274498172,88,2000,7
EXPOSED_EVALUATION,C1,C0 forecast / PR69 balanced detector matched0.01 gate,coverage,0.008522727272727293,0.0042613636363636465,0.01278409090909094,88,2000,7
EXPOSED_EVALUATION,C1,C0 forecast / PR69 balanced detector matched0.01 gate,positive_coverage,0.011009174311926606,0.005735955104042861,0.01646880974496321,88,2000,7
EXPOSED_EVALUATION,C1,C0 forecast / PR69 balanced detector matched0.01 gate,burst_coverage,0.045454545454545456,0.01652892561983471,0.07693661971830978,88,2000,7
EXPOSED_EVALUATION,C1,C0 forecast / PR69 balanced detector matched0.01 gate,requirement_ratio,0.13473242712446254,0.08798689651615359,0.20670836243817983,88,2000,7
EXPOSED_EVALUATION,C1,C0 forecast / PR69 balanced detector matched0.01 gate,detector_recall,-0.34848484848484845,-0.4744525547445255,-0.2314780265339967,88,2000,7
EXPOSED_EVALUATION,C1,C0 forecast / PR69 balanced detector matched0.01 gate,precision,0.0050806363735425575,-0.03456948594436702,0.04611351501337951,88,2000,7
EXPOSED_EVALUATION,C1,C0 forecast / PR69 balanced detector matched0.01 gate,false_positive_rate,-0.2868686868686869,-0.3588588563013981,-0.2171256212218229,88,2000,7
EXPOSED_EVALUATION,C1,C0 forecast / PR69 balanced detector matched0.01 gate,pinball_minus_2pct_margin,-3.4778015292772197,-5.714832467237118,-1.0624742255126847,88,2000,7
