day_index,target_day,jobs,daily_GPUh,direct_job_GPUh,absolute_mass_error_GPUh,unresolved_positive_GPU_jobs,label_matured_at,issue_time,split,eligible
0,2024-03-15,165,346.52277777777783,346.5227777777778,5.684341886080802e-14,0,2024-03-15T14:05:59+00:00,2024-03-14 08:00:00+00:00,TRAIN,True
1,2024-03-16,401,260.81888888888886,260.8188888888889,5.684341886080802e-14,0,2024-03-16T14:00:00+00:00,2024-03-15 08:00:00+00:00,TRAIN,True
2,2024-03-17,405,31.73222222222219,31.732222222222223,3.197442310920451e-14,0,2024-03-17T14:00:00+00:00,2024-03-16 08:00:00+00:00,TRAIN,True
3,2024-03-18,39,78.7166666666666,78.71666666666667,7.105427357601002e-14,0,2024-03-18T14:00:00+00:00,2024-03-17 08:00:00+00:00,TRAIN,True
4,2024-03-19,242,172.66972222222222,172.6697222222222,2.842170943040401e-14,0,2024-03-19T14:00:00+00:00,2024-03-18 08:00:00+00:00,TRAIN,True
5,2024-03-20,424,268.65638888888884,268.6563888888889,5.684341886080802e-14,0,2024-03-20T15:39:09+00:00,2024-03-19 08:00:00+00:00,TRAIN,True
6,2024-03-21,325,816.8919444444446,816.8919444444443,2.2737367544323206e-13,0,2024-03-22T20:09:46+00:00,2024-03-20 08:00:00+00:00,TRAIN,True
7,2024-03-22,716,909.8311111111109,909.8311111111111,2.2737367544323206e-13,0,2024-03-22T15:44:27+00:00,2024-03-21 08:00:00+00:00,TRAIN,True
8,2024-03-23,385,615.155,615.155,0.0,0,2024-03-23T14:00:00+00:00,2024-03-22 08:00:00+00:00,TRAIN,True
9,2024-03-24,29,98.79999999999998,98.80000000000001,2.842170943040401e-14,0,2024-03-24T14:00:00+00:00,2024-03-23 08:00:00+00:00,TRAIN,True
10,2024-03-25,306,89.40083333333335,89.40083333333334,1.4210854715202004e-14,0,2024-03-25T15:36:01+00:00,2024-03-24 08:00:00+00:00,TRAIN,True
11,2024-03-26,1052,788.703611111111,788.7036111111111,1.1368683772161603e-13,0,2024-03-26T18:31:51+00:00,2024-03-25 08:00:00+00:00,TRAIN,True
12,2024-03-27,958,686.887777777778,686.8877777777777,2.2737367544323206e-13,0,2024-03-27T19:12:44+00:00,2024-03-26 08:00:00+00:00,TRAIN,True
13,2024-03-28,476,360.8427777777779,360.8427777777778,5.684341886080802e-14,0,2024-03-28T15:43:05+00:00,2024-03-27 08:00:00+00:00,TRAIN,True
14,2024-03-29,254,1044.359722222222,1044.3597222222222,2.2737367544323206e-13,0,2024-03-29T14:34:14+00:00,2024-03-28 08:00:00+00:00,TRAIN,True
15,2024-03-30,81,1368.1669444444442,1368.1669444444444,2.2737367544323206e-13,0,2024-03-30T14:00:00+00:00,2024-03-29 08:00:00+00:00,TRAIN,True
16,2024-03-31,18,107.25777777777778,107.25777777777779,1.4210854715202004e-14,0,2024-03-31T14:00:00+00:00,2024-03-30 08:00:00+00:00,TRAIN,True
17,2024-04-01,403,169.9877777777778,169.98777777777778,2.842170943040401e-14,0,2024-04-01T15:42:17+00:00,2024-03-31 08:00:00+00:00,TRAIN,True
18,2024-04-02,1161,1486.906388888889,1486.9063888888888,2.2737367544323206e-13,0,2024-04-03T17:23:16+00:00,2024-04-01 08:00:00+00:00,TRAIN,True
19,2024-04-03,1984,1468.8899999999994,1468.8899999999999,4.547473508864641e-13,0,2024-04-03T19:18:08+00:00,2024-04-02 08:00:00+00:00,TRAIN,True
20,2024-04-04,2389,1512.1902777777777,1512.1902777777777,0.0,0,2024-04-04T14:09:34+00:00,2024-04-03 08:00:00+00:00,TRAIN,True
21,2024-04-05,5201,1830.0966666666686,1830.0966666666668,1.8189894035458565e-12,0,2024-04-05T16:58:48+00:00,2024-04-04 08:00:00+00:00,TRAIN,True
22,2024-04-06,3230,1549.1258333333335,1549.1258333333335,0.0,0,2024-04-06T20:48:00+00:00,2024-04-05 08:00:00+00:00,TRAIN,True
23,2024-04-07,867,501.8130555555555,501.8130555555556,1.1368683772161603e-13,0,2024-04-09T01:19:34+00:00,2024-04-06 08:00:00+00:00,TRAIN,True
24,2024-04-08,0,0.0,0.0,0.0,0,2024-04-08T14:00:00+00:00,2024-04-07 08:00:00+00:00,TRAIN,True
25,2024-04-09,2975,1090.9044444444432,1090.9044444444444,1.1368683772161603e-12,0,2024-04-09T14:38:10+00:00,2024-04-08 08:00:00+00:00,TRAIN,True
26,2024-04-10,8344,927.1744444444464,927.1744444444445,1.9326762412674725e-12,0,2024-04-10T17:19:58+00:00,2024-04-09 08:00:00+00:00,TRAIN,True
27,2024-04-11,7696,2170.2322222222197,2170.232222222222,2.2737367544323206e-12,0,2024-04-11T15:13:25+00:00,2024-04-10 08:00:00+00:00,TRAIN,True
28,2024-04-12,13578,5182.5811111111,5182.581111111111,1.0913936421275139e-11,0,2024-04-17T15:46:07+00:00,2024-04-11 08:00:00+00:00,TRAIN,True
29,2024-04-13,804,380.87555555555565,380.87555555555554,1.1368683772161603e-13,0,2024-04-13T14:00:00+00:00,2024-04-12 08:00:00+00:00,TRAIN,True
30,2024-04-14,0,0.0,0.0,0.0,0,2024-04-14T14:00:00+00:00,2024-04-13 08:00:00+00:00,TRAIN,True
31,2024-04-15,0,0.0,0.0,0.0,0,2024-04-15T14:00:00+00:00,2024-04-14 08:00:00+00:00,TRAIN,True
32,2024-04-16,0,0.0,0.0,0.0,0,2024-04-16T14:00:00+00:00,2024-04-15 08:00:00+00:00,TRAIN,True
33,2024-04-17,0,0.0,0.0,0.0,0,2024-04-17T14:00:00+00:00,2024-04-16 08:00:00+00:00,TRAIN,True
34,2024-04-18,251,94.64138888888888,94.64138888888888,0.0,0,2024-04-18T14:00:00+00:00,2024-04-17 08:00:00+00:00,TRAIN,True
35,2024-04-19,112,182.91777777777784,182.9177777777778,5.684341886080802e-14,0,2024-04-19T15:24:58+00:00,2024-04-18 08:00:00+00:00,TRAIN,True
36,2024-04-20,3400,565.4711111111105,565.4711111111111,5.684341886080801e-13,0,2024-04-20T14:06:05+00:00,2024-04-19 08:00:00+00:00,TRAIN,True
37,2024-04-21,6795,1015.1555555555558,1015.1555555555556,2.2737367544323206e-13,0,2024-04-21T14:00:00+00:00,2024-04-20 08:00:00+00:00,TRAIN,True
38,2024-04-22,763,2592.7330555555563,2592.7330555555554,9.094947017729282e-13,0,2024-04-22T17:34:56+00:00,2024-04-21 08:00:00+00:00,TRAIN,True
39,2024-04-23,3614,1028.6752777777779,1028.6752777777776,2.2737367544323206e-13,0,2024-04-23T14:00:00+00:00,2024-04-22 08:00:00+00:00,TRAIN,True
40,2024-04-24,3686,3285.1141666666663,3285.1141666666667,4.547473508864641e-13,0,2024-04-25T16:22:13+00:00,2024-04-23 08:00:00+00:00,TRAIN,True
41,2024-04-25,4108,3315.830277777777,3315.8302777777776,4.547473508864641e-13,0,2024-04-25T14:00:00+00:00,2024-04-24 08:00:00+00:00,TRAIN,True
42,2024-04-26,3453,3056.4372222222178,3056.437222222222,4.092726157978177e-12,0,2024-04-27T22:50:38+00:00,2024-04-25 08:00:00+00:00,TRAIN,True
43,2024-04-27,4602,3208.332777777778,3208.3327777777777,4.547473508864641e-13,0,2024-04-27T22:54:00+00:00,2024-04-26 08:00:00+00:00,TRAIN,True
44,2024-04-28,8037,2076.4658333333327,2076.4658333333336,9.094947017729282e-13,0,2024-04-28T14:57:40+00:00,2024-04-27 08:00:00+00:00,TRAIN,True
45,2024-04-29,6965,5338.081666666663,5338.081666666667,3.637978807091713e-12,0,2024-05-01T01:00:09+00:00,2024-04-28 08:00:00+00:00,TRAIN,True
46,2024-04-30,337,1712.1225000000002,1712.1225000000002,0.0,0,2024-04-30T14:00:00+00:00,2024-04-29 08:00:00+00:00,TRAIN,True
47,2024-05-01,8829,2205.139444444444,2205.1394444444445,4.547473508864641e-13,0,2024-05-01T17:46:46+00:00,2024-04-30 08:00:00+00:00,TRAIN,True
48,2024-05-02,7987,2643.6441666666624,2643.644166666667,4.547473508864641e-12,0,2024-05-02T14:21:34+00:00,2024-05-01 08:00:00+00:00,TRAIN,True
49,2024-05-03,8753,2752.0302777777783,2752.030277777778,4.547473508864641e-13,0,2024-05-03T17:31:39+00:00,2024-05-02 08:00:00+00:00,TRAIN,True
50,2024-05-04,7620,2063.6377777777775,2063.637777777778,4.547473508864641e-13,0,2024-05-04T14:19:00+00:00,2024-05-03 08:00:00+00:00,TRAIN,True
51,2024-05-05,8469,2994.834722222223,2994.834722222222,9.094947017729282e-13,0,2024-05-06T08:16:47+00:00,2024-05-04 08:00:00+00:00,TRAIN,True
52,2024-05-06,7773,2534.4397222222206,2534.4397222222224,1.8189894035458565e-12,0,2024-05-07T22:14:42+00:00,2024-05-05 08:00:00+00:00,TRAIN,True
53,2024-05-07,4347,4375.39722222222,4375.397222222222,1.8189894035458565e-12,0,2024-05-07T14:43:28+00:00,2024-05-06 08:00:00+00:00,TRAIN,True
54,2024-05-08,3420,4696.669722222219,4696.669722222221,1.8189894035458565e-12,0,2024-05-08T16:50:52+00:00,2024-05-07 08:00:00+00:00,TRAIN,True
55,2024-05-09,4266,4269.2375,4269.2375,0.0,0,2024-05-10T15:54:51+00:00,2024-05-08 08:00:00+00:00,TRAIN,True
56,2024-05-10,7480,2198.0930555555565,2198.093055555555,1.3642420526593924e-12,0,2024-05-10T15:58:56+00:00,2024-05-09 08:00:00+00:00,TRAIN,True
57,2024-05-11,11943,2980.7994444444453,2980.7994444444444,9.094947017729282e-13,0,2024-05-11T14:13:25+00:00,2024-05-10 08:00:00+00:00,TRAIN,True
58,2024-05-12,20791,3529.755000000003,3529.755,2.7284841053187847e-12,0,2024-05-12T14:15:30+00:00,2024-05-11 08:00:00+00:00,TRAIN,True
59,2024-05-13,21827,3485.0791666666682,3485.0791666666664,1.8189894035458565e-12,0,2024-05-13T14:49:24+00:00,2024-05-12 08:00:00+00:00,TRAIN,True
60,2024-05-14,13119,2854.512222222224,2854.5122222222217,2.2737367544323206e-12,0,2024-05-14T15:56:20+00:00,2024-05-13 08:00:00+00:00,TRAIN,True
61,2024-05-15,16601,3172.116944444447,3172.1169444444445,2.7284841053187847e-12,0,2024-05-16T13:44:25+00:00,2024-05-14 08:00:00+00:00,TRAIN,True
62,2024-05-16,13863,2883.6100000000006,2883.61,4.547473508864641e-13,0,2024-05-17T10:20:09+00:00,2024-05-15 08:00:00+00:00,TRAIN,True
63,2024-05-17,5288,1915.4355555555558,1915.4355555555555,2.2737367544323206e-13,0,2024-05-17T23:15:46+00:00,2024-05-16 08:00:00+00:00,TRAIN,True
64,2024-05-18,288,2245.445277777778,2245.445277777778,0.0,0,2024-05-18T14:54:17+00:00,2024-05-17 08:00:00+00:00,TRAIN,True
65,2024-05-19,189,2622.378055555555,2622.378055555556,9.094947017729282e-13,0,2024-05-20T20:47:55+00:00,2024-05-18 08:00:00+00:00,TRAIN,True
66,2024-05-20,315,3474.9988888888856,3474.9988888888884,2.7284841053187847e-12,0,2024-05-20T18:03:08+00:00,2024-05-19 08:00:00+00:00,TRAIN,True
67,2024-05-21,568,8001.468611111107,8001.468611111112,5.4569682106375694e-12,0,2024-05-21T20:10:24+00:00,2024-05-20 08:00:00+00:00,TRAIN,True
68,2024-05-22,441,6777.421666666667,6777.421666666667,0.0,0,2024-05-30T20:20:33+00:00,2024-05-21 08:00:00+00:00,TRAIN,True
69,2024-05-23,191,8256.931666666665,8256.931666666665,0.0,0,2024-05-24T22:18:39+00:00,2024-05-22 08:00:00+00:00,TRAIN,True
70,2024-05-24,252,6848.539166666667,6848.539166666666,1.8189894035458565e-12,0,2024-05-28T00:54:42+00:00,2024-05-23 08:00:00+00:00,TRAIN,True
71,2024-05-25,255,2060.735833333333,2060.735833333333,0.0,0,2024-06-05T20:14:45+00:00,2024-05-24 08:00:00+00:00,TRAIN,True
72,2024-05-26,289,5791.058055555556,5791.058055555555,9.094947017729282e-13,0,2024-05-26T18:29:05+00:00,2024-05-25 08:00:00+00:00,TRAIN,True
73,2024-05-27,237,4861.537222222223,4861.537222222222,9.094947017729282e-13,0,2024-05-27T19:51:15+00:00,2024-05-26 08:00:00+00:00,TRAIN,True
74,2024-05-28,152,2003.0472222222222,2003.0472222222222,0.0,0,2024-05-28T17:05:37+00:00,2024-05-27 08:00:00+00:00,TRAIN,True
75,2024-05-29,345,7336.716944444445,7336.716944444444,9.094947017729282e-13,0,2024-05-30T20:20:14+00:00,2024-05-28 08:00:00+00:00,TRAIN,True
76,2024-05-30,114,636.4930555555555,636.4930555555557,1.1368683772161603e-13,0,2024-05-30T20:20:14+00:00,2024-05-29 08:00:00+00:00,TRAIN,True
77,2024-05-31,194,1115.036111111111,1115.036111111111,0.0,0,2024-06-02T03:40:32+00:00,2024-05-30 08:00:00+00:00,TRAIN,True
78,2024-06-01,146,603.0775,603.0775,0.0,0,2024-06-02T22:44:46+00:00,2024-05-31 08:00:00+00:00,TRAIN,True
79,2024-06-02,5,62.732777777777784,62.732777777777784,0.0,0,2024-06-03T01:23:14+00:00,2024-06-01 08:00:00+00:00,TRAIN,True
80,2024-06-03,23,413.9399999999998,413.94,1.7053025658242404e-13,0,2024-06-03T17:23:11+00:00,2024-06-02 08:00:00+00:00,TRAIN,True
81,2024-06-04,144,481.3647222222222,481.36472222222227,5.684341886080802e-14,0,2024-06-06T02:55:44+00:00,2024-06-03 08:00:00+00:00,TRAIN,True
82,2024-06-05,501,7266.423055555559,7266.423055555555,3.637978807091713e-12,0,2024-06-06T19:05:28+00:00,2024-06-04 08:00:00+00:00,TRAIN,True
83,2024-06-06,613,16120.970277777773,16120.970277777778,5.4569682106375694e-12,0,2024-06-08T01:19:48+00:00,2024-06-05 08:00:00+00:00,TRAIN,True
84,2024-06-07,241,12536.308611111112,12536.308611111112,0.0,0,2024-08-15T16:40:28+00:00,2024-06-06 08:00:00+00:00,TRAIN,True
85,2024-06-08,495,8938.252499999999,8938.2525,1.8189894035458565e-12,0,2024-06-10T04:36:09+00:00,2024-06-07 08:00:00+00:00,TRAIN,True
86,2024-06-09,131,3045.033611111112,3045.033611111111,9.094947017729282e-13,0,2024-06-10T23:37:57+00:00,2024-06-08 08:00:00+00:00,TRAIN,True
87,2024-06-10,84,875.4872222222222,875.4872222222223,1.1368683772161603e-13,0,2024-06-11T19:41:12+00:00,2024-06-09 08:00:00+00:00,TRAIN,True
88,2024-06-11,519,7568.522777777779,7568.522777777777,1.8189894035458565e-12,0,2024-06-12T20:12:31+00:00,2024-06-10 08:00:00+00:00,TRAIN,True
89,2024-06-12,598,6053.606666666665,6053.6066666666675,2.7284841053187847e-12,0,2024-06-14T02:26:52+00:00,2024-06-11 08:00:00+00:00,TRAIN,True
90,2024-06-13,1457,5213.42972222223,5213.429722222222,8.185452315956354e-12,0,2024-06-14T20:06:22+00:00,2024-06-12 08:00:00+00:00,TRAIN,True
