role,resolution,method,Q90_coverage,calibration_error,normalized_Q90_pinball,requirement_ratio,high_load_coverage,positive_coverage,normalized_Q50_pinball,N_days,N_targets,actual_primary_GPUh,predicted_primary_GPUh,N_high_load,N_positive,Q90_pinball_GPUh,Q50_pinball_GPUh,prefix_downward_pairs_Q50,prefix_downward_pairs_Q90,max_prefix_drop_GPUh
DEVELOPMENT,H1,AGGREGATED_H1,0.8139367816091954,0.08606321839080466,1.0836134001216522,1.0985330576738894,0.0,0.7247608926673751,0.7719695495784089,58,1392,329015.0525,361433.9116435604,83,941,161.10387108456047,114.77089779669039,0,0,0.0
DEVELOPMENT,H3,AGGREGATED_H1,0.7543103448275862,0.14568965517241383,0.8360806023518981,1.0985330576738894,0.027777777777777776,0.6992084432717678,0.7382025813209989,58,464,329015.0525,361433.9116435604,36,379,372.9074083870139,329.25200117147847,0,0,0.0
DEVELOPMENT,H6,AGGREGATED_H1,0.7327586206896551,0.16724137931034488,0.7192188060000819,1.0985330576738894,0.041666666666666664,0.69,0.7283152415007043,58,232,329015.0525,361433.9116435604,24,200,641.5697727090898,649.6841295750536,0,0,0.0
DEVELOPMENT,CUM,AGGREGATED_H1,0.6623563218390804,0.23764367816091958,0.6944951365906341,1.0985330576738894,0.011049723756906077,0.6166394779771615,0.8762772465788404,58,1392,329015.0525,361433.9116435604,181,1226,1151.2867277212215,1613.5365815134357,0,0,0.0
DEVELOPMENT,H1,DIRECT,0.8139367816091954,0.08606321839080466,1.0836134001216522,1.0985330576738894,0.0,0.7247608926673751,0.7719695495784089,58,1392,329015.0525,361433.9116435604,83,941,161.10387108456047,114.77089779669039,0,0,0.0
DEVELOPMENT,H3,DIRECT,0.7801724137931034,0.1198275862068966,0.8184442693952555,1.2280389159268583,0.027777777777777776,0.7308707124010554,0.7147059652900732,58,464,329015.0525,404043.2883957186,36,379,365.0412777797356,318.77207595217584,0,0,0.0
DEVELOPMENT,H6,DIRECT,0.728448275862069,0.17155172413793107,0.7477158171568651,1.0929549259362963,0.041666666666666664,0.685,0.667880513519725,58,232,329015.0525,359598.6223370642,24,200,666.9901605218406,595.774117251922,0,0,0.0
DEVELOPMENT,CUM,DIRECT,0.6099137931034483,0.29008620689655173,0.8151925780551191,0.7423596275463011,0.011049723756906077,0.5570962479608483,0.6958077848096008,58,1392,329015.0525,244247.49183102683,181,1226,1473.8175742862434,1217.4035064031564,224,223,1126.4599147262406
CALIBRATION,H1,AGGREGATED_H1,0.8509615384615384,0.049038461538461586,1.8886431906992378,0.9946505125306837,0.02631578947368421,0.8143712574850299,1.2952428965252152,26,624,248575.19249999992,247245.44262253822,38,501,280.7899284790907,192.5674272776294,0,0,0.0
CALIBRATION,H3,AGGREGATED_H1,0.8413461538461539,0.05865384615384617,1.6403639822521845,0.9946505125306837,0.06666666666666667,0.8374384236453202,1.246386110311288,26,208,248575.19249999992,247245.4426225382,15,203,731.6326676068531,555.9112517839869,0,0,0.0
CALIBRATION,H6,AGGREGATED_H1,0.8461538461538461,0.05384615384615388,1.460400403277979,0.9946505125306837,0.08333333333333333,0.8461538461538461,1.2338747761127178,26,104,248575.19249999992,247245.4426225382,12,104,1302.7311674539405,1100.6619307755213,0,0,0.0
CALIBRATION,CUM,AGGREGATED_H1,0.75,0.15000000000000002,1.9292410506550755,0.9946505125306836,0.10810810810810811,0.7479806138933764,1.818640907744395,26,624,248575.19249999992,247245.44262253822,111,619,3363.197157531282,3252.0024341206854,0,0,0.0
CALIBRATION,H1,DIRECT,0.8509615384615384,0.049038461538461586,1.8886431906992378,0.9946505125306837,0.02631578947368421,0.8143712574850299,1.2952428965252152,26,624,248575.19249999992,247245.44262253822,38,501,280.7899284790907,192.5674272776294,0,0,0.0
CALIBRATION,H3,DIRECT,0.8317307692307693,0.06826923076923075,1.662596659205562,0.938696026047109,0.0,0.8275862068965517,1.1717322094070624,26,208,248575.19249999992,233336.54537364497,15,203,741.5488526264168,522.6142315758099,0,0,0.0
CALIBRATION,H6,DIRECT,0.7692307692307693,0.13076923076923075,1.5164699599336209,0.8013364502852135,0.0,0.7692307692307693,1.1144685317693706,26,104,248575.19249999992,199192.3623869135,12,104,1352.74728552449,994.1471450047521,0,0,0.0
CALIBRATION,CUM,DIRECT,0.717948717948718,0.18205128205128207,1.8270721134457137,0.705235636527407,0.04504504504504504,0.715670436187399,1.487852223718274,26,624,248575.19249999992,175304.08410766014,111,619,3334.062630523268,2588.945553506047,78,101,968.4348042874662
EXPOSED_EVALUATION,H1,AGGREGATED_H1,0.8603219696969697,0.0396780303030303,1.3657166785692214,1.2093333630859788,0.007575757575757576,0.8195718654434251,1.0044051148029256,88,2112,672290.9750000001,813023.9057691013,132,1635,203.0449639119903,149.3277511275863,0,0,0.0
EXPOSED_EVALUATION,H3,AGGREGATED_H1,0.8309659090909091,0.06903409090909096,1.100265931974203,1.2093333630859786,0.0,0.8065040650406504,0.9481679550511234,88,704,672290.9750000001,813023.9057691013,67,615,490.7389503773374,422.9004402674938,0,0,0.0
EXPOSED_EVALUATION,H6,AGGREGATED_H1,0.7926136363636364,0.10738636363636367,0.9428688281241647,1.2093333630859784,0.0,0.7732919254658385,0.9269687123320872,88,352,672290.9750000001,813023.9057691013,35,322,841.0738633467233,826.8903720507932,0,0,0.0
EXPOSED_EVALUATION,CUM,AGGREGATED_H1,0.7679924242424242,0.13200757575757582,0.9659956921941484,1.2093333630859784,0.07142857142857142,0.7492323439099283,1.1720263698517541,88,2112,672290.9750000001,813023.9057691013,364,1954,1600.8492193235036,2098.051851898873,0,0,0.0
EXPOSED_EVALUATION,H1,DIRECT,0.8603219696969697,0.0396780303030303,1.3657166785692214,1.2093333630859788,0.007575757575757576,0.8195718654434251,1.0044051148029256,88,2112,672290.9750000001,813023.9057691013,132,1635,203.0449639119903,149.3277511275863,0,0,0.0
EXPOSED_EVALUATION,H3,DIRECT,0.8295454545454546,0.07045454545454544,1.1297271218337244,1.3331567764077672,0.04477611940298507,0.8048780487804879,0.9066431523661745,88,704,672290.9750000001,896269.2690390344,67,615,503.8791858134993,404.3796104462215,0,0,0.0
EXPOSED_EVALUATION,H6,DIRECT,0.7926136363636364,0.10738636363636367,0.9720212599980042,1.1609834899972848,0.0,0.7732919254658385,0.8057627518669485,88,352,672290.9750000001,780518.7224491774,35,322,867.0789106774992,718.7701729432669,0,0,0.0
EXPOSED_EVALUATION,CUM,DIRECT,0.7514204545454546,0.14857954545454544,1.0469120815791773,0.9180087977359698,0.06043956043956044,0.7313203684749232,0.9755037940490722,88,2112,672290.9750000001,617169.029688493,364,1954,1803.6360075115688,1658.5397251398863,339,440,1768.3500694830145
MAY_HISTORICAL,H1,AGGREGATED_H1,0.8763440860215054,0.023655913978494647,2.070174432484199,1.4079281955372562,0.07246376811594203,0.8560250391236307,1.5084673468392444,31,744,351588.466388889,495011.3150546197,69,639,307.77869197265886,224.26810978267346,0,0,0.0
MAY_HISTORICAL,H3,AGGREGATED_H1,0.8588709677419355,0.041129032258064524,1.638217604826757,1.4079281955372562,0.16129032258064516,0.8541666666666666,1.3698141479682613,31,248,351588.46638888895,495011.3150546197,31,240,730.6753435870336,610.9624388531304,0,0,0.0
MAY_HISTORICAL,H6,AGGREGATED_H1,0.8548387096774194,0.04516129032258065,1.3575600649130313,1.4079281955372562,0.2857142857142857,0.8536585365853658,1.3033273472517282,31,124,351588.46638888895,495011.3150546197,21,123,1210.9937824471895,1162.6161926885668,0,0,0.0
MAY_HISTORICAL,CUM,AGGREGATED_H1,0.8252688172043011,0.0747311827956989,1.4434930033281448,1.4079281955372562,0.1357142857142857,0.8245614035087719,1.6176356531142,31,744,351588.466388889,495011.3150546196,140,741,2587.354006314103,2996.2102168604283,0,0,0.0
MAY_HISTORICAL,H1,DIRECT,0.8763440860215054,0.023655913978494647,2.070174432484199,1.4079281955372562,0.07246376811594203,0.8560250391236307,1.5084673468392444,31,744,351588.466388889,495011.3150546197,69,639,307.77869197265886,224.26810978267346,0,0,0.0
