role,resolution,method,stratum,N,coverage,Q90_pinball_GPUh,normalized_Q90_pinball
DEVELOPMENT,H1,AGGREGATED_H1,zero,451,1.0,16.5014665394011,0.11099181008734779
DEVELOPMENT,H1,AGGREGATED_H1,positive,941,0.7247608926673751,230.40853043617247,1.5497689124547778
DEVELOPMENT,H1,AGGREGATED_H1,high_load,83,0.0,1986.108732191061,13.358921929139877
DEVELOPMENT,H3,AGGREGATED_H1,zero,85,1.0,41.981125765154026,0.09412418237803793
DEVELOPMENT,H3,AGGREGATED_H1,positive,379,0.6992084432717678,447.1257039618374,1.0024824379660882
DEVELOPMENT,H3,AGGREGATED_H1,high_load,36,0.027777777777777776,3164.748360997455,7.095554168258456
DEVELOPMENT,H6,AGGREGATED_H1,zero,32,1.0,84.24765807287667,0.09444413160492254
DEVELOPMENT,H6,AGGREGATED_H1,positive,200,0.69,730.741311050884,0.8191827539033073
DEVELOPMENT,H6,AGGREGATED_H1,high_load,24,0.041666666666666664,4313.354870820521,4.835399160011298
DEVELOPMENT,CUM,AGGREGATED_H1,zero,166,1.0,182.8577883867446,0.11001962907604763
DEVELOPMENT,CUM,AGGREGATED_H1,positive,1226,0.6166394779771615,1282.411690143345,0.7736329296146319
DEVELOPMENT,CUM,AGGREGATED_H1,high_load,181,0.011049723756906077,5217.716611179781,3.010119016397239
DEVELOPMENT,H1,DIRECT,zero,451,1.0,16.5014665394011,0.11099181008734779
DEVELOPMENT,H1,DIRECT,positive,941,0.7247608926673751,230.40853043617247,1.5497689124547778
DEVELOPMENT,H1,DIRECT,high_load,83,0.0,1986.108732191061,13.358921929139877
DEVELOPMENT,H3,DIRECT,zero,85,1.0,58.043145812480866,0.13013618721925077
DEVELOPMENT,H3,DIRECT,positive,379,0.7308707124010554,433.8931015718639,0.9728141558991092
DEVELOPMENT,H3,DIRECT,high_load,36,0.027777777777777776,3104.8194401297783,6.961189961137781
DEVELOPMENT,H6,DIRECT,zero,32,1.0,92.53996981899513,0.1037400598214909
DEVELOPMENT,H6,DIRECT,positive,200,0.685,758.9021910342959,0.8507519383305251
DEVELOPMENT,H6,DIRECT,high_load,24,0.041666666666666664,4672.61985814241,5.238145901224193
DEVELOPMENT,CUM,DIRECT,zero,166,1.0,125.09543781166374,0.14406469305376884
DEVELOPMENT,CUM,DIRECT,positive,1226,0.5570962479608483,1656.4341115250527,0.9060630747192499
DEVELOPMENT,CUM,DIRECT,high_load,181,0.011049723756906077,6626.10817774811,3.396673800585437
CALIBRATION,H1,AGGREGATED_H1,zero,123,1.0,22.371353699978325,0.15047371912890586
CALIBRATION,H1,AGGREGATED_H1,positive,501,0.8143712574850299,344.23400971228597,2.315379408270397
CALIBRATION,H1,AGGREGATED_H1,high_load,38,0.02631578947368421,3946.2844653113907,26.54341387649716
CALIBRATION,H3,AGGREGATED_H1,zero,5,1.0,40.79584266167674,0.09146670712057578
CALIBRATION,H3,AGGREGATED_H1,positive,203,0.8374384236453202,748.6483529503305,1.6785141614426182
CALIBRATION,H3,AGGREGATED_H1,high_load,15,0.06666666666666667,8703.890303173901,19.514640052229918
CALIBRATION,H6,AGGREGATED_H1,positive,104,0.8461538461538461,1302.7311674539405,1.4604004032779787
CALIBRATION,H6,AGGREGATED_H1,high_load,12,0.08333333333333333,9874.84797571253,11.069998420490842
CALIBRATION,CUM,AGGREGATED_H1,zero,5,1.0,37.014290233224656,0.2489647245761193
