target_day,issue_time,label_matured_at,jobs,daily_GPUh,direct_GPUh,absolute_error,atomic_max_error,original_role,original_eligible,split,eligible,reason
2024-09-01,2024-08-31 08:00:00+00:00,2024-09-03 03:29:25+00:00,124,1849.599444444444,1849.5994444444445,4.547473508864641e-13,1.1368683772161603e-13,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-02,2024-09-01 08:00:00+00:00,2024-09-04 06:30:49+00:00,166,2177.7469444444446,2177.746944444444,4.547473508864641e-13,1.4210854715202004e-14,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-03,2024-09-02 08:00:00+00:00,2024-09-05 13:36:34+00:00,371,3964.764722222222,3964.764722222222,0.0,9.094947017729282e-13,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-04,2024-09-03 08:00:00+00:00,2024-09-06 06:33:31+00:00,405,2997.904166666667,2997.9041666666662,9.094947017729282e-13,1.7053025658242404e-13,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-05,2024-09-04 08:00:00+00:00,2024-09-07 02:13:38+00:00,637,8134.963611111112,8134.96361111111,1.8189894035458565e-12,2.2737367544323206e-13,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-06,2024-09-05 08:00:00+00:00,2024-09-08 13:32:43+00:00,361,6659.112777777778,6659.112777777778,0.0,5.684341886080802e-14,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-07,2024-09-06 08:00:00+00:00,2024-09-09 05:22:39+00:00,338,2942.534722222222,2942.534722222222,0.0,5.684341886080802e-14,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-08,2024-09-07 08:00:00+00:00,2024-09-09 18:18:45+00:00,12,432.49527777777786,432.49527777777786,0.0,0.0,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-09,2024-09-08 08:00:00+00:00,2024-09-12 03:16:47+00:00,70,2655.6825,2655.6825000000003,4.547473508864641e-13,1.7763568394002505e-15,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-10,2024-09-09 08:00:00+00:00,2024-09-11 21:37:07+00:00,193,7400.579722222222,7400.579722222223,9.094947017729282e-13,2.2737367544323206e-13,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-11,2024-09-10 08:00:00+00:00,2024-09-13 19:08:15+00:00,250,4431.291944444444,4431.291944444445,9.094947017729282e-13,5.684341886080802e-14,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-12,2024-09-11 08:00:00+00:00,2024-09-25 19:28:21+00:00,1643,3754.0238888888903,3754.0238888888885,1.8189894035458565e-12,2.1600499167107046e-12,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-13,2024-09-12 08:00:00+00:00,2024-09-15 07:24:20+00:00,1646,3694.898888888888,3694.898888888889,9.094947017729282e-13,7.389644451905042e-13,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-14,2024-09-13 08:00:00+00:00,2024-09-17 03:54:13+00:00,1386,12746.521944444445,12746.521944444445,0.0,9.094947017729282e-13,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-15,2024-09-14 08:00:00+00:00,2024-09-17 15:17:36+00:00,187,1710.9872222222225,1710.9872222222223,2.2737367544323206e-13,2.842170943040401e-14,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-16,2024-09-15 08:00:00+00:00,2024-09-20 01:41:02+00:00,396,4728.506111111112,4728.506111111112,0.0,3.637978807091713e-12,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-17,2024-09-16 08:00:00+00:00,2024-09-18 23:33:16+00:00,416,2686.72,2686.7200000000003,4.547473508864641e-13,1.1368683772161603e-13,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-18,2024-09-17 08:00:00+00:00,2024-09-21 09:26:58+00:00,1188,7142.771388888889,7142.7713888888875,1.8189894035458565e-12,3.410605131648481e-13,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-19,2024-09-18 08:00:00+00:00,2024-09-21 08:04:51+00:00,866,11386.662500000004,11386.6625,3.637978807091713e-12,4.547473508864641e-13,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-20,2024-09-19 08:00:00+00:00,2024-09-23 04:56:44+00:00,1455,12267.185555555563,12267.185555555556,7.275957614183426e-12,8.185452315956354e-12,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-21,2024-09-20 08:00:00+00:00,2024-09-25 00:08:23+00:00,408,6397.741666666667,6397.741666666667,0.0,4.547473508864641e-13,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-22,2024-09-21 08:00:00+00:00,2024-09-24 07:09:27+00:00,281,6187.382222222224,6187.3822222222225,1.8189894035458565e-12,2.2737367544323206e-12,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-23,2024-09-22 08:00:00+00:00,2024-09-30 13:46:58+00:00,652,8152.179166666664,8152.179166666667,2.7284841053187847e-12,2.2737367544323206e-13,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-24,2024-09-23 08:00:00+00:00,2024-09-26 14:20:48+00:00,1011,8054.9733333333315,8054.973333333333,1.8189894035458565e-12,8.526512829121202e-13,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-25,2024-09-24 08:00:00+00:00,2024-09-29 01:54:18+00:00,666,9260.923055555564,9260.923055555557,7.275957614183426e-12,2.7284841053187847e-12,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-26,2024-09-25 08:00:00+00:00,2024-10-01 07:11:59+00:00,1134,6893.828888888891,6893.828888888889,1.8189894035458565e-12,5.684341886080801e-13,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-27,2024-09-26 08:00:00+00:00,2024-09-30 14:22:24+00:00,1158,11973.935555555563,11973.935555555556,7.275957614183426e-12,7.275957614183426e-12,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-28,2024-09-27 08:00:00+00:00,2024-09-30 16:46:30+00:00,1722,14974.830277777777,14974.830277777777,0.0,5.4569682106375694e-12,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-29,2024-09-28 08:00:00+00:00,2024-09-30 20:59:10+00:00,580,6113.262777777778,6113.262777777778,0.0,1.3642420526593924e-12,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-09-30,2024-09-29 08:00:00+00:00,2024-10-01 06:00:09+00:00,755,4463.180833333334,4463.180833333334,0.0,4.547473508864641e-13,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-01,2024-09-30 08:00:00+00:00,2024-10-18 10:09:47+00:00,1396,2357.969722222221,2357.9697222222226,1.3642420526593924e-12,1.0231815394945443e-12,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-02,2024-10-01 08:00:00+00:00,2024-10-02 14:00:00+00:00,0,0.0,0.0,0.0,0.0,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-03,2024-10-02 08:00:00+00:00,2024-10-03 14:00:00+00:00,0,0.0,0.0,0.0,0.0,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-04,2024-10-03 08:00:00+00:00,2024-10-04 14:00:00+00:00,0,0.0,0.0,0.0,0.0,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-05,2024-10-04 08:00:00+00:00,2024-10-05 14:00:00+00:00,0,0.0,0.0,0.0,0.0,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-06,2024-10-05 08:00:00+00:00,2024-10-06 14:00:00+00:00,0,0.0,0.0,0.0,0.0,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
