family,seed,tag,N_hours,actual_GPUh,Q50_coverage,Q90_coverage,calibration_error,Q90_pinball,Q50_pinball,Q50_MAE,Q50_RMSE,requirement_ratio,excess_reserve_proxy,Q90_sum_GPUh,N_days
SEASONAL,0,SEASONAL_0,816,196457.8227777778,0.5931372549019608,0.9276960784313726,0.02769607843137256,182.64072821010353,120.4346239276961,240.8692478553922,967.9249587057549,3.665790206606433,3.1578210092258963,720173.1627500001,34
LGBM,20260924,LGBM_20260924,816,196457.8227777778,0.5575980392156863,0.9215686274509803,0.021568627450980316,182.65926463889107,117.68314268871687,235.36628537743374,971.8109886244007,3.3561446629842124,2.8792170121959693,659340.8734171372,34
LGBM,20260925,LGBM_20260925,816,196457.8227777778,0.5575980392156863,0.9215686274509803,0.021568627450980316,182.65926463889107,117.68314268871687,235.36628537743374,971.8109886244007,3.3561446629842124,2.8792170121959693,659340.8734171372,34
LGBM,20260926,LGBM_20260926,816,196457.8227777778,0.5575980392156863,0.9215686274509803,0.021568627450980316,182.65926463889107,117.68314268871687,235.36628537743374,971.8109886244007,3.3561446629842124,2.8792170121959693,659340.8734171372,34
TFT,20260924,TFT_20260924_lr0.001,816,196457.8227777778,0.6090686274509803,0.9203431372549019,0.02034313725490189,179.36766822315928,120.1539762488248,240.3079524976496,973.9805135391687,3.1575539774986705,2.6868135412332177,620326.1797227012,34
TFT,20260925,TFT_20260925_lr0.001,816,196457.8227777778,0.5968137254901961,0.9142156862745098,0.014215686274509753,179.23135413755367,119.8894090857615,239.778818171523,974.4289325037863,3.0162694611152046,2.5590912873067184,592569.7312417942,34
TFT,20260926,TFT_20260926_lr0.001,816,196457.8227777778,0.6004901960784313,0.9178921568627451,0.017892156862745034,175.9698274758408,119.64825760924869,239.29651521849738,973.9303918871436,3.0804239097462105,2.603283333675182,605173.3745413504,34
DEEPAR,20260924,DEEPAR_20260924_lr0.001,816,196457.8227777778,0.5600490196078431,0.9227941176470589,0.022794117647058854,176.8988623802638,118.15738680263864,236.31477360527728,972.3049800764462,3.21569331105881,2.728884600127242,631748.1066116772,34
DEEPAR,20260925,DEEPAR_20260925_lr0.001,816,196457.8227777778,0.5514705882352942,0.9154411764705882,0.01544117647058818,178.58491668092194,118.37116766601724,236.7423353320345,970.9911885367358,3.283187534639965,2.796632534592236,645007.8748265074,34
DEEPAR,20260926,DEEPAR_20260926_lr0.001,816,196457.8227777778,0.5428921568627451,0.9178921568627451,0.017892156862745034,174.42655066848766,118.14114550856777,236.28229101713555,971.5946463931031,3.018032934592742,2.5407213581494106,592916.1794017176,34
