target_day,issue_time,label_matured_at,jobs,daily_GPUh,direct_GPUh,absolute_error,atomic_max_error,original_role,original_eligible,split,eligible,reason
2025-05-01,2025-04-30 08:00:00+00:00,2025-05-05 04:53:46+00:00,764,9526.241111111112,9526.24111111111,1.8189894035458565e-12,0.0,MAY_HISTORICAL,True,MAY_HISTORICAL,True,eligible; issue-time features mature; labels before next-stage cutoff
2025-05-02,2025-05-01 08:00:00+00:00,2025-05-07 08:53:43+00:00,1312,8142.934722222224,8142.934722222222,1.8189894035458565e-12,0.0,MAY_HISTORICAL,True,MAY_HISTORICAL,True,eligible; issue-time features mature; labels before next-stage cutoff
2025-05-03,2025-05-02 08:00:00+00:00,2025-05-10 06:48:33+00:00,992,8350.878611111113,8350.878611111111,1.8189894035458565e-12,0.0,MAY_HISTORICAL,True,MAY_HISTORICAL,True,eligible; issue-time features mature; labels before next-stage cutoff
2025-05-04,2025-05-03 08:00:00+00:00,2025-05-18 16:55:33+00:00,1137,10400.524444444443,10400.524444444445,1.8189894035458565e-12,0.0,MAY_HISTORICAL,True,MAY_HISTORICAL,True,eligible; issue-time features mature; labels before next-stage cutoff
2025-05-05,2025-05-04 08:00:00+00:00,2025-05-13 13:58:41+00:00,1353,11923.768055555553,11923.768055555556,3.637978807091713e-12,0.0,MAY_HISTORICAL,True,MAY_HISTORICAL,True,eligible; issue-time features mature; labels before next-stage cutoff
2025-05-06,2025-05-05 08:00:00+00:00,2025-05-13 13:58:41+00:00,8388,33179.13888888897,33179.13888888888,8.731149137020111e-11,0.0,MAY_HISTORICAL,True,MAY_HISTORICAL,True,eligible; issue-time features mature; labels before next-stage cutoff
2025-05-07,2025-05-06 08:00:00+00:00,2025-05-15 11:43:16+00:00,1987,6424.845833333332,6424.845833333333,9.094947017729282e-13,0.0,MAY_HISTORICAL,True,MAY_HISTORICAL,True,eligible; issue-time features mature; labels before next-stage cutoff
2025-05-08,2025-05-07 08:00:00+00:00,2025-05-15 11:43:16+00:00,3627,8692.134166666656,8692.134166666667,1.0913936421275139e-11,0.0,MAY_HISTORICAL,True,MAY_HISTORICAL,True,eligible; issue-time features mature; labels before next-stage cutoff
2025-05-09,2025-05-08 08:00:00+00:00,2025-05-15 16:15:47+00:00,1239,4966.719444444444,4966.719444444444,0.0,0.0,MAY_HISTORICAL,True,MAY_HISTORICAL,True,eligible; issue-time features mature; labels before next-stage cutoff
2025-05-10,2025-05-09 08:00:00+00:00,2025-05-16 06:30:30+00:00,3180,18127.468888888914,18127.46888888889,2.546585164964199e-11,0.0,MAY_HISTORICAL,True,MAY_HISTORICAL,True,eligible; issue-time features mature; labels before next-stage cutoff
2025-05-11,2025-05-10 08:00:00+00:00,2025-05-14 00:43:11+00:00,1589,5022.663333333334,5022.663333333334,0.0,0.0,MAY_HISTORICAL,True,MAY_HISTORICAL,True,eligible; issue-time features mature; labels before next-stage cutoff
