split,model,seed,variant,N_days,N_hours,actual_GPUh,Q50_coverage,Q90_coverage,calibration_error,Q90_pinball,Q50_pinball,Q50_MAE,Q50_RMSE,requirement_ratio,excess_reserve_proxy,Q90_sum_GPUh
EXPOSED_EVALUATION,DEEPAR,20260924,raw,88,2112,672290.9750000001,0.41429924242424243,0.8693181818181818,0.030681818181818254,208.91819048806275,152.71879461753434,305.4375892350687,1380.510904424289,1.6258563796777226,1.2195865851745877,1093048.5707035065
EXPOSED_EVALUATION,DEEPAR,20260925,raw,88,2112,672290.9750000001,0.4303977272727273,0.859375,0.04062500000000002,204.32966489333802,152.3231694107768,304.6463388215536,1379.5954722323706,1.350171623586005,0.9570554658552443,907708.1972379684
EXPOSED_EVALUATION,DEEPAR,20260926,raw,88,2112,672290.9750000001,0.41429924242424243,0.8607954545454546,0.039204545454545436,207.02538277765547,152.58083844453745,305.1616768890749,1380.5549985412906,1.398130561420316,1.008687099227405,939950.5583145618
EXPOSED_EVALUATION,LGBM,20260924,raw,88,2112,672290.9750000001,0.4171401515151515,0.8077651515151515,0.09223484848484853,210.62476437145781,153.41622525380333,306.83245050760667,1381.3020687670287,0.8540776431936804,0.5303469188680722,574188.6914683816
EXPOSED_EVALUATION,LGBM,20260925,raw,88,2112,672290.9750000001,0.4171401515151515,0.8077651515151515,0.09223484848484853,210.62476437145781,153.41622525380333,306.83245050760667,1381.3020687670287,0.8540776431936804,0.5303469188680722,574188.6914683816
EXPOSED_EVALUATION,LGBM,20260926,raw,88,2112,672290.9750000001,0.4171401515151515,0.8077651515151515,0.09223484848484853,210.62476437145781,153.41622525380333,306.83245050760667,1381.3020687670287,0.8540776431936804,0.5303469188680722,574188.6914683816
EXPOSED_EVALUATION,SEASONAL,0,raw,88,2112,672290.9750000001,0.38920454545454547,0.7964015151515151,0.10359848484848488,219.83852657828288,154.31190209385522,308.62380418771045,1380.9677448642087,0.9537466520521278,0.648994032060795,641195.2666111109
EXPOSED_EVALUATION,TFT,20260924,raw,88,2112,672290.9750000001,0.4725378787878788,0.8934659090909091,0.006534090909090962,203.03089672448263,156.10607627857215,312.2121525571443,1383.567878052392,1.4301864550149637,1.0249887379918055,961501.4462738037
EXPOSED_EVALUATION,TFT,20260925,raw,88,2112,672290.9750000001,0.4597537878787879,0.8726325757575758,0.02736742424242422,201.83373790739367,155.65325177131882,311.30650354263764,1383.651592956784,1.2858348577363143,0.89131142975301,864455.1701965332
EXPOSED_EVALUATION,TFT,20260926,raw,88,2112,672290.9750000001,0.4654356060606061,0.8887310606060606,0.01126893939393947,200.70183125073663,155.35743308607329,310.71486617214657,1383.1469313975474,1.5059396201310498,1.085849834678631,1012429.6155090332
