date,original_role,cc4_v2_role,original_eligible,cc4_v2_eligible,reason
2024-03-15,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-03-16,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-03-17,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-03-18,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-03-19,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-03-20,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-03-21,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-03-22,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-03-23,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-03-24,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-03-25,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-03-26,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-03-27,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-03-28,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-03-29,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-03-30,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-03-31,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-04-01,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-04-02,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-04-03,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-04-04,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-04-05,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-04-06,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-04-07,TRAIN,TRAIN,True,True,eligible; issue-time features mature; labels before next-stage cutoff
