split,target_hour,size,sum,mean,median,max
CALIBRATION,0,26,5051.962500000001,194.30625000000003,78.30763888888889,657.6388888888889
CALIBRATION,1,26,8262.749722222223,317.79806623931626,243.82569444444442,1330.7002777777777
CALIBRATION,2,26,24222.722777777777,931.6431837606838,117.24777777777777,13337.774722222222
CALIBRATION,3,26,37961.981388888926,1460.0762072649586,263.80916666666667,29749.435555555596
CALIBRATION,4,26,15692.148055555554,603.5441559829059,157.17569444444445,9727.8725
CALIBRATION,5,26,8861.374722222221,340.82210470085465,40.27555555555556,2955.690555555555
CALIBRATION,6,26,66632.17166666659,2562.7758333333304,182.5891666666667,53797.604444444354
CALIBRATION,7,26,20547.828055555554,790.301079059829,70.01527777777778,11039.464166666663
CALIBRATION,8,26,10678.265833333335,410.7025320512821,118.94652777777776,1687.9891666666667
CALIBRATION,9,26,5631.820833333333,216.60849358974357,105.47458333333333,1496.0069444444443
CALIBRATION,10,26,15557.190833333287,598.3534935897418,56.39930555555556,12542.75555555551
CALIBRATION,11,26,3205.4330555555557,123.28588675213676,21.180555555555557,723.7127777777779
CALIBRATION,12,26,1796.193888888889,69.08438034188035,9.973194444444443,408.21638888888884
CALIBRATION,13,26,8130.57222222222,312.7143162393162,37.669583333333335,5914.315555555554
CALIBRATION,14,26,1963.651111111111,75.52504273504273,16.326666666666664,524.5661111111111
CALIBRATION,15,26,5052.130000000004,194.31269230769246,44.38680555555555,2904.547222222226
CALIBRATION,16,26,2615.594722222222,100.599797008547,6.876666666666667,867.1327777777777
CALIBRATION,17,26,786.7530555555555,30.259732905982904,12.410555555555556,123.93388888888889
CALIBRATION,18,26,1132.3152777777777,43.5505876068376,0.008888888888888889,770.4755555555555
CALIBRATION,19,26,555.2169444444445,21.354497863247865,0.0,389.0094444444445
CALIBRATION,20,26,1377.324444444444,52.97401709401708,0.7050000000000001,974.6741666666666
CALIBRATION,21,26,463.00249999999994,17.807788461538458,4.816666666666665,261.9911111111111
CALIBRATION,22,26,1907.7083333333333,73.37339743589743,0.0,538.16
CALIBRATION,23,26,489.0805555555556,18.8107905982906,0.508888888888889,277.27555555555557
DEVELOPMENT,0,58,7936.871111111111,136.84260536398466,11.084861111111108,1112.35
DEVELOPMENT,1,58,13381.15611111112,230.70958812260554,40.95791666666666,5150.833055555564
DEVELOPMENT,2,58,21696.239166666663,374.0730890804597,26.59861111111111,3039.3772222222233
DEVELOPMENT,3,58,26344.10722222223,454.20874521072807,62.49777777777777,7495.278333333338
DEVELOPMENT,4,58,19776.530277777783,340.9746599616859,57.464166666666664,3353.5200000000023
DEVELOPMENT,5,58,31189.699166666673,537.7534339080461,34.88944444444445,11072.132222222215
DEVELOPMENT,6,58,35323.256944444445,609.0216714559388,57.022222222222226,12391.0625
DEVELOPMENT,7,58,16341.060277777779,281.7424185823755,40.57569444444444,4177.591666666664
DEVELOPMENT,8,58,19930.51638888889,343.6295929118774,94.13250000000001,7868.359722222221
DEVELOPMENT,9,58,19820.139166666675,341.72653735632196,46.17333333333333,6556.756388888897
DEVELOPMENT,10,58,14090.657222222224,242.94236590038318,19.933611111111112,5164.84888888889
DEVELOPMENT,11,58,4776.342222222222,82.35072796934865,3.3169444444444443,748.595833333333
DEVELOPMENT,12,58,11949.506944444447,206.02598180076632,5.067083333333333,6158.414722222225
DEVELOPMENT,13,58,10668.841388888884,183.9455411877394,8.857083333333332,3324.275277777774
DEVELOPMENT,14,58,11542.706666666669,199.012183908046,0.21069444444444443,2936.7227777777807
DEVELOPMENT,15,58,16782.102777777778,289.34659961685827,14.664722222222226,2724.198055555556
DEVELOPMENT,16,58,6096.663888888888,105.11489463601532,7.829305555555555,1266.1155555555547
DEVELOPMENT,17,58,7348.71861111111,126.70204501915705,0.01902777777777778,1974.7097222222208
DEVELOPMENT,18,58,1490.6541666666667,25.70093390804598,0.0,338.37333333333333
DEVELOPMENT,19,58,10871.073888888892,187.43230842911882,0.0,4096.954444444446
DEVELOPMENT,20,58,3426.300833333335,59.074152298850606,3.258333333333332,1488.0233333333351
DEVELOPMENT,21,58,7826.666111111107,134.94251915708804,0.0,2904.5555555555525
DEVELOPMENT,22,58,4847.5325,83.57814655172415,0.0,1471.2600000000002
DEVELOPMENT,23,58,5557.709444444446,95.82257662835251,0.903888888888889,1852.7225000000005
EXPOSED_EVALUATION,0,88,24447.014166666664,277.8069791666666,131.72055555555556,1882.476111111111
EXPOSED_EVALUATION,1,88,49650.39361111113,564.209018308081,233.0125,5474.136944444445
EXPOSED_EVALUATION,2,88,53488.27000000007,607.8212500000008,161.30819444444444,11023.746388888972
EXPOSED_EVALUATION,3,88,67247.63805555552,764.1777051767673,138.4402777777778,23273.121388888918
EXPOSED_EVALUATION,4,88,23495.575555555555,266.99517676767675,87.14430555555558,4001.2441666666664
EXPOSED_EVALUATION,5,88,26796.75222222222,304.508547979798,150.04555555555555,5443.846388888887
EXPOSED_EVALUATION,6,88,30397.644722222223,345.42778093434345,87.5676388888889,4942.669722222221
EXPOSED_EVALUATION,7,88,30590.831388888877,347.62308396464636,108.63194444444446,6201.7427777777675
EXPOSED_EVALUATION,8,88,45891.03916666664,521.4890814393937,70.99569444444445,11519.861666666637
EXPOSED_EVALUATION,9,88,87882.50722222216,998.6648547979792,116.87125,20625.753055555495
EXPOSED_EVALUATION,10,88,24617.188055555554,279.74077335858584,77.35375,3311.3530555555526
EXPOSED_EVALUATION,11,88,20082.640555555558,228.21182449494952,40.21111111111111,7012.410000000002
EXPOSED_EVALUATION,12,88,21038.462777777775,239.07344065656562,44.47694444444444,5812.705555555555
EXPOSED_EVALUATION,13,88,34391.95583333332,390.81767992424227,29.03944444444444,20699.639999999996
EXPOSED_EVALUATION,14,88,31460.753888888892,357.50856691919194,39.90541666666667,14931.415555555559
EXPOSED_EVALUATION,15,88,24440.290555555483,277.73057449494866,14.352638888888889,7594.759722222161
EXPOSED_EVALUATION,16,88,7836.948333333333,89.05623106060605,3.131666666666667,4005.3724999999986
EXPOSED_EVALUATION,17,88,32252.377222222443,366.5042866161641,3.0418055555555554,17257.496666666888
EXPOSED_EVALUATION,18,88,14381.472222222223,163.4258207070707,2.185,3135.797777777782
