element_id,element_type,bus1_raw,bus2_raw,bus1,bus2,x1_raw,y1_raw,x2_raw,y2_raw,x1_plot,y1_plot,x2_plot,y2_plot,phases,normamps,emergamps,linecode,source_file,source_sha256,enabled,plot_enabled,rating_source,rating_status,emergamps_status,winding_buses_raw,source_line,rho_line_max,loading_status
Line.hvmv_sub_connector,LINE,_HVMV_Sub_LSB,HVMV_Sub_48332,_hvmv_sub_lsb,hvmv_sub_48332,1693852.0,12277577.7570982,1693886.0,12277577.7570982,1657962.03980939,12277577.7570982,1657928.03980939,12277577.7570982,3,400,NA,NA,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\IEEE8500_scalability_20260910\source\Lines.dss,460eb5e8179bda1926d0d70cf4fc9d8bdd29ab4dd9a101941730749f8a4a663a,TRUE,TRUE,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\IEEE8500_numerical_preflight_20260911\AXES.json,RESOLVED,UNRESOLVED_NOT_SAVED_AS_LITERAL,NA,4,0.7179012832635928,RESOLVED
Line.ln5502549-1,LINE,M1009763.2,L2673322.2,m1009763,l2673322,1662434.20000574,12281193.2184775,1662466.18157377,12281293.8203336,1689379.83980365,12281193.2184775,1689347.85823562,12281293.8203336,1,400,NA,1PH-x4_ACSRx4_ACSR,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\IEEE8500_scalability_20260910\source\Lines.dss,460eb5e8179bda1926d0d70cf4fc9d8bdd29ab4dd9a101941730749f8a4a663a,TRUE,TRUE,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\IEEE8500_numerical_preflight_20260911\AXES.json,RESOLVED,UNRESOLVED_NOT_SAVED_AS_LITERAL,NA,5,0.002462031214085072,RESOLVED
Line.ln6259988-1,LINE,M1069148.3,L2673309.3,m1069148,l2673309,1674268.12974476,12266091.5900475,1673916.32020843,12266089.1693115,1677545.91006463,12266091.5900475,1677897.71960096,12266089.1693115,1,400,NA,1PH-xx4_ACSR4_ACSR,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\IEEE8500_scalability_20260910\source\Lines.dss,460eb5e8179bda1926d0d70cf4fc9d8bdd29ab4dd9a101941730749f8a4a663a,TRUE,TRUE,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\IEEE8500_numerical_preflight_20260911\AXES.json,RESOLVED,UNRESOLVED_NOT_SAVED_AS_LITERAL,NA,6,0.0018219928844603456,RESOLVED
Line.ln6077796-1,LINE,M1069588.2,L2804270.2,m1069588,l2804270,1674984.67169743,12287113.040307,1674953.4315054,12287092.199859,1676829.36811196,12287113.040307,1676860.60830399,12287092.199859,1,400,NA,1PH-x4_ACSRx4_ACSR,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\IEEE8500_scalability_20260910\source\Lines.dss,460eb5e8179bda1926d0d70cf4fc9d8bdd29ab4dd9a101941730749f8a4a663a,TRUE,TRUE,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\IEEE8500_numerical_preflight_20260911\AXES.json,RESOLVED,UNRESOLVED_NOT_SAVED_AS_LITERAL,NA,7,0.0020995016883162704,RESOLVED
Line.ln5835135-2,LINE,M3036164.2,L2935553.2,m3036164,l2935553,1668428.08980332,12289757.0697495,1668339.05914724,12289885.9790616,1683385.95000607,12289757.0697495,1683474.98066215,12289885.9790616,1,400,NA,1PH-x4_ACSRx4_ACSR,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\IEEE8500_scalability_20260910\source\Lines.dss,460eb5e8179bda1926d0d70cf4fc9d8bdd29ab4dd9a101941730749f8a4a663a,TRUE,TRUE,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\IEEE8500_numerical_preflight_20260911\AXES.json,RESOLVED,UNRESOLVED_NOT_SAVED_AS_LITERAL,NA,8,0.02060069319238963,RESOLVED
Line.ln5896826-1,LINE,M1209749.2,L2748840.2,m1209749,l2748840,1692000.00048127,12273042.1702779,1692304.77974556,12272449.8804854,1659814.03932812,12273042.1702779,1659509.26006383,12272449.8804854,1,400,NA,1PH-x2_ACSRx2_ACSR,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\IEEE8500_scalability_20260910\source\Lines.dss,460eb5e8179bda1926d0d70cf4fc9d8bdd29ab4dd9a101941730749f8a4a663a,TRUE,TRUE,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\IEEE8500_numerical_preflight_20260911\AXES.json,RESOLVED,UNRESOLVED_NOT_SAVED_AS_LITERAL,NA,9,0.0010422177676532739,RESOLVED
Line.ln5714038-1,LINE,M1108264.2,M1108263.2,m1108264,m1108263,1679540.54190967,12260421.0589702,1679627.65154175,12260104.7699459,1672273.49789972,12260421.0589702,1672186.38826764,12260104.7699459,1,400,NA,1PH-x4_ACSRx4_WPAL,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\IEEE8500_scalability_20260910\source\Lines.dss,460eb5e8179bda1926d0d70cf4fc9d8bdd29ab4dd9a101941730749f8a4a663a,TRUE,TRUE,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\IEEE8500_numerical_preflight_20260911\AXES.json,RESOLVED,UNRESOLVED_NOT_SAVED_AS_LITERAL,NA,10,0.0027729206638526203,RESOLVED
Line.ln5653457-1,LINE,L3085398,M1026891,l3085398,m1026891,1663360.6087106,12285489.5210735,1663258.8886465,12285227.3688813,1688453.43109879,12285489.5210735,1688555.15116289,12285227.3688813,3,400,NA,3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\IEEE8500_scalability_20260910\source\Lines.dss,460eb5e8179bda1926d0d70cf4fc9d8bdd29ab4dd9a101941730749f8a4a663a,TRUE,TRUE,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\IEEE8500_numerical_preflight_20260911\AXES.json,RESOLVED,UNRESOLVED_NOT_SAVED_AS_LITERAL,NA,11,0.05647622195352523,RESOLVED
Line.ln5835173-1,LINE,L3216367,M1069468,l3216367,m1069468,1673511.27086405,12278909.6206514,1673577.79809611,12278791.4018993,1678302.76894534,12278909.6206514,1678236.24171328,12278791.4018993,3,400,NA,3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\IEEE8500_scalability_20260910\source\Lines.dss,460eb5e8179bda1926d0d70cf4fc9d8bdd29ab4dd9a101941730749f8a4a663a,TRUE,TRUE,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\IEEE8500_numerical_preflight_20260911\AXES.json,RESOLVED,UNRESOLVED_NOT_SAVED_AS_LITERAL,NA,12,0.08268354901528994,RESOLVED
Line.ln6321415-1,LINE,M1142800.2,M1142799.2,m1142800,m1142799,1686401.39106806,12272256.4509812,1686166.70255584,12272059.916709,1665412.64874133,12272256.4509812,1665647.33725355,12272059.916709,1,400,NA,1PH-x2_ACSRx2_ACSR,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\IEEE8500_scalability_20260910\source\Lines.dss,460eb5e8179bda1926d0d70cf4fc9d8bdd29ab4dd9a101941730749f8a4a663a,TRUE,TRUE,C:\Users\kjw39\OneDrive\문서\ChatGPT\Mobile ESS 2\IEEE8500_numerical_preflight_20260911\AXES.json,RESOLVED,UNRESOLVED_NOT_SAVED_AS_LITERAL,NA,13,0.0017538507669963104,RESOLVED
