issue_time,role,N_training,N_running_landmarks,N_query,latest_training_end,earliest_training_end,membership_path,membership_sha256,prediction_sha256,feature_maturity_event_time_pass
2025-03-14 08:00:00+00:00,TRAIN,222071,50855,509,2025-03-14 07:53:15+00:00,2024-09-15 08:02:05+00:00,runtime_vnext_causal_tail\fits\LGBM_180_14\20250314T0800\train_membership.npz,27212ba7d0020d74073e4ed065af2c1ad4d0a6f87146ac38aea94be45b832c76,74fa69fbd30035f090a7d4172dc8d087915331cebd89544ee8ef297e0d1baaf4,True
2025-03-15 08:00:00+00:00,TRAIN,223590,51232,154,2025-03-15 07:58:57+00:00,2024-09-16 08:24:47+00:00,runtime_vnext_causal_tail\fits\LGBM_180_14\20250315T0800\train_membership.npz,726f195fe529399324a2b6875b5f3e03d116fce34dd3f99858e672a4964a50a8,7df55c1df5e50e4b37db5acae1c162e234da332ff31c4aa83b9cfc0c34ab8a2e,True
2025-03-16 08:00:00+00:00,TRAIN,223835,51278,225,2025-03-16 07:54:47+00:00,2024-09-17 08:02:12+00:00,runtime_vnext_causal_tail\fits\LGBM_180_14\20250316T0800\train_membership.npz,d61089aab76573ce4c57a9d42025cd728da9aa76051f452d94c0b8dbf858eec5,de30e53340615bd57d0ce6c5dc6ddd114e5035c64ad9beb98cf2529a50246513,True
2025-03-17 08:00:00+00:00,TRAIN,223850,51300,407,2025-03-17 07:56:02+00:00,2024-09-18 08:04:00+00:00,runtime_vnext_causal_tail\fits\LGBM_180_14\20250317T0800\train_membership.npz,8c5e85a42fd551dc351ab93efa18ab18e37f1dc16451fb733d31dabcf289289f,f8c969596f7c43f42c38ca74b08ae6842c35c79d9b63bf087c70a92d29b0c7c5,True
2025-03-18 08:00:00+00:00,TRAIN,227382,51425,389,2025-03-18 07:58:53+00:00,2024-09-19 08:02:14+00:00,runtime_vnext_causal_tail\fits\LGBM_180_14\20250318T0800\train_membership.npz,a06fe3e7925ebad4a869272e1ce940e00be108fe03174fc5c0e97637d2febbbd,206a0ccf823a79b4c194211c51eba8aefc6954701c6f00dc92a8afb31bfed4e0,True
2025-03-19 08:00:00+00:00,TRAIN,227887,51683,366,2025-03-19 07:56:38+00:00,2024-09-20 08:03:35+00:00,runtime_vnext_causal_tail\fits\LGBM_180_14\20250319T0800\train_membership.npz,20d9ce32f7c8add1e5e1c0917aa38cd25a968a97245127abe83e2c09312383d1,ef38d65b63ebc9ceecbb453a7ee400966d30b29db8110a7453fe2a4f09e764ae,True
2025-03-20 08:00:00+00:00,TRAIN,228053,51980,795,2025-03-20 07:58:30+00:00,2024-09-21 08:03:51+00:00,runtime_vnext_causal_tail\fits\LGBM_180_14\20250320T0800\train_membership.npz,ea71b240739eeed06820846015d14d2e93874297d176155d0b0c17b5e138f1ef,274cb475a535dceddcf700149b77f9d82677acfd24fadacc03f7366244058405,True
2025-03-21 08:00:00+00:00,TRAIN,228874,52463,1418,2025-03-21 07:56:38+00:00,2024-09-22 08:10:43+00:00,runtime_vnext_causal_tail\fits\LGBM_180_14\20250321T0800\train_membership.npz,83dd360250eaf1a7c8332b60fbc33be7c911fda25cf385ce2916e762ce9b857e,c9378c7cb48fc170db62dd5b860278afe0227f8066a991459ba4950ed4b2f592,True
2025-03-22 08:00:00+00:00,DEVELOPMENT,229877,52751,1202,2025-03-22 07:57:39+00:00,2024-09-23 08:03:18+00:00,runtime_vnext_causal_tail\fits\LGBM_180_14\20250322T0800\train_membership.npz,90528648720f7065a52b6edcc02565355781032eb4ba84ad4fd4f987f1bad264,e945a44df3b218eb989686c1286ed49f8c728aa13b8f6c687161bf1617a17c12,True
2025-03-23 08:00:00+00:00,DEVELOPMENT,230236,52785,590,2025-03-23 07:59:54+00:00,2024-09-24 08:02:55+00:00,runtime_vnext_causal_tail\fits\LGBM_180_14\20250323T0800\train_membership.npz,ce5a40c237ac48591e2696542b109f4d72bba93b697880a950b90e08b68fafe3,8034feef1f2289c64561feda5a6b5d138e527906e0181fd5316197ddc9b71d58,True
2025-03-24 08:00:00+00:00,DEVELOPMENT,230588,52835,1129,2025-03-24 07:32:08+00:00,2024-09-25 08:32:56+00:00,runtime_vnext_causal_tail\fits\LGBM_180_14\20250324T0800\train_membership.npz,853a8621138f88372bd59fda8b8e3a62523e668fc20c905e146d853a21a7683b,2c6900cc967fbf50135b5d7a39e906ba895abe6b438321830f639e4c3c3d403f,True
2025-03-25 08:00:00+00:00,DEVELOPMENT,231850,53099,604,2025-03-25 07:59:04+00:00,2024-09-26 08:18:20+00:00,runtime_vnext_causal_tail\fits\LGBM_180_14\20250325T0800\train_membership.npz,4d161637e137091d7e0fff46a601e6c492d80bcb78c3e06d1a94b5b87dd5714b,40e6cc1e28496d11d2effef5e5e754b7ba9385dfdc3294667fa248fdadf85062,True
2025-03-26 08:00:00+00:00,DEVELOPMENT,232500,53204,840,2025-03-26 07:49:19+00:00,2024-09-27 08:01:05+00:00,runtime_vnext_causal_tail\fits\LGBM_180_14\20250326T0800\train_membership.npz,40e77bfd94598d2b4a0c752f357e74535da1c85985a5f7f0938494c55234954b,710f12704302aed23403120d508e382cd3176ea972f17f323af8693bee75e145,True
2025-03-27 08:00:00+00:00,DEVELOPMENT,231510,53078,608,2025-03-27 07:17:44+00:00,2024-09-28 08:00:59+00:00,runtime_vnext_causal_tail\fits\LGBM_180_14\20250327T0800\train_membership.npz,c51fcc0f2c49fcfe9c91e0b210ed0615ea57bf9461947c69247cc918e9a73fb5,93d2cd612e458f13b8ae84ab9588fe81d74008c873fe61f99218d6ff51077b58,True
2025-03-28 08:00:00+00:00,DEVELOPMENT,231132,52960,578,2025-03-28 03:51:11+00:00,2024-09-29 08:07:39+00:00,runtime_vnext_causal_tail\fits\LGBM_180_14\20250328T0800\train_membership.npz,3155212aa83bbe38069fb97977ff4d55e5cd568bab026d4b98cfc878e7dc2d1d,c57df1e1050784e65e900ea493858ebac889c449505e8b79027cfc1c2af3fc81,True
2025-03-29 08:00:00+00:00,DEVELOPMENT,235561,52501,1050,2025-03-29 07:57:44+00:00,2024-09-30 08:00:16+00:00,runtime_vnext_causal_tail\fits\LGBM_180_14\20250329T0800\train_membership.npz,ff1f449dc68ba0810fdd5a89a25c189cee2426ef558dfa02fb3b5524b38152ae,c03efbd0311a318ba59da4d6ca9a292f3832ff14e27331f4f96cc0132fbc40c7,True
2025-03-30 08:00:00+00:00,DEVELOPMENT,242824,52356,285,2025-03-30 07:59:59+00:00,2024-10-07 20:11:47+00:00,runtime_vnext_causal_tail\fits\LGBM_180_14\20250330T0800\train_membership.npz,62a527ec3b9dd8fdce408130bf6402abf268f2ca328ccbdc1bf439684cd03f64,2544aa688489c94b44ed8f3bb892ffa2052476d38f801e5ec9168517a980a0b0,True
