role,threshold,N,GPU_weight,coverage,GPU_coverage,long_N,long_under,missed_GPU_slots,overreserved_GPUh,reserved_GPUh,requested_reserved_GPUh,requested_overreserved_GPUh,reserve_vs_requested,overreserve_vs_requested,pinball_Q90,pinball_Q95,unscorable_N,query_N,Q95_fraction,Q95_GPU_fraction
CALIBRATION,0.1,1466,3092.0,0.9358799454297408,0.9492238033635187,1273,0.0636292223095051,1322.0,94724.6011574956,185792.41401809143,129050.91583333333,38680.696388888886,1.4396830337727986,2.4488856199782756,7178.96397827976,4267.914114090059,0,1466,0.7203274215552524,0.48641655886157825
CALIBRATION,0.2,1466,3092.0,0.8983628922237381,0.9233505821474773,1273,0.10683424980361352,1835.0,92806.91476704876,183603.74121968145,129050.91583333333,38680.696388888886,1.422723271927818,2.3993082708228526,7187.8727296940315,4405.292534873155,0,1466,0.39495225102319237,0.21733505821474774
CALIBRATION,0.3,1466,3092.0,0.8710777626193724,0.906856403622251,1273,0.13668499607227022,2259.0,92147.72467402372,182817.76095505588,129050.91583333333,38680.696388888886,1.4166328055444515,2.3822664345953544,7330.765388759103,4611.034354103579,0,1466,0.26875852660300137,0.13680465717981888
CALIBRATION,0.4,1466,3092.0,0.7987721691678036,0.8725743855109961,1273,0.2199528672427337,3517.0,91820.21454862814,182165.2484021004,129050.91583333333,38680.696388888886,1.4115765643799318,2.3737994172980734,7971.973679133415,5330.686500387458,0,1466,0.15211459754433834,0.0795601552393273
CALIBRATION,0.5,1466,3092.0,0.7946793997271487,0.8706338939197931,1273,0.2246661429693637,3593.0,91633.10063570301,181959.05859850819,129050.91583333333,38680.696388888886,1.4099788244316271,2.3689620195675904,7991.234211512883,5363.73873328984,0,1466,0.10368349249658936,0.04915912031047866
CALIBRATION,0.6,1466,3092.0,0.7946793997271487,0.8706338939197931,1273,0.2246661429693637,4123.0,91482.64474167174,181658.4651912386,129050.91583333333,38680.696388888886,1.4076495623312495,2.365072330185615,8286.105576479422,5695.517883596438,0,1466,0.07776261937244201,0.03686934023285899
CALIBRATION,0.7,1466,3092.0,0.7939972714870396,0.8703104786545925,1273,0.22545168892380205,4144.0,91473.70425742219,181644.14505647912,129050.91583333333,38680.696388888886,1.4075385973321481,2.3648411946300483,8295.799637408736,5706.970214823642,0,1466,0.07503410641200546,0.03557567917205692
CALIBRATION,0.8,1466,3092.0,0.781718963165075,0.8644890038809832,1273,0.23959151610369206,4243.0,91258.26351627416,181404.86269481957,129050.91583333333,38680.696388888886,1.4056844271380478,2.3592714722294477,8295.586938666505,5736.137342206043,0,1466,0.0538881309686221,0.02554980595084088
CALIBRATION,0.9,1466,3092.0,0.781718963165075,0.8644890038809832,1273,0.23959151610369206,4243.0,91253.09503321425,181399.6942117597,129050.91583333333,38680.696388888886,1.405644377185465,2.3591378530461746,8294.317734095179,5735.502739920381,0,1466,0.05320600272851296,0.025226390685640362
DEVELOPMENT,0.1,2522,4129.0,0.8667724028548771,0.8551707435214337,2335,0.14389721627408994,4649.0,69353.06658976433,138783.74165241764,133485.26277777777,62156.72027777778,1.0396933621313733,1.1157774457826306,5831.471457875899,3576.578158789027,0,2522,0.7347343378271214,0.577379510777428
DEVELOPMENT,0.2,2522,4129.0,0.8417922283901665,0.8307096149188665,2335,0.1708779443254818,5799.0,65571.29169861895,134306.17583059985,133485.26277777777,62156.72027777778,1.0061498403324771,1.0549348711705104,6041.404377653312,3998.1462260988387,0,2522,0.4048374306106265,0.2935335432308065
DEVELOPMENT,0.3,2522,4129.0,0.8203806502775575,0.8164204407846937,2335,0.19400428265524625,7313.0,64048.92989828625,132016.71647597768,133485.26277777777,62156.72027777778,0.9889984386947278,1.0304425589389563,6487.382771405346,4564.425316809711,0,2522,0.1586042823156225,0.11503996124969726
DEVELOPMENT,0.4,2522,4129.0,0.8199841395717684,0.816178251392589,2335,0.19443254817987152,7450.0,63477.30879225752,131412.90065064075,133485.26277777777,62156.72027777778,0.9844749743603755,1.0212461099713441,6459.076367070042,4573.250106218079,0,2522,0.033703409992069784,0.03075805279728748
DEVELOPMENT,0.5,2522,4129.0,0.8195876288659794,0.8152094938241705,2335,0.1948608137044968,7506.0,63409.201665728586,131330.6381852376,133485.26277777777,62156.72027777778,0.9838587080872956,1.0201503776639675,6458.890993189632,4576.930599865004,0,2522,0.02498017446471055,0.023976749818357956
DEVELOPMENT,0.6,2522,4129.0,0.8191911181601903,0.8147251150399613,2335,0.19528907922912206,7518.0,63282.342051826345,131200.66121536016,133485.26277777777,62156.72027777778,0.982884990336192,1.018109413897937,6443.599088087704,4570.397105830155,0,2522,0.013481363996827915,0.01622668927100993
DEVELOPMENT,0.7,2522,4129.0,0.8191911181601903,0.8147251150399613,2335,0.19528907922912206,7518.0,63279.23843273605,131197.55759626988,133485.26277777777,62156.72027777778,0.9828617396864522,1.0180594817413426,6443.156065537148,4570.175594554877,0,2522,0.013084853291038858,0.015984499878905305
DEVELOPMENT,0.8,2522,4129.0,0.8191911181601903,0.8147251150399613,2335,0.19528907922912206,7518.0,63279.23843273605,131197.55759626988,133485.26277777777,62156.72027777778,0.9828617396864522,1.0180594817413426,6443.156065537148,4570.175594554877,0,2522,0.013084853291038858,0.015984499878905305
DEVELOPMENT,0.9,2522,4129.0,0.8191911181601903,0.8147251150399613,2335,0.19528907922912206,7518.0,63279.23843273605,131197.55759626988,133485.26277777777,62156.72027777778,0.9828617396864522,1.0180594817413426,6443.156065537148,4570.175594554877,0,2522,0.0003965107057890563,0.0004843787842092516
