issue_time,role,query_N,submit_start_not_after_issue,elapsed_computed_from_known_start_and_issue,R1_preprocessing_latest_mature_end,R1_preprocessing_source_sha256,portable_preprocessing_sha256,request_version_available_time,authority
2025-03-22 08:00:00+00:00,DEVELOPMENT,482,True,True,2025-03-22 07:57:39+00:00,530a8f9ee6abd7290670659a35528f7da82f533f3f7415aaef0a17fb75f4dc56,6b2ac3da628595347110b3caa2d0f933747ff3c2444845d7b08fdaa4216b11f0,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-03-23 08:00:00+00:00,DEVELOPMENT,252,True,True,2025-03-23 07:59:44+00:00,a8cceb652a5fd2a1c37eafc752ad4f2f2fd44776fbf2a3e31cf2315664bc8896,ab7242b78c1bda7081dd7f8263dadf6f003044483e8f4b11fc586fba6e69be87,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-03-24 08:00:00+00:00,DEVELOPMENT,385,True,True,2025-03-24 07:32:08+00:00,dc0551a677832a764a235f671b254c2cf1997c98e5b5f05bb0edfdf93ea49b3c,9a460d19b35cfbc8eedf6792935302ac65fc3f1f75971753fc70b5eda6bd6aed,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-03-25 08:00:00+00:00,DEVELOPMENT,369,True,True,2025-03-25 07:54:34+00:00,17a6534ba687c0cd862bdedd1982c90e984b23eab64fb854ddfa71eda33a4d16,341c6f394eda4c982b378c6481cecd965d3014ceac52c531d8f3a716a95a0f66,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-03-26 08:00:00+00:00,DEVELOPMENT,339,True,True,2025-03-26 07:49:19+00:00,6a4b206beebb35a3838c4e782a3113c26fe207ac61ec31e1fb3a0f26488bfb4d,e7787cdd9b0af19f1dcea172d20d6fd91efd86c5f294e9ec629221517efc9b4f,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-03-27 08:00:00+00:00,DEVELOPMENT,49,True,True,2025-03-27 07:17:44+00:00,44ba4e327d6f1e428c1b41652f97d8c46dd99f30d631bf31800f3e634bcf6d27,505a632ca5231fdde934d5bccb0e85039b0fafd7efb6df66668df97934adee7e,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-03-28 08:00:00+00:00,DEVELOPMENT,6,True,True,2025-03-28 03:51:11+00:00,6bd104685c564e7e0d2bfcd85822c9e1bb5d22378bb2f9fca9ab15ed140af499,086d4b53979c5e1b6833adea07b2a9329be4885343239d15486a279ffd7ece60,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-03-29 08:00:00+00:00,DEVELOPMENT,417,True,True,2025-03-29 07:57:16+00:00,97a8723aabe4886923cd9846ef4e2af801707f70596d625fd1644cab6bf51856,03eab54fe2772017935daaf33b545ce637789c5d0eebb529f4b4f87b4223f5ce,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-03-30 08:00:00+00:00,DEVELOPMENT,223,True,True,2025-03-30 07:59:59+00:00,85a354c1abc7cc5c4e5e67556a53ef3843c4e65cdf3ecd240ee30baf409d91cf,5082c8ed012c5c13b71698dce495649338878435a91e503708e07b0edb0cd389,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-04-02 08:00:00+00:00,CALIBRATION,194,True,True,2025-04-02 07:49:57+00:00,eaea23345b57ee49cfbf7451b1053a2810de9029ae969229ebfad7943483ccaf,58fbcbdd5d73b40c27f343a24c20fe9bda6294baa212103a9200114cb101f8f9,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-04-03 08:00:00+00:00,CALIBRATION,282,True,True,2025-04-03 07:50:36+00:00,aa8550066087e9f263e2ffc36c176f50b285ebfdfbe4b7a0af4d2a974b493a97,27b480bcc731ce334ad37dc3e646c188943e1c1eab3c25c8217c78d82bf22089,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-04-04 08:00:00+00:00,CALIBRATION,242,True,True,2025-04-04 07:50:05+00:00,808f08aee3974dcd5fa7642464fa520465ef3ebb532c9e7ff668a80479011312,4304068fde1b185c3c5965cafd97bbd005d8b99acdbbcdaea34de62665453ba4,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-04-05 08:00:00+00:00,CALIBRATION,206,True,True,2025-04-05 07:42:28+00:00,845e805b8a9bcaa3b89cef55710f7bfb828462dbef78a3e4001206165d1412e4,8c21bad2f4e090e498892554ce60542abd9b5a8f769607b9f1ff73a8c363cea1,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-04-06 08:00:00+00:00,CALIBRATION,305,True,True,2025-04-06 07:48:46+00:00,145dafaf3547cb749f59294edc6775c9d530f38138f70dc11036651a94ee66c1,1e66c7e0d758da2817da642aeaef450d3e9bf325429b98c6a438dadf72b30d34,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-04-07 08:00:00+00:00,CALIBRATION,237,True,True,2025-04-06 20:06:33+00:00,2d90ee62eef20c1b423b966c0a1f8bd90b50e30b6bf8746a072316aaf63f12da,d6632e8202a70bd0a2fb0e8f555fbb05dc1f6d8ee2227f4e772d0faac48bd7e4,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-04-10 08:00:00+00:00,EXPOSED_EVALUATION,124,True,True,2025-04-10 07:56:29+00:00,59f70c188236d2d4f22a3246356710d2e9e50611b4b808f11a9ef317e10c54e4,d84c7532722f31a3b6943313ff25966b1fd5710c517f6d2ef28413bb5c2dcaf5,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-04-11 08:00:00+00:00,EXPOSED_EVALUATION,146,True,True,2025-04-11 07:58:07+00:00,25aa5ff5b802b95fe9c72e8ec8908a3aecb03be8b43ddaa0c1c5e086bf47f882,6bf8ff3b8a252c64f2dd0bba0e7426fe43fa9b0be56020d8bbe167aa5f12b621,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-04-12 08:00:00+00:00,EXPOSED_EVALUATION,248,True,True,2025-04-12 07:58:37+00:00,a251600e9b60fecbf3e40e9c92b5d6f2337e71dd1b105e07b4c0636eb5830b31,3ff8ff3572d65dd5ac17d3c1035050e94018618ea50f417b839df29273b60fef,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-04-13 08:00:00+00:00,EXPOSED_EVALUATION,226,True,True,2025-04-13 07:45:48+00:00,591694eace4acccffed08933697af170f6ff06f8b334de1f118472834ef82bf2,c90991a75ad5b2a73f434283156a737f1b18d61828152bdf34db551db193fd39,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-04-14 08:00:00+00:00,EXPOSED_EVALUATION,200,True,True,2025-04-14 07:57:34+00:00,a8651e6e7033777593ed82cf8408185b3f67f06afd9424bcf3ecd7289683258f,de42ea50ff519db916268effb59f49be2da8e9fe9ce812edb38fd35c24c884df,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-04-16 08:00:00+00:00,EXPOSED_EVALUATION,220,True,True,2025-04-16 07:48:30+00:00,4cc02fb0074fd102d2928e847ff1b8515888816c54f1b137bffe2ce9ade8e032,ca1c9570ae6204cf77714117d003344a5c95224db66a2eb55d73c64b00d3697d,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-04-17 08:00:00+00:00,EXPOSED_EVALUATION,145,True,True,2025-04-17 07:52:27+00:00,af6a07317053f5bebc29c806c3e71cddd460bb1606dfe146bd0c3cc87c423a75,872edcc006da67e1fb45dbec18af894b451aa43326e4ecc5cc5d113b6ec16967,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-04-18 08:00:00+00:00,EXPOSED_EVALUATION,167,True,True,2025-04-18 07:59:48+00:00,6cc5d0b200101f6ba4392dd78cbaaa90f7796ebfb0d47ab9f6a574e1d8aebf59,da5aa80933668419bf7a2b58e66b49a0fe19a3dc4535de57eefea4c24ac97721,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
