role,arm,state,N,GPU_weight,coverage,GPU_coverage,long_N,long_under,missed_GPU_slots,overreserved_GPUh,reserved_GPUh,requested_reserved_GPUh,requested_overreserved_GPUh,reserve_vs_requested,overreserve_vs_requested,pinball_Q90,pinball_Q95,unscorable_N,query_N,MAE_bound_seconds,MAE_Q50_seconds
EXPOSED_EVALUATION,R1,RUNNING,2767,6396.0,0.8384531984098301,0.8858661663539712,2483,0.15827627869512687,8597.0,169741.42404667707,352907.24648226576,247131.02388888889,60355.12666666666,1.4280167699257957,2.812377894327625,8597.99070936692,5625.206745303955,0,2767,64760.52484374127,50258.29197481723
EXPOSED_EVALUATION,R2,RUNNING,2767,6396.0,0.855439103722443,0.8586616635397123,2483,0.13934756343133306,8250.0,163007.3583010235,342338.8868327232,247131.02388888889,60355.12666666666,1.3852525734957508,2.7008038472239724,8301.009878738107,5130.894917678526,0,2767,67323.85913442947,52660.3339281843
EXPOSED_EVALUATION,R3,RUNNING,2767,6396.0,0.9725334297072642,0.9577861163227017,2483,0.023761578735400725,1283.0,1257446.1613522398,1437778.396346807,247131.02388888889,60355.12666666666,5.817879008963431,20.834123475491115,53111.51458059234,27538.80590322625,0,2767,515386.36799904204,106636.23607743059
MAY_HISTORICAL,R0,PENDING,40419,102201.0,0.9122195007298548,0.9369967025762957,13230,0.22600151171579744,17373.0,1720482.8263951635,2198873.9284868934,2774467.533333333,2273332.5769444443,0.7925390735587727,0.7568108792544738,2827.757643463754,1681.437067436764,0,40419,23996.644503359348,
MAY_HISTORICAL,R0,RUNNING,7073,14897.0,0.5406475328714831,0.5635362824729812,6531,0.48767416934619506,136902.0,137364.85059615085,349553.08816150425,512235.53777777776,200667.56555555554,0.6824069444263163,0.684539378428453,32197.51370538495,32940.43179685887,0,7073,52508.33794718702,
MAY_HISTORICAL,R1,PENDING,40419,102201.0,0.9122195007298548,0.9369967025762957,13230,0.22600151171579744,17373.0,1720482.8263951635,2198873.9284868934,2774467.533333333,2273332.5769444443,0.7925390735587727,0.7568108792544738,2827.757643463754,1681.437067436764,0,40419,23996.644503359348,
MAY_HISTORICAL,R1,RUNNING,7073,14897.0,0.8194542626890994,0.8153319460294018,6531,0.19277292910733426,42242.0,280850.4447606413,554706.1214997787,512235.53777777776,200667.56555555554,1.0829122163336233,1.3995806645837185,15114.684675853257,12700.421761375721,0,7073,68857.57598334705,56397.28015610293
MAY_HISTORICAL,R2,PENDING,40419,102201.0,0.9122195007298548,0.9369967025762957,13230,0.22600151171579744,17373.0,1720482.8263951635,2198873.9284868934,2774467.533333333,2273332.5769444443,0.7925390735587727,0.7568108792544738,2827.757643463754,1681.437067436764,0,40419,23996.644503359348,
MAY_HISTORICAL,R2,RUNNING,7073,14897.0,0.8652622649512229,0.8465462844868095,6531,0.14362272240085744,41286.0,271872.1263836391,551081.7247443734,512235.53777777776,200667.56555555554,1.0758365714630447,1.354838414623465,13058.722126972578,10397.650558885585,0,7073,68694.58934333698,51520.02243777142
MAY_HISTORICAL,R3,PENDING,40419,102201.0,0.9122195007298548,0.9369967025762957,13230,0.22600151171579744,17373.0,1720482.8263951635,2198873.9284868934,2774467.533333333,2273332.5769444443,0.7925390735587727,0.7568108792544738,2827.757643463754,1681.437067436764,0,40419,23996.644503359348,
MAY_HISTORICAL,R3,RUNNING,7073,14897.0,0.9693199491022197,0.9332751560716923,6531,0.0316949931097841,31579.0,5324007.221734152,5619433.079439661,512235.53777777776,200667.56555555554,10.970408464469973,26.531478602406136,225310.19855582924,113317.48519967857,0,7073,2242503.8108100696,587842.010666178
