role,state,candidate,reference,metric,estimate,CI95_low,CI95_high,nonfinite_draws,N_days,N_pairs,block_days,draws
EXPOSED_EVALUATION,RUNNING,R2,R1,coverage,0.016985905312612903,-0.002047069786520758,0.03783749453075111,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,GPU_coverage,-0.027204502814258902,-0.06182966981059808,0.004458753316219889,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,long_under,-0.018928715263793805,-0.04134676013500984,0.0023543833461735953,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,missed_GPU_slots,-347.0,-5703.625,5075.199999999999,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,overreserved_GPUh,-6734.065745653643,-15746.550035684602,1232.6956905321513,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,reserved_GPUh,-10568.359649542603,-22663.098366101574,367.2256720510863,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,reserve_vs_requested,-0.04276419643004514,-0.09109690563385069,0.0015493731310757075,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,pinball_Q90,-296.9808306288123,-1613.9020703510341,919.537320280268,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,pinball_Q95,-494.3118276254281,-1915.7295866772279,732.7310374141259,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,MAE_bound_seconds,2563.3342906882026,274.2456938201476,5527.951830819709,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,overreserve_vs_requested,-0.11157404710365348,-0.24343346521317938,0.02296841640740102,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,missed_slots_reduction,0.04036291729673147,-1.0008893850381848,0.49048280821471635,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,coverage,0.016985905312612903,0.005269558167815158,0.02650762094102055,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,GPU_coverage,-0.027204502814258902,-0.05343627005752338,0.0024437927663734094,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,long_under,-0.018928715263793805,-0.029645697758496015,-0.005772646536412074,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,missed_GPU_slots,-347.0,-2657.0,1641.7749999999903,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,overreserved_GPUh,-6734.065745653643,-15230.026561533246,1832.6602836661914,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,reserved_GPUh,-10568.359649542603,-23271.986301357683,2793.82628560171,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,reserve_vs_requested,-0.04276419643004514,-0.0898549293247044,0.01200885771625848,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,pinball_Q90,-296.9808306288123,-1306.1904745498969,929.5664951125946,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,pinball_Q95,-494.3118276254281,-1499.8823719238862,728.9511234210668,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,MAE_bound_seconds,2563.3342906882026,308.1774249345035,5603.059943000248,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,overreserve_vs_requested,-0.11157404710365348,-0.2238829751776925,0.03588816509709103,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,missed_slots_reduction,0.04036291729673147,-0.2071679380070226,0.37625446504507565,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,coverage,0.13408023129743407,0.07997620767927648,0.18904501737625984,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,GPU_coverage,0.07191994996873052,0.034283913565426136,0.1131623757062378,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,long_under,-0.13451469995972615,-0.19651236556041707,-0.07405782383954423,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,missed_GPU_slots,-7314.0,-12400.25,-3177.3000000000093,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,overreserved_GPUh,1087704.7373055625,830677.9380897087,1402999.6480210605,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,reserved_GPUh,1084871.1498645411,824878.339080839,1404700.4570442296,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,reserve_vs_requested,4.389862239037636,3.250660317182317,5.825889215884207,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,pinball_Q90,44513.52387122542,36440.9623149318,57292.31277449147,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,pinball_Q95,21913.599157922305,17515.235119919857,28532.216616917365,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,MAE_bound_seconds,450625.8431553008,365058.14558959915,574643.7849157964,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,overreserve_vs_requested,18.021745581163486,12.104738001566073,26.764207224614484,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,missed_slots_reduction,0.8507618936838433,0.7194496784602153,0.9575424262707547,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,coverage,0.13408023129743407,0.08162374508948056,0.17294626312538597,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,GPU_coverage,0.07191994996873052,0.05433112913245141,0.08888535538241371,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,long_under,-0.13451469995972615,-0.1746499631540162,-0.08279370952821463,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,missed_GPU_slots,-7314.0,-10102.0,-4526.0,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,overreserved_GPUh,1087704.7373055625,844568.156087122,1330841.3185240028,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,reserved_GPUh,1084871.1498645411,841643.1093959198,1328099.1903331624,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,reserve_vs_requested,4.389862239037636,3.1831892035811755,5.780867017709139,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,pinball_Q90,44513.52387122542,40193.13229860757,49717.65716729677,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,pinball_Q95,21913.599157922305,19225.345610298355,25558.973877445474,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,MAE_bound_seconds,450625.8431553008,409412.5233388855,491085.03690757824,0,13,2767,7,2000
