role,arm,elapsed_regime,N,GPU_weight,coverage,GPU_coverage,long_N,long_under,missed_GPU_slots,overreserved_GPUh,reserved_GPUh,requested_reserved_GPUh,requested_overreserved_GPUh,reserve_vs_requested,overreserve_vs_requested,pinball_Q90,pinball_Q95,unscorable_N,query_N,MAE_bound_seconds,MAE_Q50_seconds
EXPOSED_EVALUATION,R1,<1h,325,534.0,0.7015384615384616,0.795880149812734,161,0.2670807453416149,615.0,2477.530350888659,9141.85327941976,13205.966944444444,6014.0327777777775,0.6922517160521595,0.41195823874510407,5933.239080350775,5353.831342364825,0,325,21137.00196847676,15878.403664968953
EXPOSED_EVALUATION,R1,1-2h,351,588.0,0.8717948717948718,0.8503401360544217,290,0.15517241379310345,1619.0,4169.217248377055,12899.229953597305,16473.07361111111,7185.840833333334,0.783049372455712,0.5801989419299534,4135.936686906005,3010.028494397995,0,351,26286.40445394017,17601.735125361236
EXPOSED_EVALUATION,R1,2-4h,318,644.0,0.7452830188679245,0.8291925465838509,259,0.3127413127413127,679.0,3287.3489178822715,11814.020296270803,14695.791944444445,5982.260277777777,0.8039049777604493,0.5495161970958942,2740.902009498957,2135.9729505039572,0,318,15160.66896291791,13400.14797623015
EXPOSED_EVALUATION,R1,4-8h,442,896.0,0.8393665158371041,0.8616071428571429,442,0.16063348416289594,1578.0,4773.219433714308,17178.50352284804,18495.355277777777,5612.815833333333,0.9288009483920573,0.8504144043649466,2949.5741402257695,2321.2200599158,0,442,15952.813565411048,13428.385659227632
EXPOSED_EVALUATION,R1,>8h,1331,3734.0,0.8850488354620586,0.919925013390466,1331,0.1149511645379414,4106.0,155034.10809581482,301873.63943012984,184260.8361111111,35560.17694444444,1.638295178732919,4.35976762258591,13700.454699924718,8311.955831488156,0,1331,113616.89129483442,88301.58539172258
EXPOSED_EVALUATION,R2,<1h,325,534.0,0.6984615384615385,0.7715355805243446,161,0.2732919254658385,354.0,2837.0909007146556,9261.31799870952,13205.966944444444,6014.0327777777775,0.7012979842877481,0.4717451676016602,6300.196439616887,5553.361237308912,0,325,24549.75611616136,16397.623545832903
EXPOSED_EVALUATION,R2,1-2h,351,588.0,0.8831908831908832,0.8401360544217688,290,0.1413793103448276,739.0,4776.0094958946775,13215.925320551014,16473.07361111111,7185.840833333334,0.8022744044339639,0.6646417039659372,4999.223023315384,3761.198427801102,0,351,29806.839574859285,16539.25699046338
EXPOSED_EVALUATION,R2,2-4h,318,644.0,0.8113207547169812,0.8245341614906833,259,0.23166023166023167,366.0,3385.0523560531433,10739.98623264262,14695.791944444445,5982.260277777777,0.7308205146918083,0.5658483915565413,2884.134038662004,2121.009259945173,0,318,17978.264536793304,15240.050349916115
EXPOSED_EVALUATION,R2,4-8h,442,896.0,0.8167420814479638,0.796875,442,0.1832579185520362,1539.0,3847.3293471378365,16225.288104380401,18495.355277777777,5612.815833333333,0.8772628511697276,0.6854544067327769,2984.627931721207,2286.230037877109,0,442,17143.622164947985,15124.750848468278
EXPOSED_EVALUATION,R2,>8h,1331,3734.0,0.9098422238918107,0.8947509373326191,1331,0.09015777610818933,5252.0,148161.87620122317,292896.36917643965,184260.8361111111,35560.17694444444,1.5895747319838507,4.166511219353493,12719.942179033706,7052.7186818397095,0,1331,116115.46031317132,92445.6508166351
EXPOSED_EVALUATION,R3,<1h,325,534.0,0.88,0.9063670411985019,161,0.13664596273291926,688.0,8714.64963980403,13973.747753512806,13205.966944444444,6014.0327777777775,1.0581389316131338,1.449052567855167,12008.800231291032,10387.418916512155,0,325,49959.70149904407,19413.641259513184
EXPOSED_EVALUATION,R3,1-2h,351,588.0,0.9686609686609686,0.935374149659864,290,0.03793103448275862,246.0,12393.452664537852,19596.99062862633,16473.07361111111,7185.840833333334,1.1896377744228697,1.7247045894820963,11396.120538983938,8371.850218001755,0,351,71180.5662136828,20869.877259280714
EXPOSED_EVALUATION,R3,2-4h,318,644.0,0.9874213836477987,0.984472049689441,259,0.015444015444015444,108.0,19363.667080268096,28049.12498202869,14695.791944444445,5982.260277777777,1.908650114812785,3.236847977377055,9041.095875951629,4571.034950491177,0,318,89603.16655927047,13552.37399030509
EXPOSED_EVALUATION,R3,4-8h,442,896.0,0.9932126696832579,0.9888392857142857,442,0.006787330316742082,213.0,26146.78813132356,38901.93351024954,18495.355277777777,5612.815833333333,2.1033352928878486,4.6584083475611795,10329.123955349274,5278.085651123694,0,442,101474.86077830782,15446.088275553657
EXPOSED_EVALUATION,R3,>8h,1331,3734.0,0.98572501878287,0.9566148901981789,1331,0.014274981217129978,28.0,1190827.6038363061,1337256.5994723896,184260.8361111111,35560.17694444444,7.25741089477099,33.48767374517659,98885.13988229081,49661.11373988664,0,1331,985354.6980430484,203073.5379054766
