role,arm,GPU_bucket,N,GPU_weight,coverage,GPU_coverage,long_N,long_under,missed_GPU_slots,overreserved_GPUh,reserved_GPUh,requested_reserved_GPUh,requested_overreserved_GPUh,reserve_vs_requested,overreserve_vs_requested,pinball_Q90,pinball_Q95,unscorable_N,query_N,MAE_bound_seconds,MAE_Q50_seconds
EXPOSED_EVALUATION,R1,1 GPU,1590,1590.0,0.7987421383647799,0.7987421383647799,1420,0.18732394366197183,3097.0,13502.38276448718,30054.87285458607,32580.016111111112,14630.558333333332,0.922494106574003,0.9228890967014027,5908.939687606922,4538.8011883456065,0,1590,33740.095363394896,26419.80869478638
EXPOSED_EVALUATION,R1,2-4 GPU,1130,3846.0,0.8884955752212389,0.8954758190327613,1020,0.12352941176470589,5500.0,127746.8330444398,273299.54911438574,168329.17777777778,20570.209444444445,1.6236017589011582,6.210283535977383,12265.03492378154,7149.187587574195,0,1130,106383.62722688062,82969.14747611638
EXPOSED_EVALUATION,R1,>4 GPU,47,960.0,0.9787234042553191,0.9916666666666667,43,0.023255813953488372,0.0,28492.208237750125,49552.824513294,46221.83,25154.358888888888,1.0720653966598466,1.1326946698822693,11402.90905638556,5737.685123993388,0,47,113449.40103104585,70256.62599143398
EXPOSED_EVALUATION,R2,1 GPU,1590,1590.0,0.8314465408805032,0.8314465408805032,1420,0.15070422535211267,1224.0,15133.00308885066,32403.838811310103,32580.016111111112,14630.558333333332,0.9945924735211863,1.0343421449865375,4814.338095105437,3178.2789214980035,0,1590,35805.622967929805,25322.72395467996
EXPOSED_EVALUATION,R2,2-4 GPU,1130,3846.0,0.8902654867256637,0.891835673426937,1020,0.12156862745098039,3202.0,132738.35996905266,277978.6138860237,168329.17777777778,20570.209444444445,1.6513988694996256,6.452941586596355,12823.223841124773,7505.1810565722,0,1130,110735.1322350907,90257.97856795076
EXPOSED_EVALUATION,R2,>4 GPU,47,960.0,0.8297872340425532,0.7708333333333334,43,0.18604651162790697,3824.0,15135.995243120133,31956.434135389405,46221.83,25154.358888888888,0.6913710282649865,0.6017245484163766,17528.804739993644,14103.577832086603,0,47,89861.24000649982,73542.49169277554
EXPOSED_EVALUATION,R3,1 GPU,1590,1590.0,0.9735849056603774,0.9735849056603774,1420,0.017605633802816902,697.0,114281.86844337784,131801.4693611482,32580.016111111112,14630.558333333332,4.045469741686178,7.811176158807645,26756.220041534707,13867.598918889003,0,1590,259730.3780454007,55240.694465231725
EXPOSED_EVALUATION,R3,2-4 GPU,1130,3846.0,0.9743362831858408,0.9708788351534061,1020,0.028431372549019607,394.0,1093366.8011337027,1237133.140691236,168329.17777777778,20570.209444444445,7.349487219170376,53.152925063142554,90786.60812315508,46989.6813653728,0,1130,882324.0443708266,180110.9279267289
EXPOSED_EVALUATION,R3,>4 GPU,47,960.0,0.8936170212765957,0.8791666666666667,43,0.11627906976744186,192.0,49797.49177515911,68843.78629442287,46221.83,25154.358888888888,1.489421476701006,1.9796764447515107,38900.08083603395,22384.12149621856,0,47,342055.5111091143,78817.28658145353
MAY_HISTORICAL,R0,1 GPU,5348,5348.0,0.518324607329843,0.518324607329843,5061,0.5080023710729105,55072.0,22451.45886484156,83223.75284137309,182642.91722222223,63318.55944444444,0.4556637295719192,0.3545794323470106,36988.10815396051,38203.38230103471,0,5348,54531.82995473376,
MAY_HISTORICAL,R0,2-4 GPU,1446,4691.0,0.6300138312586445,0.6175655510552122,1235,0.38785425101214577,32598.0,44155.91748879686,153464.93505273128,168985.5338888889,38877.773888888885,0.9081542752271168,1.1357624954297203,16248.47449468727,15543.616853807402,0,1446,43774.67124345242,
MAY_HISTORICAL,R0,>4 GPU,279,4858.0,0.5053763440860215,0.5611362700699877,235,0.574468085106383,49232.0,70757.47424251243,112864.40026739988,160607.08666666667,98471.23222222223,0.7027361158828891,0.7185598539361471,23029.813302828537,22221.919651052733,0,279,58985.925034069915,
MAY_HISTORICAL,R1,1 GPU,5348,5348.0,0.8161929693343306,0.8161929693343306,5061,0.19264967397747482,4395.0,74961.39061171655,176442.27556638,182642.91722222223,63318.55944444444,0.9660504674906288,1.1838770696842447,15860.161381284286,13937.938503208665,0,5348,62475.88881177842,50987.555764657474
MAY_HISTORICAL,R1,2-4 GPU,1446,4691.0,0.8658367911479945,0.8772116819441483,1235,0.14898785425101216,1175.0,140590.08422389915,267660.5463996886,168985.5338888889,38877.773888888885,1.5839257967234066,3.6162071579946926,11075.683564088296,6570.662987474002,0,1446,94231.69635400528,77873.04738844791
MAY_HISTORICAL,R1,>4 GPU,279,4858.0,0.6415770609318996,0.7546315356113626,235,0.425531914893617,36672.0,65298.969925025645,110603.29953371015,160607.08666666667,98471.23222222223,0.6886576540875976,0.6631273769141428,21758.36276534072,20748.4205131295,0,279,59675.8015660609,48788.84512914752
MAY_HISTORICAL,R2,1 GPU,5348,5348.0,0.8691099476439791,0.8691099476439791,5061,0.13752222880853587,1857.0,80498.0286943073,186837.39858476634,182642.91722222223,63318.55944444444,1.022965475071999,1.2713180685188532,13289.424380116554,11017.328251609086,0,5348,62932.38681635263,44322.04285822793
MAY_HISTORICAL,R2,2-4 GPU,1446,4691.0,0.876210235131397,0.8912811767213814,1235,0.1368421052631579,1325.0,137909.5001434658,265285.67583669425,168985.5338888889,38877.773888888885,1.569872105213009,3.5472581464567803,10841.153474137633,6394.513939929527,0,1446,92828.53949560496,77990.30003944771
MAY_HISTORICAL,R2,>4 GPU,279,4858.0,0.7347670250896058,0.778509674763277,235,0.31063829787234043,38104.0,53464.59754586602,98958.6503229127,160607.08666666667,98471.23222222223,0.6161536976777199,0.5429463645302139,20129.720772798068,19266.82349911917,0,279,54065.79792445841,52304.15641402461
MAY_HISTORICAL,R3,1 GPU,5348,5348.0,0.9756918474195961,0.9756918474195961,5061,0.02529144437858131,975.0,4181413.866994828,4299517.737566485,182642.91722222223,63318.55944444444,23.54056649421148,66.03772896418452,282214.76461592555,141520.36837210215,0,5348,2815539.869133025,747478.8915564115
