role,state,candidate,reference,metric,estimate,CI95_low,CI95_high,nonfinite_draws,N_days,N_pairs,block_days,draws
EXPOSED_EVALUATION,RUNNING,R2,R1,coverage,0.029273581496205292,0.014855348911142846,0.04731142221908096,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,GPU_coverage,0.014227642276422814,0.00752577866225021,0.02141742400101008,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,long_under,-0.013290374546919032,-0.021010838583858382,-0.005884918995691401,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,missed_GPU_slots,-874.0,-1278.0,-477.0,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,overreserved_GPUh,2281.7884886234824,1894.7120940419234,2704.2922402596887,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,reserved_GPUh,2640.819343991636,2174.7987732320703,3132.918143494912,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,reserve_vs_requested,0.010685907833162034,0.009121929093757414,0.012438406628948883,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,pinball_Q90,-26.779232620827315,-77.97818430602054,18.97651516395478,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,MAE_bound_seconds,1108.5360196887923,834.285470013048,1365.8931037414734,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,overreserve_vs_requested,0.037806042579041854,0.031771017040687945,0.045570515365088424,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,missed_slots_reduction,0.10593939393939389,0.08141646998634601,0.14183565672668091,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,coverage,0.029273581496205292,0.010600695023043219,0.04731355252606262,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,GPU_coverage,0.014227642276422814,0.005539263603779765,0.022108345534406992,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,long_under,-0.013290374546919032,-0.01711840228245365,-0.00878409616273694,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,missed_GPU_slots,-874.0,-1272.0,-472.9500000000003,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,overreserved_GPUh,2281.7884886234824,1828.4667309176002,2735.1102463293937,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,reserved_GPUh,2640.819343991636,2035.5740203984315,3246.5481708351003,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,reserve_vs_requested,0.010685907833162034,0.008556522393426302,0.012722901600975778,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,pinball_Q90,-26.779232620827315,-48.477727850547126,-2.3083423737953126,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,MAE_bound_seconds,1108.5360196887923,906.8618117255392,1297.7563901355427,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,overreserve_vs_requested,0.037806042579041854,0.0313064017155247,0.04494703954802448,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R2,R1,missed_slots_reduction,0.10593939393939389,0.09550471924492077,0.1285551763367463,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,coverage,0.01987712323816415,0.008884475281386117,0.033404405994787896,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,GPU_coverage,0.009068167604753041,0.0044994231129063976,0.014095746500756122,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,long_under,-0.008054772452678216,-0.013366643283937317,-0.0032295414312596806,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,missed_GPU_slots,-532.0,-780.025,-293.97500000000014,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,overreserved_GPUh,1377.856169450417,1180.0938734269687,1577.1793361382072,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,reserved_GPUh,1591.1494440916576,1372.243677144131,1823.4569161362087,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,reserve_vs_requested,0.006438485217489465,0.005713712952543309,0.007265032881654398,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,pinball_Q90,-20.987804142841924,-51.27842623253682,7.412762439418315,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,MAE_bound_seconds,648.6296591898281,496.5402865215659,778.3586884636036,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,overreserve_vs_requested,0.02282914883204734,0.019694881814230947,0.026925441043091813,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,missed_slots_reduction,0.06448484848484848,0.04896582783722081,0.09143191747107629,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,coverage,0.01987712323816415,0.005640612409347212,0.033333333333333326,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,GPU_coverage,0.009068167604753041,0.0033036009250082543,0.014300767725425212,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,long_under,-0.008054772452678216,-0.011157601115760113,-0.0038616253597848356,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,missed_GPU_slots,-532.0,-788.0,-271.0,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,overreserved_GPUh,1377.856169450417,1256.4886250451673,1500.5346283289837,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,reserved_GPUh,1591.1494440916576,1381.3719808843452,1791.9292678250931,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,reserve_vs_requested,0.006438485217489465,0.0060353655975213805,0.006824593979636306,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,pinball_Q90,-20.987804142841924,-37.632689790070934,0.04887696192599833,0,13,2767,7,2000
