role,arm,elapsed_regime,N,GPU_weight,coverage,GPU_coverage,long_N,long_under,missed_GPU_slots,overreserved_GPUh,reserved_GPUh,requested_reserved_GPUh,requested_overreserved_GPUh,reserve_vs_requested,overreserve_vs_requested,pinball_Q90,unscorable_N,query_N,MAE_bound_seconds
EXPOSED_EVALUATION,R1,1-2h,351,588.0,0.8831908831908832,0.8401360544217688,290,0.1413793103448276,739.0,4776.0094958946775,13215.925320551014,16473.07361111111,7185.840833333334,0.8022744044339639,0.6646417039659372,4999.223023315384,0,351,29806.839574859285
EXPOSED_EVALUATION,R1,2-4h,318,644.0,0.8113207547169812,0.8245341614906833,259,0.23166023166023167,366.0,3385.0523560531433,10739.98623264262,14695.791944444445,5982.260277777777,0.7308205146918083,0.5658483915565413,2884.134038662004,0,318,17978.264536793304
EXPOSED_EVALUATION,R1,4-8h,442,896.0,0.8167420814479638,0.796875,442,0.1832579185520362,1539.0,3847.3293471378365,16225.288104380401,18495.355277777777,5612.815833333333,0.8772628511697276,0.6854544067327769,2984.627931721207,0,442,17143.622164947985
EXPOSED_EVALUATION,R1,<1h,325,534.0,0.6984615384615385,0.7715355805243446,161,0.2732919254658385,354.0,2837.0909007146556,9261.31799870952,13205.966944444444,6014.0327777777775,0.7012979842877481,0.4717451676016602,6300.196439616887,0,325,24549.75611616136
EXPOSED_EVALUATION,R1,>8h,1331,3734.0,0.9098422238918107,0.8947509373326191,1331,0.09015777610818933,5252.0,148161.87620122317,292896.36917643965,184260.8361111111,35560.17694444444,1.5895747319838507,4.166511219353493,12719.942179033706,0,1331,116115.46031317132
EXPOSED_EVALUATION,R2,1-2h,351,588.0,0.905982905982906,0.8571428571428571,290,0.11379310344827587,588.0,5013.108856801442,13492.876165073229,16473.07361111111,7185.840833333334,0.8190867401923261,0.6976370578021813,5017.138044927689,0,351,31172.155404316734
EXPOSED_EVALUATION,R2,2-4h,318,644.0,0.8490566037735849,0.8478260869565217,259,0.18532818532818532,282.0,3594.725776256465,10991.79668647919,14695.791944444445,5982.260277777777,0.7479553826042358,0.6008975887608476,2820.1662433046495,0,318,18846.08119494886
EXPOSED_EVALUATION,R2,4-8h,442,896.0,0.832579185520362,0.8080357142857143,442,0.167420814479638,1341.0,4143.953275660364,16589.955668516657,18495.355277777777,5612.815833333333,0.8969795615902301,0.738302021429297,2902.8817285729438,0,442,18082.65261155217
EXPOSED_EVALUATION,R2,<1h,325,534.0,0.8461538461538461,0.8614232209737828,161,0.2732919254658385,283.0,3022.6130201631972,9479.154180185998,13205.966944444444,6014.0327777777775,0.717793268759751,0.5025933731741434,6179.709612843953,0,325,25481.376036723228
EXPOSED_EVALUATION,R2,>8h,1331,3734.0,0.9143501126972201,0.8968934118907338,1331,0.08564988730277986,4882.0,149514.7458607655,294425.92347645975,184260.8361111111,35560.17694444444,1.5978757596590847,4.204555733632933,12731.396341444393,0,1331,117313.2812609281
EXPOSED_EVALUATION,R3,1-2h,351,588.0,0.8974358974358975,0.8520408163265306,290,0.12413793103448276,652.0,4913.520211689669,13378.122440448255,16473.07361111111,7185.840833333334,0.8121206009438756,0.6837780470863016,5001.16702738324,0,351,30560.67261412298
EXPOSED_EVALUATION,R3,2-4h,318,644.0,0.8364779874213837,0.8369565217391305,259,0.20077220077220076,302.0,3509.2707077752425,10887.848302296801,14695.791944444445,5982.260277777777,0.7408820391209208,0.5866128427763472,2845.844223121637,0,318,18523.077539053822
EXPOSED_EVALUATION,R3,4-8h,442,896.0,0.8257918552036199,0.8013392857142857,442,0.17420814479638008,1423.0,4020.6115352445163,16442.48216228668,18495.355277777777,5612.815833333333,0.8890060188269198,0.7163270013897391,2930.57324672455,0,442,17676.25447273555
EXPOSED_EVALUATION,R3,<1h,325,534.0,0.8061538461538461,0.8370786516853933,161,0.2732919254658385,311.0,2946.832348255504,9393.913861798772,13205.966944444444,6014.0327777777775,0.7113385866644664,0.4899927315235513,6191.299498047068,0,325,24997.372365699855
EXPOSED_EVALUATION,R3,>8h,1331,3734.0,0.9120961682945155,0.8958221746116765,1331,0.0879038317054846,5030.0,148994.979667509,293827.6695099844,184260.8361111111,35560.17694444444,1.5946289819981248,4.189939209253188,12729.48706155023,0,1331,116848.75375745066
MAY_HISTORICAL,R0,1-2h,732,1433.0,0.6598360655737705,0.7885554780181437,651,0.38095238095238093,712.0,21178.063304851017,35529.750167922284,45576.45722222222,30462.338055555556,0.7795636680289983,0.6952212028580215,5183.436995252968,0,732,26256.405376474755
MAY_HISTORICAL,R0,2-4h,1204,2224.0,0.7624584717607974,0.7823741007194245,1126,0.2531083481349911,2252.0,29155.833583643733,52847.423192394905,71310.07833333334,44547.120833333334,0.7410933268838072,0.6544942307882501,6146.642864883002,0,1204,26155.79577032786
MAY_HISTORICAL,R0,4-8h,788,1396.0,0.565989847715736,0.6926934097421203,788,0.434010152284264,3013.0,17929.241391440435,33112.76477277779,44535.91027777778,27290.3425,0.7435070837499007,0.6569811790174651,7769.743931587177,0,788,26220.97139862921
MAY_HISTORICAL,R0,<1h,684,1612.0,0.7807017543859649,0.8269230769230769,301,0.292358803986711,446.0,21068.194092001126,28220.940265428002,38974.39111111111,31441.35861111111,0.7240893176489566,0.670078998575965,3036.8022063163876,0,684,22437.48196142385
MAY_HISTORICAL,R0,>8h,3665,8232.0,0.3937244201909959,0.39176384839650147,3665,0.606275579809004,130479.0,48033.51822421453,199842.20976298128,311838.7008333333,66926.40555555555,0.640851213236005,0.7177065289176773,56845.41599485194,0,3665,77672.80882228262
MAY_HISTORICAL,R1,1-2h,732,1433.0,0.7636612021857924,0.7229588276343336,651,0.2642089093701997,3254.0,7797.969037457887,21331.988143516664,45576.45722222222,30462.338055555556,0.4680484057702403,0.2559872135630684,4088.042255200345,0,732,22229.304536456755
MAY_HISTORICAL,R1,2-4h,1204,2224.0,0.9368770764119602,0.9069244604316546,1126,0.0674955595026643,815.0,18022.58439926674,42778.83799557328,71310.07833333334,44547.120833333334,0.5998989062332393,0.404573495707964,5232.387001230805,0,1204,32543.11556045515
MAY_HISTORICAL,R1,4-8h,788,1396.0,0.9048223350253807,0.9018624641833811,788,0.09517766497461928,1180.0,15093.630428156272,31236.686991213544,44535.91027777778,27290.3425,0.7013820262432092,0.5530758885915877,5067.879347159302,0,788,33630.341200159615
MAY_HISTORICAL,R1,<1h,684,1612.0,0.8918128654970761,0.8573200992555832,301,0.19933554817275748,656.0,7382.183134173767,14413.57481866853,38974.39111111111,31441.35861111111,0.36982168053831127,0.2347921165074898,2477.489797418628,0,684,19378.18240199041
MAY_HISTORICAL,R1,>8h,3665,8232.0,0.8485675306957708,0.8402575315840622,3665,0.15143246930422918,35381.0,223575.75938458444,441320.6367954013,311838.7008333333,66926.40555555555,1.415220867762887,3.340621052762118,21114.327087801532,0,3665,106594.18355832493
MAY_HISTORICAL,R2,1-2h,732,1433.0,0.7841530054644809,0.7543614794138171,651,0.2411674347158218,3189.0,7911.24262256934,21467.301605845027,45576.45722222222,30462.338055555556,0.4710173390874703,0.2597056932445975,4040.026678416757,0,732,22489.05308998557
MAY_HISTORICAL,R2,2-4h,1204,2224.0,0.9385382059800664,0.9096223021582733,1126,0.06571936056838366,793.0,18241.90539925044,43038.26448633527,71310.07833333334,44547.120833333334,0.6035369122041389,0.4094968441956084,5257.102083362959,0,1204,32999.93242193695
MAY_HISTORICAL,R2,4-8h,788,1396.0,0.9073604060913706,0.9032951289398281,788,0.09263959390862944,1128.0,15210.167684502083,31371.397143749826,44535.91027777778,27290.3425,0.704406779789192,0.5573461631894904,5062.130458306242,0,788,33957.502882781824
MAY_HISTORICAL,R2,<1h,684,1612.0,0.9078947368421053,0.8641439205955335,301,0.16279069767441862,608.0,7474.014959108015,14521.640637563558,38974.39111111111,31441.35861111111,0.3725944196578769,0.23771284986606023,2475.0893938278914,0,684,19635.29785003194
MAY_HISTORICAL,R2,>8h,3665,8232.0,0.8502046384720328,0.8411078717201166,3665,0.14979536152796727,35340.0,224123.7514489556,441903.4150392412,311838.7008333333,66926.40555555555,1.4170897129135451,3.3488090326756104,21128.023330117176,0,3665,106871.75068448026
MAY_HISTORICAL,R3,1-2h,732,1433.0,0.7814207650273224,0.7529658060013956,651,0.24423963133640553,3221.0,7837.487325767025,21384.098928053154,45576.45722222222,30462.338055555556,0.46919177644256804,0.25728449705578876,4059.0524025332943,0,732,22307.610095496155
MAY_HISTORICAL,R3,2-4h,1204,2224.0,0.9377076411960132,0.9078237410071942,1126,0.06660746003552398,811.0,18071.346933996756,42843.219697716115,71310.07833333334,44547.120833333334,0.6008017477901071,0.4056681239087956,5235.378342198742,0,1204,32627.556213913642
MAY_HISTORICAL,R3,4-8h,788,1396.0,0.9060913705583756,0.9025787965616046,788,0.09390862944162437,1160.0,15133.288724691256,31281.94068395455,44535.91027777778,27290.3425,0.7023981431802775,0.5545290875221246,5070.706786666141,0,788,33736.660939343485
MAY_HISTORICAL,R3,<1h,684,1612.0,0.9005847953216374,0.8610421836228288,301,0.17940199335548174,639.0,7405.574738796495,14442.762715056755,38974.39111111111,31441.35861111111,0.3705705798939167,0.23553609213882465,2470.3669389179754,0,684,19429.87099383676
MAY_HISTORICAL,R3,>8h,3665,8232.0,0.8491132332878581,0.8405004859086491,3665,0.15088676671214188,35378.0,223717.30202168642,441472.13889947033,311838.7008333333,66926.40555555555,1.415706702598859,3.342735952493054,21116.057547838423,0,3665,106650.00718541023
