role,arm,GPU_bucket,N,GPU_weight,coverage,GPU_coverage,long_N,long_under,missed_GPU_slots,overreserved_GPUh,reserved_GPUh,requested_reserved_GPUh,requested_overreserved_GPUh,reserve_vs_requested,overreserve_vs_requested,pinball_Q90,unscorable_N,query_N,MAE_bound_seconds
EXPOSED_EVALUATION,R1,1 GPU,1590,1590.0,0.8314465408805032,0.8314465408805032,1420,0.15070422535211267,1224.0,15133.00308885066,32403.838811310103,32580.016111111112,14630.558333333332,0.9945924735211863,1.0343421449865375,4814.338095105437,0,1590,35805.622967929805
EXPOSED_EVALUATION,R1,2-4 GPU,1130,3846.0,0.8902654867256637,0.891835673426937,1020,0.12156862745098039,3202.0,132738.35996905266,277978.6138860237,168329.17777777778,20570.209444444445,1.6513988694996256,6.452941586596355,12823.223841124773,0,1130,110735.1322350907
EXPOSED_EVALUATION,R1,>4 GPU,47,960.0,0.8297872340425532,0.7708333333333334,43,0.18604651162790697,3824.0,15135.995243120133,31956.434135389405,46221.83,25154.358888888888,0.6913710282649865,0.6017245484163766,17528.804739993644,0,47,89861.24000649982
EXPOSED_EVALUATION,R2,1 GPU,1590,1590.0,0.8773584905660378,0.8773584905660378,1420,0.13309859154929576,1040.0,15701.026564501097,33051.261352567344,32580.016111111112,14630.558333333332,1.0144642421246537,1.0731666014911323,4781.1528615633615,0,1590,36911.94238689651
EXPOSED_EVALUATION,R2,2-4 GPU,1130,3846.0,0.8973451327433628,0.8965158606344253,1020,0.11372549019607843,2752.0,134123.8155771527,279532.6398950132,168329.17777777778,20570.209444444445,1.6606309350838884,6.520294114621986,12810.54831435528,0,1130,111852.76773464381
EXPOSED_EVALUATION,R2,>4 GPU,47,960.0,0.8297872340425532,0.7708333333333334,43,0.18604651162790697,3584.0,15464.304647993164,32395.804929134294,46221.83,25154.358888888888,0.7008767270602287,0.6147763382204112,17379.650057431918,0,47,90825.98842834773
EXPOSED_EVALUATION,R3,1 GPU,1590,1590.0,0.8641509433962264,0.8641509433962264,1420,0.1387323943661972,1128.0,15451.463696933926,32771.07039322295,32580.016111111112,14630.558333333332,1.0058641555443149,1.056108956671209,4787.060021962121,0,1590,36416.24100774946
EXPOSED_EVALUATION,R3,2-4 GPU,1130,3846.0,0.8929203539823009,0.8933957358294332,1020,0.11862745098039215,2910.0,133601.15466359563,278950.5068309433,168329.17777777778,20570.209444444445,1.657172633488437,6.494885481084799,12812.981424164574,0,1130,111438.86511611838
EXPOSED_EVALUATION,R3,>4 GPU,47,960.0,0.8297872340425532,0.7708333333333334,43,0.18604651162790697,3680.0,15332.596109944376,32208.459052648654,46221.83,25154.358888888888,0.6968235366849096,0.6095403257014452,17462.268854879996,0,47,90470.9725193459
MAY_HISTORICAL,R0,1 GPU,5348,5348.0,0.518324607329843,0.518324607329843,5061,0.5080023710729105,55072.0,22451.45886484156,83223.75284137309,182642.91722222223,63318.55944444444,0.4556637295719192,0.3545794323470106,36988.10815396051,0,5348,54531.82995473376
MAY_HISTORICAL,R0,2-4 GPU,1446,4691.0,0.6300138312586445,0.6175655510552122,1235,0.38785425101214577,32598.0,44155.91748879686,153464.93505273128,168985.5338888889,38877.773888888885,0.9081542752271168,1.1357624954297203,16248.47449468727,0,1446,43774.67124345242
