role,model,state,N,unresolved_N,Q90_coverage,GPU_coverage,pinball,MAE_seconds,long_under,missed_GPU_slots,overreserved_GPUh,requested_overreserved_GPUh,Q90_sum_GPUh
EXPOSED_EVALUATION,MOE_CURRENT_TEMPORAL_GPU_COHORT,ALL,9219,0,0.8824167480203927,0.8384141353547472,10721.599285638682,37612.872145094676,0.17686408875836188,64797.0,146350.33889520593,231793.43194444446,471681.9505181021
EXPOSED_EVALUATION,MOE_CURRENT_TEMPORAL_GPU_COHORT,PENDING,6452,0,0.9373837569745815,0.8912988861904363,8627.897545218808,37357.5551660698,0.11080636313768513,11978.0,103456.76427016524,171438.30527777778,272701.10866985586
EXPOSED_EVALUATION,MOE_CURRENT_TEMPORAL_GPU_COHORT,RUNNING,2767,0,0.7542464763281532,0.7396810506566605,15603.624449783616,38208.21191693007,0.2738622633910592,52819.0,42893.57462504069,60355.12666666666,198980.84184824626
EXPOSED_EVALUATION,MOE_POOLED,ALL,9219,0,0.8797049571537043,0.8293614004471833,11277.556487378175,37861.091070219445,0.18094305759503998,68235.0,144959.46591198497,231793.43194444446,463766.01890667755
EXPOSED_EVALUATION,MOE_POOLED,PENDING,6452,0,0.9370737755734656,0.8906289255506239,8714.182415984065,37122.706527738046,0.1113549094898519,11230.0,102671.75173212793,171438.30527777778,271295.2815024519
EXPOSED_EVALUATION,MOE_POOLED,RUNNING,2767,0,0.7459342247921937,0.7149781113195748,17254.7482143875,39582.831969420746,0.28312525171163916,57005.0,42287.714179857045,60355.12666666666,192470.73740422566
EXPOSED_EVALUATION,MULTI_QUANTILE,ALL,9219,0,0.8717865278229743,0.866390358291978,6320.714472134265,39832.751249119945,0.17800620003263176,19728.0,251443.91157049814,231793.43194444446,631408.6357913159
EXPOSED_EVALUATION,MULTI_QUANTILE,PENDING,6452,0,0.8860818350898946,0.8559584624403316,5344.083450990007,29142.24450139564,0.19144267690619857,11131.0,81702.48752382105,171438.30527777778,278501.38930905005
EXPOSED_EVALUATION,MULTI_QUANTILE,RUNNING,2767,0,0.8384531984098301,0.8858661663539712,8597.99070936692,64760.52484374127,0.15827627869512687,8597.0,169741.42404667707,60355.12666666666,352907.24648226576
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,ALL,9219,0,0.9031348302418918,0.8586464525276762,9145.057455402395,55320.28020100188,0.1457007668461413,21356.0,286092.45090447995,231793.43194444446,647307.4574374266
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,PENDING,6452,0,0.9367637941723497,0.8906289255506239,7068.98924379584,52571.05548446374,0.11190345584201865,4396.0,155868.13084485158,171438.30527777778,355730.3321271571
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,RUNNING,2767,0,0.8247199132634623,0.7989368355222014,13985.965334435827,61730.832377042396,0.19532823197744664,16960.0,130224.32005962836,60355.12666666666,291577.1253102693
EXPOSED_EVALUATION,PR31_FROZEN_MOE,ALL,2713,0,0.34316255068190193,0.38651846539978485,5720.889985767327,8360.124823765345,0.9894222945484134,36220.0,3410.337386142413,52182.56805555556,16100.89432044824
EXPOSED_EVALUATION,PR31_FROZEN_MOE,PENDING,2713,0,0.34316255068190193,0.38651846539978485,5720.889985767327,8360.124823765345,0.9894222945484134,36220.0,3410.337386142413,52182.56805555556,16100.89432044824
MAY_HISTORICAL,MOE_CURRENT_TEMPORAL_GPU_COHORT,ALL,47492,0,0.9106375810662849,0.9152846333840031,10998.099417735491,38723.76906375231,0.2147664591872881,345710.0,1256182.8495095868,2474000.1425,1856503.544921218
MAY_HISTORICAL,MOE_CURRENT_TEMPORAL_GPU_COHORT,PENDING,40419,0,0.9584353892971127,0.9551178559896675,5576.601902940293,34579.38554847744,0.12698412698412698,157079.0,1167252.9874481668,2273332.5769444443,1588003.7417956162
MAY_HISTORICAL,MOE_CURRENT_TEMPORAL_GPU_COHORT,RUNNING,7073,0,0.6374946981478863,0.6420084580788078,41979.50872785951,62407.04876174398,0.3925891900168427,188631.0,88929.86206142002,200667.56555555554,268499.8031256019
MAY_HISTORICAL,MOE_POOLED,ALL,47492,0,0.9099216710182768,0.9140292746246733,10986.745928062663,38412.04376948369,0.2164870198876575,344032.0,1185972.0187412787,2474000.1425,1784147.6355713797
MAY_HISTORICAL,MOE_POOLED,PENDING,40419,0,0.9581632400603677,0.9541002534221779,5562.006446016949,34240.96684581159,0.12781557067271354,155092.0,1099204.3478477749,2273332.5769444443,1516945.898737392
MAY_HISTORICAL,MOE_POOLED,RUNNING,7073,0,0.6342428955181677,0.6391219708666175,41986.681616569054,62247.86423857776,0.3961108559179299,188940.0,86767.67089350382,200667.56555555554,267201.73683398776
MAY_HISTORICAL,MULTI_QUANTILE,ALL,47492,0,0.8557862376821359,0.8780764829459086,5295.267843755854,26288.71011408448,0.2739233844441071,210805.0,1194291.5957674051,2474000.1425,1893589.1645927154
MAY_HISTORICAL,MULTI_QUANTILE,PENDING,40419,0,0.8621440411687573,0.8872222385299556,3576.948853839604,18839.50087354675,0.31398337112622826,168563.0,913441.1510067638,2273332.5769444443,1338883.0430929367
MAY_HISTORICAL,MULTI_QUANTILE,RUNNING,7073,0,0.8194542626890994,0.8153319460294018,15114.684675853257,68857.57598334705,0.19277292910733426,42242.0,280850.4447606413,200667.56555555554,554706.1214997787
MAY_HISTORICAL,MULTI_QUANTILE_HIERARCHICAL,ALL,47492,0,0.9003832224374632,0.9098959845599413,5869.494344654481,29132.711354923704,0.19300642680026314,198613.0,1288465.9526990035,2474000.1425,1980771.4405305465
MAY_HISTORICAL,MULTI_QUANTILE_HIERARCHICAL,PENDING,40419,0,0.9142235087458869,0.9268206769014001,3779.462844338306,22426.881703873045,0.19433106575963718,141971.0,1050071.7008032992,2273332.5769444443,1483656.7889453957
MAY_HISTORICAL,MULTI_QUANTILE_HIERARCHICAL,RUNNING,7073,0,0.8212922380885056,0.7937839833523528,17813.08026453,67453.49866806049,0.19032307456744757,56642.0,238394.25189570425,200667.56555555554,497114.65158515057
MAY_HISTORICAL,PR42_FROZEN_LGBM_NAIVE_REMAINING,ALL,47492,0,0.8568811589320307,0.88948572990145,7201.805580505122,28242.90087765803,0.31248418602297456,154275.0,1857847.676991314,2474000.1425,2548427.0166483973
MAY_HISTORICAL,PR42_FROZEN_LGBM_NAIVE_REMAINING,PENDING,40419,0,0.9122195007298548,0.9369967025762957,2827.757643463754,23996.644503359348,0.22600151171579744,17373.0,1720482.8263951635,2273332.5769444443,2198873.9284868934
MAY_HISTORICAL,PR42_FROZEN_LGBM_NAIVE_REMAINING,RUNNING,7073,0,0.5406475328714831,0.5635362824729812,32197.51370538495,52508.33794718702,0.48767416934619506,136902.0,137364.85059615085,200667.56555555554,349553.08816150425
