model,role,issue_time,N,unresolved_N,Q90_coverage,GPU_coverage,pinball,MAE_seconds,long_under,missed_GPU_slots,overreserved_GPUh,requested_overreserved_GPUh,Q90_sum_GPUh
MOE_POOLED,DEVELOPMENT,2025-03-22 08:00:00+00:00,1202,0,0.8777038269550749,0.899753086419753,8514.882402823094,44979.43557409201,0.24623115577889448,5323.0,23432.641256781684,70137.45888888888,35646.353127441405
MOE_POOLED,DEVELOPMENT,2025-03-23 08:00:00+00:00,590,0,0.9186440677966101,0.9230769230769231,8396.70250090389,41741.339323127875,0.16326530612244897,4441.0,16767.289337902068,31070.41888888889,27158.54905632655
MOE_POOLED,DEVELOPMENT,2025-03-24 08:00:00+00:00,1129,0,0.9805137289636847,0.9666666666666667,6056.629973570534,48465.956400895775,0.05314009661835749,1852.0,27232.689134114582,76825.83944444444,34747.56400499132
MOE_POOLED,DEVELOPMENT,2025-03-25 08:00:00+00:00,604,0,0.7483443708609272,0.7416563658838071,16355.135231816374,35892.767682208134,0.3318777292576419,7571.0,4683.059400499132,21533.57,13558.732308247883
MOE_POOLED,DEVELOPMENT,2025-03-26 08:00:00+00:00,840,0,0.9047619047619048,0.8324175824175825,7963.033063536144,40006.064712742394,0.1095890410958904,4097.0,9734.018118896485,14408.444444444445,23707.987752143013
MOE_POOLED,DEVELOPMENT,2025-03-27 08:00:00+00:00,607,1,0.9686985172981878,0.9141835518474374,7125.21048534054,43076.947097536366,0.039832285115303984,837.0,9204.31945028464,16567.569722222222,21999.05359199471
MOE_POOLED,DEVELOPMENT,2025-03-28 08:00:00+00:00,577,1,0.9792027729636048,0.9339378238341969,6269.067415633441,43850.04715920486,0.027586206896551724,344.0,8838.674586115943,16341.030555555555,21731.646782567765
MOE_POOLED,DEVELOPMENT,2025-03-29 08:00:00+00:00,1050,0,0.9666666666666667,0.9239373601789709,6644.559891186351,49066.97099519684,0.06796116504854369,2280.0,16361.19863065203,36349.87666666666,28005.25720595585
MOE_POOLED,DEVELOPMENT,2025-03-30 08:00:00+00:00,285,0,0.9368421052631579,0.9026798307475318,6836.927389861325,31940.27450168342,0.08071748878923767,2787.0,5696.367767217689,17849.686388888887,12523.343499639564
MOE_POOLED,CALIBRATION,2025-04-02 08:00:00+00:00,423,0,0.8676122931442081,0.8311345646437994,13602.531360519803,38232.10854092501,0.21132075471698114,2762.0,7833.0976455010305,32261.455,18387.345675557455
