role,model,reference,effect,state,metric,delta,CI95_low,CI95_high,block_days,draws,N_days,N_pairs,candidate_unmatched,reference_unmatched
EXPOSED_EVALUATION,MOE_POOLED,PR31_FROZEN_MOE,vs_frozen_production,ALL,Q90_pinball,-1902.3336975603845,-4304.189736415733,-806.2061484721582,1,2000,13,2713,6506,0
EXPOSED_EVALUATION,MOE_POOLED,PR31_FROZEN_MOE,vs_frozen_production,ALL,coverage,0.6483597493549577,0.44331137114410396,0.8428988868936726,1,2000,13,2713,6506,0
EXPOSED_EVALUATION,MOE_POOLED,PR31_FROZEN_MOE,vs_frozen_production,ALL,GPU_coverage,0.5977052707063464,0.375364471816043,0.8040937127653833,1,2000,13,2713,6506,0
EXPOSED_EVALUATION,MOE_POOLED,PR31_FROZEN_MOE,vs_frozen_production,ALL,missed_GPU_slots,-34830.0,-55344.5,-16170.500000000007,1,2000,13,2713,6506,0
EXPOSED_EVALUATION,MOE_POOLED,PR31_FROZEN_MOE,vs_frozen_production,ALL,overreserved_GPUh,53164.42167008187,25491.870700225565,87489.14345416948,1,2000,13,2713,6506,0
EXPOSED_EVALUATION,MOE_POOLED,PR31_FROZEN_MOE,vs_frozen_production,ALL,Q90_pinball,-1902.3336975603845,-4270.928421285328,-838.0943438160247,7,2000,13,2713,6506,0
EXPOSED_EVALUATION,MOE_POOLED,PR31_FROZEN_MOE,vs_frozen_production,ALL,coverage,0.6483597493549577,0.4175869120654397,0.862243058059863,7,2000,13,2713,6506,0
EXPOSED_EVALUATION,MOE_POOLED,PR31_FROZEN_MOE,vs_frozen_production,ALL,GPU_coverage,0.5977052707063464,0.3684105431309904,0.8057307622995135,7,2000,13,2713,6506,0
EXPOSED_EVALUATION,MOE_POOLED,PR31_FROZEN_MOE,vs_frozen_production,ALL,missed_GPU_slots,-34830.0,-41572.0,-28088.0,7,2000,13,2713,6506,0
EXPOSED_EVALUATION,MOE_POOLED,PR31_FROZEN_MOE,vs_frozen_production,ALL,overreserved_GPUh,53164.42167008187,27762.532439937593,78799.6800124804,7,2000,13,2713,6506,0
EXPOSED_EVALUATION,MOE_POOLED,PR31_FROZEN_MOE,vs_frozen_production,PENDING,Q90_pinball,-1902.3336975603845,-4304.189736415733,-806.2061484721582,1,2000,13,2713,3739,0
EXPOSED_EVALUATION,MOE_POOLED,PR31_FROZEN_MOE,vs_frozen_production,PENDING,coverage,0.6483597493549577,0.44331137114410396,0.8428988868936726,1,2000,13,2713,3739,0
EXPOSED_EVALUATION,MOE_POOLED,PR31_FROZEN_MOE,vs_frozen_production,PENDING,GPU_coverage,0.5977052707063464,0.375364471816043,0.8040937127653833,1,2000,13,2713,3739,0
EXPOSED_EVALUATION,MOE_POOLED,PR31_FROZEN_MOE,vs_frozen_production,PENDING,missed_GPU_slots,-34830.0,-55344.5,-16170.500000000007,1,2000,13,2713,3739,0
EXPOSED_EVALUATION,MOE_POOLED,PR31_FROZEN_MOE,vs_frozen_production,PENDING,overreserved_GPUh,53164.42167008187,25491.870700225565,87489.14345416948,1,2000,13,2713,3739,0
