day,issue_time,production_N,study_expanding_N,production_membership_hash,study_membership_hash,production_only_N,study_only_N,production_reconstruction_exact
2025-05-01,2025-04-30 08:00:00+00:00,667375,667375,b7d4d7c3a1bc975c20002e75c5303e24641813720143ea2c6a2f66f87492fa32,b7d4d7c3a1bc975c20002e75c5303e24641813720143ea2c6a2f66f87492fa32,0,0,True
2025-05-02,2025-05-01 08:00:00+00:00,668348,668348,e063d130544a8cde4bcf7a5c475c6cc40c83d871147345981ad604ca0bb577ce,e063d130544a8cde4bcf7a5c475c6cc40c83d871147345981ad604ca0bb577ce,0,0,True
2025-05-03,2025-05-02 08:00:00+00:00,669554,669554,cc581d024180f65f47af833fd87fae76b0e976c9aa4189edc32118fcf7620a46,cc581d024180f65f47af833fd87fae76b0e976c9aa4189edc32118fcf7620a46,0,0,True
2025-05-04,2025-05-03 08:00:00+00:00,671176,671176,a8d85156153613fe44c1724f7421082253e38459a81a8c2ca7d6bcaca9459751,a8d85156153613fe44c1724f7421082253e38459a81a8c2ca7d6bcaca9459751,0,0,True
2025-05-05,2025-05-04 08:00:00+00:00,672269,672269,a4787b578c7f859dcd7ee1125f61ceda3ca4b3746aaa6216267db8a5d84c25d4,a4787b578c7f859dcd7ee1125f61ceda3ca4b3746aaa6216267db8a5d84c25d4,0,0,True
2025-05-06,2025-05-05 08:00:00+00:00,673737,673737,3e79a58d60c067a0d43acca5832d95366e57061efec8e4315d5ced6aa1b9f2c5,3e79a58d60c067a0d43acca5832d95366e57061efec8e4315d5ced6aa1b9f2c5,0,0,True
2025-05-07,2025-05-06 08:00:00+00:00,676613,676613,f03cf5df6f9c00df756e8a266fc37fec035123e36d0ecc26229de854dfb1f37a,f03cf5df6f9c00df756e8a266fc37fec035123e36d0ecc26229de854dfb1f37a,0,0,True
2025-05-08,2025-05-07 08:00:00+00:00,680011,680011,3cd2cf1cf67cc22ac650797f066303f639a5e385f0c782e2c0f5cfd04e73c68e,3cd2cf1cf67cc22ac650797f066303f639a5e385f0c782e2c0f5cfd04e73c68e,0,0,True
2025-05-09,2025-05-08 08:00:00+00:00,685342,685342,e91cd0343799169b890edbc7746e56561fe57b80f90291748ff951b2b388407d,e91cd0343799169b890edbc7746e56561fe57b80f90291748ff951b2b388407d,0,0,True
2025-05-10,2025-05-09 08:00:00+00:00,685910,685910,832649cc5cd3911ce84a72fd5276288257623f26cb40fb979ea99078ac009bf4,832649cc5cd3911ce84a72fd5276288257623f26cb40fb979ea99078ac009bf4,0,0,True
