window,rate,decay,issue_time,N,MAE_seconds
120,0.05,current_decay,2025-03-22T08:00:00Z,720,9858.49744228787
120,0.05,current_decay,2025-03-26T08:00:00Z,501,3920.767812275839
120,0.05,current_decay,2025-03-30T08:00:00Z,62,8206.321447134018
120,0.049510512897138946,14,2025-03-22T08:00:00Z,720,9789.34606560601
120,0.049510512897138946,14,2025-03-26T08:00:00Z,501,3870.17518484759
120,0.049510512897138946,14,2025-03-30T08:00:00Z,62,8240.15998355035
120,0.023104906018664842,30,2025-03-22T08:00:00Z,720,9833.077809651693
120,0.023104906018664842,30,2025-03-26T08:00:00Z,501,5051.48270012709
120,0.023104906018664842,30,2025-03-30T08:00:00Z,62,6527.297159079582
120,0.011552453009332421,60,2025-03-22T08:00:00Z,720,9950.254127332899
120,0.011552453009332421,60,2025-03-26T08:00:00Z,501,5085.840748191118
120,0.011552453009332421,60,2025-03-30T08:00:00Z,62,10166.195712493312
120,0.0,none,2025-03-22T08:00:00Z,720,10186.453556315104
120,0.0,none,2025-03-26T08:00:00Z,501,5036.899248378243
120,0.0,none,2025-03-30T08:00:00Z,62,9324.531892068924
180,0.049510512897138946,14,2025-03-22T08:00:00Z,720,9978.155850558811
180,0.049510512897138946,14,2025-03-26T08:00:00Z,501,3986.6367835617825
180,0.049510512897138946,14,2025-03-30T08:00:00Z,62,7080.212780929381
180,0.023104906018664842,30,2025-03-22T08:00:00Z,720,9805.980550808377
180,0.023104906018664842,30,2025-03-26T08:00:00Z,501,5068.654341707211
180,0.023104906018664842,30,2025-03-30T08:00:00Z,62,6479.895146100752
180,0.011552453009332421,60,2025-03-22T08:00:00Z,720,10153.533846706814
180,0.011552453009332421,60,2025-03-26T08:00:00Z,501,5051.51232154831
180,0.011552453009332421,60,2025-03-30T08:00:00Z,62,9889.862361804131
180,0.0,none,2025-03-22T08:00:00Z,720,10880.812527126736
180,0.0,none,2025-03-26T08:00:00Z,501,5101.756571817303
180,0.0,none,2025-03-30T08:00:00Z,62,9190.891534889897
expanding,0.049510512897138946,14,2025-03-22T08:00:00Z,720,9845.809247843425
expanding,0.049510512897138946,14,2025-03-26T08:00:00Z,501,3894.3169135362086
expanding,0.049510512897138946,14,2025-03-30T08:00:00Z,62,9058.644689321518
expanding,0.023104906018664842,30,2025-03-22T08:00:00Z,720,9891.524068196615
expanding,0.023104906018664842,30,2025-03-26T08:00:00Z,501,5241.898761071607
expanding,0.023104906018664842,30,2025-03-30T08:00:00Z,62,7215.201487456598
expanding,0.011552453009332421,60,2025-03-22T08:00:00Z,720,10203.019261338975
expanding,0.011552453009332421,60,2025-03-26T08:00:00Z,501,5292.6513574413675
expanding,0.011552453009332421,60,2025-03-30T08:00:00Z,62,7838.074255908689
expanding,0.0,none,2025-03-22T08:00:00Z,720,10527.371118164063
expanding,0.0,none,2025-03-26T08:00:00Z,501,5108.3455674101015
expanding,0.0,none,2025-03-30T08:00:00Z,62,8224.694201600167
