day,policy,cc4_miss_windows,cc4_mean_positive_part_GPUh,cc4_max_miss_GPUh,planned_xi_positive_windows,mean_planned_xi_GPUh,max_planned_xi_GPUh,realized_H_exceeds_A_windows,incoming_jobs,incoming_replay_ID_overlap,jobs,delayed_jobs,delayed_fraction,total_delay_seconds,mean_delay_seconds,P95_delay_seconds,max_delay_seconds,GPU_weighted_delay_GPU_seconds,GPU_weighted_mean_delay_seconds,remaining_GPUh,unfinished_selected_jobs,delayed_jobs_waiting_during_any_miss_window,contention_added_completion_lateness_seconds,planned_migration_extra_postH_GPUh,planned_migration_extra_postH_jobs,unselected_jobs,unselected_backlog_GPUh,score_headroom_max_difference_from_final_DA,joint_source,replay_source,h4_score_source,planning_source,contributors_source
2025-05-01,B0,21,482.6063916138941,2751.724213462965,81,1976.531760680771,3120.0,81,764.0,0.0,1605,59,0.0367601246105919,262234.0,163.38566978193145,0.0,7225.0,262234.0,145.36252771618626,8463.198055555556,530,20,0.0,0.0,0,44,65.8675,0.0,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-01/B0/dayahead/FROZEN_JOINT_DECISION.json,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-01/B0/ACTUAL_JOB_REPLAY.json,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-01/B0/H4_SCORE.json,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-01/B0/dayahead/PLANNING_RESULT.json,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-01/B0/actual/authority/ACTUAL_WORKLOAD_CONTRIBUTORS.parquet
2025-05-01,B1,21,482.6063916138941,2751.724213462965,81,1888.741637223981,3026.0,67,764.0,0.0,1605,55,0.03426791277258567,241241.0,150.30591900311526,0.0,7201.0,241241.0,133.72560975609755,8860.407500000001,532,20,0.0,487.0,10,44,65.8675,0.0,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-01/B1/dayahead/FROZEN_JOINT_DECISION.json,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-01/B1/ACTUAL_JOB_REPLAY.json,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-01/B1/H4_SCORE.json,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-01/B1/dayahead/PLANNING_RESULT.json,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-01/B0/actual/authority/ACTUAL_WORKLOAD_CONTRIBUTORS.parquet
2025-05-01,B2,21,482.6063916138941,2751.724213462965,81,1976.531760680771,3120.0,81,764.0,0.0,1605,59,0.0367601246105919,262234.0,163.38566978193145,0.0,7225.0,262234.0,145.36252771618626,8463.198055555556,530,20,0.0,0.0,0,44,65.8675,0.0,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-01/B2/dayahead/FROZEN_JOINT_DECISION.json,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-01/B2/ACTUAL_JOB_REPLAY.json,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-01/B2/H4_SCORE.json,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-01/B2/dayahead/PLANNING_RESULT.json,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-01/B0/actual/authority/ACTUAL_WORKLOAD_CONTRIBUTORS.parquet
2025-05-01,B3,21,482.6063916138941,2751.724213462965,81,1888.741637223981,3026.0,67,764.0,0.0,1605,55,0.03426791277258567,241241.0,150.30591900311526,0.0,7201.0,241241.0,133.72560975609755,8860.407500000001,532,20,0.0,487.0,10,44,65.8675,0.0,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-01/B3/dayahead/FROZEN_JOINT_DECISION.json,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-01/B3/ACTUAL_JOB_REPLAY.json,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-01/B3/H4_SCORE.json,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-01/B3/dayahead/PLANNING_RESULT.json,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-01/B0/actual/authority/ACTUAL_WORKLOAD_CONTRIBUTORS.parquet
2025-05-02,B0,36,737.4989694917971,2352.4286886603177,81,1370.637578365752,2396.040742013009,81,1312.0,0.0,1531,23,0.015022860875244938,49160.0,32.1097322011757,0.0,7225.0,49160.0,27.05558613098514,8948.248333333331,512,16,0.0,0.0,0,1,2.7694444444444444,0.0,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-02/B0/dayahead/FROZEN_JOINT_DECISION.json,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-02/B0/ACTUAL_JOB_REPLAY.json,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-02/B0/H4_SCORE.json,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-02/B0/dayahead/PLANNING_RESULT.json,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-02/B0/actual/authority/ACTUAL_WORKLOAD_CONTRIBUTORS.parquet
2025-05-02,B1,36,737.4989694917971,2352.4286886603177,81,1354.600541328715,2380.040742013009,76,1312.0,0.0,1531,24,0.015676028739386023,56375.0,36.82233834095363,0.0,7225.0,56375.0,31.026417171161256,8953.756388888887,513,16,0.0,90.0,9,1,2.7694444444444444,0.0,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-02/B1/dayahead/FROZEN_JOINT_DECISION.json,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-02/B1/ACTUAL_JOB_REPLAY.json,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-02/B1/H4_SCORE.json,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-02/B1/dayahead/PLANNING_RESULT.json,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-02/B0/actual/authority/ACTUAL_WORKLOAD_CONTRIBUTORS.parquet
2025-05-02,B2,36,737.4989694917971,2352.4286886603177,81,1370.637578365752,2396.040742013009,81,1312.0,0.0,1531,23,0.015022860875244938,49160.0,32.1097322011757,0.0,7225.0,49160.0,27.05558613098514,8948.248333333331,512,16,0.0,0.0,0,1,2.7694444444444444,0.0,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-02/B2/dayahead/FROZEN_JOINT_DECISION.json,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-02/B2/ACTUAL_JOB_REPLAY.json,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-02/B2/H4_SCORE.json,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-02/B2/dayahead/PLANNING_RESULT.json,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-02/B0/actual/authority/ACTUAL_WORKLOAD_CONTRIBUTORS.parquet
2025-05-02,B3,36,737.4989694917971,2352.4286886603177,81,1354.600541328715,2380.040742013009,76,1312.0,0.0,1531,24,0.015676028739386023,56375.0,36.82233834095363,0.0,7225.0,56375.0,31.026417171161256,8953.756388888887,513,16,0.0,90.0,9,1,2.7694444444444444,0.0,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-02/B3/dayahead/FROZEN_JOINT_DECISION.json,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-02/B3/ACTUAL_JOB_REPLAY.json,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-02/B3/H4_SCORE.json,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-02/B3/dayahead/PLANNING_RESULT.json,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-02/B0/actual/authority/ACTUAL_WORKLOAD_CONTRIBUTORS.parquet
2025-05-03,B0,30,542.1596001939536,3024.4487893622145,80,1528.0409258166035,2558.422516241837,67,992.0,0.0,1496,16,0.0106951871657754,32392.0,21.6524064171123,0.0,4501.0,32392.0,17.700546448087433,6722.988333333334,368,16,0.0,0.0,0,116,205.13000000000002,0.0,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-03/B0/dayahead/FROZEN_JOINT_DECISION.json,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-03/B0/ACTUAL_JOB_REPLAY.json,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-03/B0/H4_SCORE.json,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-03/B0/dayahead/PLANNING_RESULT.json,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-03/B0/actual/authority/ACTUAL_WORKLOAD_CONTRIBUTORS.parquet
2025-05-03,B1,30,542.1596001939536,3024.4487893622145,81,1482.9224292804847,2503.922516241837,67,992.0,0.0,1496,14,0.009358288770053475,28785.0,19.24131016042781,0.0,4501.0,28785.0,15.729508196721312,6955.9863888888885,368,14,0.0,243.5,7,116,205.13000000000002,0.0,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-03/B1/dayahead/FROZEN_JOINT_DECISION.json,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-03/B1/ACTUAL_JOB_REPLAY.json,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-03/B1/H4_SCORE.json,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-03/B1/dayahead/PLANNING_RESULT.json,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-03/B0/actual/authority/ACTUAL_WORKLOAD_CONTRIBUTORS.parquet
