day,window_index,window_start,window_end,R_k_GPUh,H_actual_GPUh,forecast_miss_GPUh,positive_miss_GPUh,miss_flag,physical_cap_bound,historical_cap_bound,raw_forecast_GPUh,physical_cap_GPUh,historical_cap_GPUh,incoming_jobs,H_source,R_source,contributors_source,A_k_B1_GPUh,xi_k_B1_GPUh,B1_planning_source,B1_replayed_incoming_jobs,A_k_B3_GPUh,xi_k_B3_GPUh,B3_planning_source,B3_replayed_incoming_jobs
2025-05-20,37,2025-05-19T23:15:00+00:00,2025-05-20T03:15:00+00:00,2939.3874578140785,58486.00722222222,55546.61976440814,55546.61976440814,True,False,False,2939.3874578140785,3120.0,11494.32277777777,330.0,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-20/B0/H4_SCORE.json,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-20/B0/dayahead/ml/H4_WINDOW_PREDICTIONS.parquet,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-20/B0/actual/authority/ACTUAL_WORKLOAD_CONTRIBUTORS.parquet,32.0,2907.3874578140785,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-20/B1/dayahead/PLANNING_RESULT.json,0,32.0,2907.3874578140785,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-20/B3/dayahead/PLANNING_RESULT.json,0
2025-05-20,36,2025-05-19T23:00:00+00:00,2025-05-20T03:00:00+00:00,2987.7496473044407,58485.72777777778,55497.97813047334,55497.97813047334,True,False,False,2987.7496473044407,3120.0,11494.32277777777,328.0,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-20/B0/H4_SCORE.json,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-20/B0/dayahead/ml/H4_WINDOW_PREDICTIONS.parquet,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-20/B0/actual/authority/ACTUAL_WORKLOAD_CONTRIBUTORS.parquet,32.0,2955.7496473044407,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-20/B1/dayahead/PLANNING_RESULT.json,0,32.0,2955.7496473044407,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-20/B3/dayahead/PLANNING_RESULT.json,0
2025-05-20,22,2025-05-19T19:30:00+00:00,2025-05-19T23:30:00+00:00,3120.0,58441.310000000005,55321.310000000005,55321.310000000005,True,True,False,4589.0585623483885,3120.0,11494.32277777777,386.0,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-20/B0/H4_SCORE.json,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-20/B0/dayahead/ml/H4_WINDOW_PREDICTIONS.parquet,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-20/B0/actual/authority/ACTUAL_WORKLOAD_CONTRIBUTORS.parquet,32.0,3088.0,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-20/B1/dayahead/PLANNING_RESULT.json,0,32.0,3088.0,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-20/B3/dayahead/PLANNING_RESULT.json,0
2025-05-20,23,2025-05-19T19:45:00+00:00,2025-05-19T23:45:00+00:00,3120.0,58402.90222222222,55282.90222222222,55282.90222222222,True,True,False,4530.420115081448,3120.0,11494.32277777777,383.0,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-20/B0/H4_SCORE.json,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-20/B0/dayahead/ml/H4_WINDOW_PREDICTIONS.parquet,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-20/B0/actual/authority/ACTUAL_WORKLOAD_CONTRIBUTORS.parquet,32.0,3088.0,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-20/B1/dayahead/PLANNING_RESULT.json,0,32.0,3088.0,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-20/B3/dayahead/PLANNING_RESULT.json,0
2025-05-20,35,2025-05-19T22:45:00+00:00,2025-05-20T02:45:00+00:00,3016.8655530406736,58291.70972222222,55274.844169181546,55274.844169181546,True,False,False,3016.8655530406736,3120.0,11494.32277777777,325.0,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-20/B0/H4_SCORE.json,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-20/B0/dayahead/ml/H4_WINDOW_PREDICTIONS.parquet,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-20/B0/actual/authority/ACTUAL_WORKLOAD_CONTRIBUTORS.parquet,32.0,2984.8655530406736,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-20/B1/dayahead/PLANNING_RESULT.json,0,32.0,2984.8655530406736,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-20/B3/dayahead/PLANNING_RESULT.json,0
2025-05-20,24,2025-05-19T20:00:00+00:00,2025-05-20T00:00:00+00:00,3120.0,58378.73666666667,55258.73666666667,55258.73666666667,True,True,False,4367.956672729906,3120.0,11494.32277777777,381.0,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-20/B0/H4_SCORE.json,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-20/B0/dayahead/ml/H4_WINDOW_PREDICTIONS.parquet,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-20/B0/actual/authority/ACTUAL_WORKLOAD_CONTRIBUTORS.parquet,32.0,3088.0,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-20/B1/dayahead/PLANNING_RESULT.json,0,32.0,3088.0,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-20/B3/dayahead/PLANNING_RESULT.json,0
2025-05-20,25,2025-05-19T20:15:00+00:00,2025-05-20T00:15:00+00:00,3120.0,58377.753333333334,55257.753333333334,55257.753333333334,True,True,False,4176.617662992879,3120.0,11494.32277777777,380.0,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-20/B0/H4_SCORE.json,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-20/B0/dayahead/ml/H4_WINDOW_PREDICTIONS.parquet,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-20/B0/actual/authority/ACTUAL_WORKLOAD_CONTRIBUTORS.parquet,32.0,3088.0,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-20/B1/dayahead/PLANNING_RESULT.json,0,32.0,3088.0,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-20/B3/dayahead/PLANNING_RESULT.json,0
2025-05-20,26,2025-05-19T20:30:00+00:00,2025-05-20T00:30:00+00:00,3120.0,58351.00555555556,55231.00555555556,55231.00555555556,True,True,False,4323.420498316878,3120.0,11494.32277777777,379.0,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-20/B0/H4_SCORE.json,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-20/B0/dayahead/ml/H4_WINDOW_PREDICTIONS.parquet,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-20/B0/actual/authority/ACTUAL_WORKLOAD_CONTRIBUTORS.parquet,32.0,3088.0,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-20/B1/dayahead/PLANNING_RESULT.json,0,32.0,3088.0,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-20/B3/dayahead/PLANNING_RESULT.json,0
2025-05-20,34,2025-05-19T22:30:00+00:00,2025-05-20T02:30:00+00:00,3076.248259787072,58199.704722222225,55123.456462435155,55123.456462435155,True,False,False,3076.248259787072,3120.0,11494.32277777777,325.0,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-20/B0/H4_SCORE.json,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-20/B0/dayahead/ml/H4_WINDOW_PREDICTIONS.parquet,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-20/B0/actual/authority/ACTUAL_WORKLOAD_CONTRIBUTORS.parquet,32.0,3044.248259787072,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-20/B1/dayahead/PLANNING_RESULT.json,0,32.0,3044.248259787072,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-20/B3/dayahead/PLANNING_RESULT.json,0
2025-05-20,27,2025-05-19T20:45:00+00:00,2025-05-20T00:45:00+00:00,3120.0,58240.95,55120.95,55120.95,True,True,False,4304.311839253747,3120.0,11494.32277777777,364.0,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-20/B0/H4_SCORE.json,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-20/B0/dayahead/ml/H4_WINDOW_PREDICTIONS.parquet,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-20/B0/actual/authority/ACTUAL_WORKLOAD_CONTRIBUTORS.parquet,32.0,3088.0,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-20/B1/dayahead/PLANNING_RESULT.json,0,32.0,3088.0,frozen_artifacts/v41r4_may/loop_wall_v4/2025-05-20/B3/dayahead/PLANNING_RESULT.json,0
