day,policy,forecast_artifact,forecast_SHA,forecast_canonical_SHA,route_cache_SHA,route_canonical_SHA,checkpoint_SHA,model_SHA,data_SHA,graph_SHA,normalization_SHA,safe_eta_calibration_SHA,identity_status,M1_identity_SHA,M1_receipt_SHA,final_decision_SHA,departures_matched
2025-05-01,B2,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\cache\v37_may_locked_final\traffic\shared\traffic\2025-05-01\TRAFFIC_FORECAST.npz,72f71b609de1301b4911cfabe3a7d02e5567e8c3889c50ac4892bab967246e8c,f4386303c6ece2455d663b5996e900edd4062358f58dcd2a4234273a45f8aaa2,3a08a7485ccfa153a3cd944132a251e8360002ce479546e943d91a4de2f3fca9,698e82daa4a120cf996c14fcd8e2105b0583cc2c4511dfaef519e81b3c92f5e7,3da2ced5322dd2bf6d02a665043ce182db60cc82b671d9ac92d7eebd3963520b,93a30f54be207f6579a51af32ab6f84fbbb2608ffead3da6332886847a6163e6,c2e532212eba796b652bdd283a8127c2343b9305146d387975f4c69c2a848183,658fb2e56867a50597e9a21899748d8171439deda852e7db4f3339a99f71dd3d,1572bb955df254e71ef0dc81b2264885f676f9cfad854f497155c795c2d417c2,353f124bdda33b1fd408f4f810b762f433bbe25d8c5c13b191fe1b0d6e36ff99,PASS,385492820f61df00646ea097d5876973d701872c5ee3e392d835d4bfea4008f4,41adaaa3a79a23077a4ad4bbf33bf01d8dede3bb077622365ac65d54c02301f0,15f4cbc868630029ba1d2da8365f3c9587a7e9d49d138ab1d37106ae85400ff3,2
2025-05-01,B3,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\cache\v37_may_locked_final\traffic\shared\traffic\2025-05-01\TRAFFIC_FORECAST.npz,72f71b609de1301b4911cfabe3a7d02e5567e8c3889c50ac4892bab967246e8c,f4386303c6ece2455d663b5996e900edd4062358f58dcd2a4234273a45f8aaa2,3a08a7485ccfa153a3cd944132a251e8360002ce479546e943d91a4de2f3fca9,698e82daa4a120cf996c14fcd8e2105b0583cc2c4511dfaef519e81b3c92f5e7,3da2ced5322dd2bf6d02a665043ce182db60cc82b671d9ac92d7eebd3963520b,93a30f54be207f6579a51af32ab6f84fbbb2608ffead3da6332886847a6163e6,c2e532212eba796b652bdd283a8127c2343b9305146d387975f4c69c2a848183,658fb2e56867a50597e9a21899748d8171439deda852e7db4f3339a99f71dd3d,1572bb955df254e71ef0dc81b2264885f676f9cfad854f497155c795c2d417c2,353f124bdda33b1fd408f4f810b762f433bbe25d8c5c13b191fe1b0d6e36ff99,PASS,2e7ca7070929c102d285b77b26734c38074ea01974dc4e7ef2b3bd6183bff8dc,4a417f5c712cfc5f789f338614808d6996c2d948aca2a752f3c303d24197fda7,acd77cc6b625bfc0f5382627e4995e8e227e22e0465d17b2e1fef3235d6a30a6,1
2025-05-02,B2,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\cache\v37_may_locked_final\traffic\shared\traffic\2025-05-02\TRAFFIC_FORECAST.npz,e8cf514670fe098a8261350a5ce67f96070eda7eb4046971cc3c9d9c94d0fc97,ea9653c8a13644ee4bc4be5a33b44a6fdde09de24e400f559f832cd88fa3f484,7d4c651346a4471c17a5fa1d64adeb2d052cafaecb53c2794e422c3e3a16ed3f,20647507fadd68dc5c742bc27955c7fc06da7ebf611a2ed71a43813b461d87eb,3da2ced5322dd2bf6d02a665043ce182db60cc82b671d9ac92d7eebd3963520b,93a30f54be207f6579a51af32ab6f84fbbb2608ffead3da6332886847a6163e6,c2e532212eba796b652bdd283a8127c2343b9305146d387975f4c69c2a848183,658fb2e56867a50597e9a21899748d8171439deda852e7db4f3339a99f71dd3d,1572bb955df254e71ef0dc81b2264885f676f9cfad854f497155c795c2d417c2,353f124bdda33b1fd408f4f810b762f433bbe25d8c5c13b191fe1b0d6e36ff99,PASS,54dc5ee80b7c7fc521c8d7eb5045d532edae4d1ef975d52108ebe323a92a9ff3,7c8f9614a249d7366b5def41a7566eabef2b514ad67a4b7c7aaee631a3119aed,2011dc188b1e458f5220311a0c1e5eaa3cb21349b89be2ef6655fad89db3391b,1
2025-05-02,B3,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\cache\v37_may_locked_final\traffic\shared\traffic\2025-05-02\TRAFFIC_FORECAST.npz,e8cf514670fe098a8261350a5ce67f96070eda7eb4046971cc3c9d9c94d0fc97,ea9653c8a13644ee4bc4be5a33b44a6fdde09de24e400f559f832cd88fa3f484,7d4c651346a4471c17a5fa1d64adeb2d052cafaecb53c2794e422c3e3a16ed3f,20647507fadd68dc5c742bc27955c7fc06da7ebf611a2ed71a43813b461d87eb,3da2ced5322dd2bf6d02a665043ce182db60cc82b671d9ac92d7eebd3963520b,93a30f54be207f6579a51af32ab6f84fbbb2608ffead3da6332886847a6163e6,c2e532212eba796b652bdd283a8127c2343b9305146d387975f4c69c2a848183,658fb2e56867a50597e9a21899748d8171439deda852e7db4f3339a99f71dd3d,1572bb955df254e71ef0dc81b2264885f676f9cfad854f497155c795c2d417c2,353f124bdda33b1fd408f4f810b762f433bbe25d8c5c13b191fe1b0d6e36ff99,PASS,05297fe5d5ca3b94428a279232fd81a14b781c08c5c41657c2ccf3ed621413f1,fc009af9d20c41d897adc4de93934f91c74d66820f85e9881b37740ecd4508eb,b319ef5793ad13ca12186489d3197937cc23050bdae561976a3f2e8208bf8bba,1
2025-05-03,B2,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\cache\v37_may_locked_final\traffic\shared\traffic\2025-05-03\TRAFFIC_FORECAST.npz,0040ddb1b49e8c8e7e7b05943a389545fff62fbd382c0e90b7d831f4f37fd08c,4d9bd0e904722e4ff46138aef1683afb84e91a613ec3ecb53134092fbd45e442,6786ceda44fefd637ad9879f311db21df8af70dbc185fdb998d3ede62382a9e3,a79562a3e186b05afd079b63c042fefeb71f3861a6f361f397e2a03a37df15bf,3da2ced5322dd2bf6d02a665043ce182db60cc82b671d9ac92d7eebd3963520b,93a30f54be207f6579a51af32ab6f84fbbb2608ffead3da6332886847a6163e6,c2e532212eba796b652bdd283a8127c2343b9305146d387975f4c69c2a848183,658fb2e56867a50597e9a21899748d8171439deda852e7db4f3339a99f71dd3d,1572bb955df254e71ef0dc81b2264885f676f9cfad854f497155c795c2d417c2,353f124bdda33b1fd408f4f810b762f433bbe25d8c5c13b191fe1b0d6e36ff99,PASS,31636fb373583a770f890e921e3eeced7b20d63def32869f90b1b4c7d60b22c1,10d64f4f2f5beb489de98080254f8afcd1677d5322323edac4d2bf4c916a7ce6,d495e154a6d072e1ec4d038ab9185574f1f505ff1cb0f6c901503228f7d2d765,2
2025-05-03,B3,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\cache\v37_may_locked_final\traffic\shared\traffic\2025-05-03\TRAFFIC_FORECAST.npz,0040ddb1b49e8c8e7e7b05943a389545fff62fbd382c0e90b7d831f4f37fd08c,4d9bd0e904722e4ff46138aef1683afb84e91a613ec3ecb53134092fbd45e442,6786ceda44fefd637ad9879f311db21df8af70dbc185fdb998d3ede62382a9e3,a79562a3e186b05afd079b63c042fefeb71f3861a6f361f397e2a03a37df15bf,3da2ced5322dd2bf6d02a665043ce182db60cc82b671d9ac92d7eebd3963520b,93a30f54be207f6579a51af32ab6f84fbbb2608ffead3da6332886847a6163e6,c2e532212eba796b652bdd283a8127c2343b9305146d387975f4c69c2a848183,658fb2e56867a50597e9a21899748d8171439deda852e7db4f3339a99f71dd3d,1572bb955df254e71ef0dc81b2264885f676f9cfad854f497155c795c2d417c2,353f124bdda33b1fd408f4f810b762f433bbe25d8c5c13b191fe1b0d6e36ff99,PASS,f51f29cbd405e5e67ec08049af830738e8ffe54a7176a29bc2998abead4e28ae,fba45caf750e71533c2027273e57c022cdf78cad1425973989884862af1f3dd3,c8194e49420585f42a25679e0a95dfa459a6d37e7d85f7ac778b60bb0538e84e,1
2025-05-04,B2,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\cache\v37_may_locked_final\traffic\shared\traffic\2025-05-04\TRAFFIC_FORECAST.npz,5d55247354dcf4a8c37e0810df804c6201c44ce55675f0eef46816879f34882f,f4c0829f61128d545712a846d1241ec1051f96b586bfc750eace42fef7464e3c,621ff43d4ceeea40164fae6eb0c5f47d18f09ed9f44f4fa511d849105d7af590,48c71ce095ec403095bb90cfa0b008a1dc193eb069ec0f8d6f2c6c17a4c042b7,3da2ced5322dd2bf6d02a665043ce182db60cc82b671d9ac92d7eebd3963520b,93a30f54be207f6579a51af32ab6f84fbbb2608ffead3da6332886847a6163e6,c2e532212eba796b652bdd283a8127c2343b9305146d387975f4c69c2a848183,658fb2e56867a50597e9a21899748d8171439deda852e7db4f3339a99f71dd3d,1572bb955df254e71ef0dc81b2264885f676f9cfad854f497155c795c2d417c2,353f124bdda33b1fd408f4f810b762f433bbe25d8c5c13b191fe1b0d6e36ff99,PASS,29e462dab0d568c306f1f008af0b88c463feae64c7443d844a60630f4b0c9a4d,42664a377ff5e8baee81ed87f54e40fc9a6e578c197cb547772908cd2aecdbdf,f88e5a20d19d2994e449a1a8cba896feae791c057badd1f8d418dfe3f31ea7c9,2
2025-05-04,B3,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\cache\v37_may_locked_final\traffic\shared\traffic\2025-05-04\TRAFFIC_FORECAST.npz,5d55247354dcf4a8c37e0810df804c6201c44ce55675f0eef46816879f34882f,f4c0829f61128d545712a846d1241ec1051f96b586bfc750eace42fef7464e3c,621ff43d4ceeea40164fae6eb0c5f47d18f09ed9f44f4fa511d849105d7af590,48c71ce095ec403095bb90cfa0b008a1dc193eb069ec0f8d6f2c6c17a4c042b7,3da2ced5322dd2bf6d02a665043ce182db60cc82b671d9ac92d7eebd3963520b,93a30f54be207f6579a51af32ab6f84fbbb2608ffead3da6332886847a6163e6,c2e532212eba796b652bdd283a8127c2343b9305146d387975f4c69c2a848183,658fb2e56867a50597e9a21899748d8171439deda852e7db4f3339a99f71dd3d,1572bb955df254e71ef0dc81b2264885f676f9cfad854f497155c795c2d417c2,353f124bdda33b1fd408f4f810b762f433bbe25d8c5c13b191fe1b0d6e36ff99,PASS,466b60b79a1fce2979f0ec38cba9cdeb68d38cad73606068ae29266140963516,955ebe3a596427a9b0c1e48dbf46e6ef04d7a5419cf5c5603e3074fbb9e6068d,ee1084bcc4fd2613a819d76edee150c3e76e4e0001362de2a8c9ece2f940ed10,1
2025-05-05,B2,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\cache\v37_may_locked_final\traffic\shared\traffic\2025-05-05\TRAFFIC_FORECAST.npz,12de84c023070c212e29f849682a5104079235d2e16e6c2f669e64ca7b2872da,446b27710bea3e55a37fb7f6db71f01848e11e1e00c93170d1f6825387e39242,3c556a50c2b4ff09cfa2a7ed0c1b574718e034751d743ca04ae3525e9796752f,dd73206c4a2286efed3a5ac2f3882bf2cd235174077742a891519a1f35c4b8ed,3da2ced5322dd2bf6d02a665043ce182db60cc82b671d9ac92d7eebd3963520b,93a30f54be207f6579a51af32ab6f84fbbb2608ffead3da6332886847a6163e6,c2e532212eba796b652bdd283a8127c2343b9305146d387975f4c69c2a848183,658fb2e56867a50597e9a21899748d8171439deda852e7db4f3339a99f71dd3d,1572bb955df254e71ef0dc81b2264885f676f9cfad854f497155c795c2d417c2,353f124bdda33b1fd408f4f810b762f433bbe25d8c5c13b191fe1b0d6e36ff99,PASS,a03e7121c6b0046886c366839c18bcf2caf2177f42e8b1558042b62c73bef8cc,6f7b244566661ae6551dc3396713cc081026be82db188af15225eb52a107ea08,e7b9ea8c1a5d8a1ddb00d4fc3a24ae496597c1a37b9a0d7778ba315e022e574c,1
2025-05-05,B3,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\cache\v37_may_locked_final\traffic\shared\traffic\2025-05-05\TRAFFIC_FORECAST.npz,12de84c023070c212e29f849682a5104079235d2e16e6c2f669e64ca7b2872da,446b27710bea3e55a37fb7f6db71f01848e11e1e00c93170d1f6825387e39242,3c556a50c2b4ff09cfa2a7ed0c1b574718e034751d743ca04ae3525e9796752f,dd73206c4a2286efed3a5ac2f3882bf2cd235174077742a891519a1f35c4b8ed,3da2ced5322dd2bf6d02a665043ce182db60cc82b671d9ac92d7eebd3963520b,93a30f54be207f6579a51af32ab6f84fbbb2608ffead3da6332886847a6163e6,c2e532212eba796b652bdd283a8127c2343b9305146d387975f4c69c2a848183,658fb2e56867a50597e9a21899748d8171439deda852e7db4f3339a99f71dd3d,1572bb955df254e71ef0dc81b2264885f676f9cfad854f497155c795c2d417c2,353f124bdda33b1fd408f4f810b762f433bbe25d8c5c13b191fe1b0d6e36ff99,PASS,2d92b1a40bf09fa2497c86b00d113039261c8ad709a09555e743a006e1fe53b6,9289665da1fb4ccb498a4eca6edafa0a5ba1c6388efb9c327df3e76a79ed401a,4625c0b6941e52d939391f1ccf7fbcd7a6d555eb846bd9b784e4823600a894d3,1
