element_id,element_type,from_bus,to_bus,from_nodes,to_nodes,from_x,from_y,to_x,to_y
line.l1,line,1,2,2,2,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l10,line,8,13,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l100,line,101,102,3,3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l101,line,101,105,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l102,line,102,103,3,3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l103,line,103,104,3,3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l104,line,105,106,2,2,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l105,line,105,108,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l106,line,106,107,2,2,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l107,line,108,109,1,1,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l108,line,108,300,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l109,line,109,110,1,1,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l11,line,9r,14,1,1,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l110,line,110,111,1,1,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l111,line,110,112,1,1,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l112,line,112,113,1,1,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l113,line,113,114,1,1,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l114,line,135,35,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l115,line,149,1,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l116,line,152,52,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l117,line,160r,67,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l118,line,197,101,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l12,line,13,34,3,3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l13,line,13,18,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l14,line,14,11,1,1,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l15,line,14,10,1,1,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l16,line,15,16,3,3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l17,line,15,17,3,3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l18,line,18,19,1,1,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l19,line,18,21,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l2,line,1,3,3,3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l20,line,19,20,1,1,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l21,line,21,22,2,2,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l22,line,21,23,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l23,line,23,24,3,3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
line.l24,line,23,25,1.2.3,1.2.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
