service_id,road_node_id,longitude,latitude,pcc_bus,host_bus
IDC01,TN_01,144.78462642147664,-37.788462094167855,mess_idc01_pcc,149
IDC02,TN_02,145.18728848862574,-37.8204560831662,mess_idc02_pcc,300_open
IDC03,TN_03,145.18287729272612,-37.947983375619245,mess_idc03_pcc,35
IDC04,TN_04,145.00815926861432,-37.82026609778379,mess_idc04_pcc,50
IDC05,TN_05,144.87602103748569,-37.70775877090675,mess_idc05_pcc,61s
IDC06,TN_06,144.86468829866715,-37.80329450389735,mess_idc06_pcc,48
IDC07,TN_07,145.12666628431595,-37.78834754845948,mess_idc07_pcc,250
IDC08,TN_08,144.915484430201,-37.821418434188814,mess_idc08_pcc,21
IDC09,TN_09,144.94401915816698,-37.80030759798957,mess_idc09_pcc,152
IDC10,TN_10,144.84259225406305,-37.81878783086414,mess_idc10_pcc,81
IDC11,TN_11,145.13313199964992,-37.917864539164654,mess_idc11_pcc,79
IDC12,TN_12,144.77435735698543,-37.801659386404644,mess_idc12_pcc,108
STA01,TN_43,144.78169675195724,-37.729899090303114,mess_sta01_pcc,28
STA02,TN_14,144.7729429238982,-37.782983507326946,mess_sta02_pcc,54
STA03,TN_35,144.80754302882627,-37.8152565910445,mess_sta03_pcc,95
STA04,TN_28,144.88065065380877,-37.73205600705867,mess_sta04_pcc,64
STA05,TN_37,144.91454567812795,-37.79432706487289,mess_sta05_pcc,62
STA06,TN_41,144.97814721547914,-37.742545585560784,mess_sta06_pcc,98
STA07,TN_32,145.17104102687438,-37.79017264690405,mess_sta07_pcc,100
STA08,TN_47,145.08134495411542,-37.81283465248121,mess_sta08_pcc,67
STA09,TN_42,145.10698535681004,-37.84981229195914,mess_sta09_pcc,80
STA10,TN_24,144.9970897892326,-37.88380593170461,mess_sta10_pcc,91
STA11,TN_44,145.06407270024346,-37.88470839307356,mess_sta11_pcc,87
STA12,TN_17,145.19252416984784,-37.93762055387884,mess_sta12_pcc,83
