k,medoid_rank,candidate_id,season,week_start_aest,week_end_exclusive_aest,burn_in_start_aest,burn_in_end_exclusive_aest,start_index,end_index_exclusive,burn_in_start_index,cluster_size_weeks,cluster_weight,cluster_member_ids_json,cluster_mean_distance,cluster_max_distance
12,1,W08_2024-02-26,summer,2024-02-26T00:00:00+10:00,2024-03-04T00:00:00+10:00,2024-02-24T00:00:00+10:00,2024-02-26T00:00:00+10:00,16128,18144,15552,6,0.11764705882352941,"[""W02_2024-01-15"",""W04_2024-01-29"",""W05_2024-02-05"",""W07_2024-02-19"",""W08_2024-02-26"",""W49_2024-12-09""]",0.4594606389183605,0.9921070757962487
12,2,W12_2024-03-25,autumn,2024-03-25T00:00:00+10:00,2024-04-01T00:00:00+10:00,2024-03-23T00:00:00+10:00,2024-03-25T00:00:00+10:00,24192,26208,23616,5,0.09803921568627451,"[""W10_2024-03-11"",""W11_2024-03-18"",""W12_2024-03-25"",""W13_2024-04-01"",""W16_2024-04-22""]",0.4588933553272735,0.7024616509124266
12,3,W19_2024-05-13,autumn,2024-05-13T00:00:00+10:00,2024-05-20T00:00:00+10:00,2024-05-11T00:00:00+10:00,2024-05-13T00:00:00+10:00,38304,40320,37728,7,0.13725490196078433,"[""W09_2024-03-04"",""W14_2024-04-08"",""W15_2024-04-15"",""W17_2024-04-29"",""W18_2024-05-06"",""W19_2024-05-13"",""W21_2024-05-27""]",0.3659796570606525,0.5698502104227264
12,4,W20_2024-05-20,autumn,2024-05-20T00:00:00+10:00,2024-05-27T00:00:00+10:00,2024-05-18T00:00:00+10:00,2024-05-20T00:00:00+10:00,40320,42336,39744,1,0.0196078431372549,"[""W20_2024-05-20""]",0.0,0.0
12,5,W23_2024-06-10,winter,2024-06-10T00:00:00+10:00,2024-06-17T00:00:00+10:00,2024-06-08T00:00:00+10:00,2024-06-10T00:00:00+10:00,46368,48384,45792,5,0.09803921568627451,"[""W22_2024-06-03"",""W23_2024-06-10"",""W24_2024-06-17"",""W27_2024-07-08"",""W28_2024-07-15""]",0.6102931425252235,0.8886094050115692
12,6,W30_2024-07-29,winter,2024-07-29T00:00:00+10:00,2024-08-05T00:00:00+10:00,2024-07-27T00:00:00+10:00,2024-07-29T00:00:00+10:00,60480,62496,59904,2,0.0392156862745098,"[""W30_2024-07-29"",""W31_2024-08-05""]",10.181988483280975,20.36397696656195
12,7,W32_2024-08-12,winter,2024-08-12T00:00:00+10:00,2024-08-19T00:00:00+10:00,2024-08-10T00:00:00+10:00,2024-08-12T00:00:00+10:00,64512,66528,63936,6,0.11764705882352941,"[""W25_2024-06-24"",""W26_2024-07-01"",""W29_2024-07-22"",""W32_2024-08-12"",""W33_2024-08-19"",""W34_2024-08-26""]",0.588709657324165,0.8667459329838348
12,8,W38_2024-09-23,spring,2024-09-23T00:00:00+10:00,2024-09-30T00:00:00+10:00,2024-09-21T00:00:00+10:00,2024-09-23T00:00:00+10:00,76608,78624,76032,6,0.11764705882352941,"[""W35_2024-09-02"",""W36_2024-09-09"",""W37_2024-09-16"",""W38_2024-09-23"",""W39_2024-09-30"",""W44_2024-11-04""]",0.6792839175793738,0.8901427672726492
12,9,W41_2024-10-14,spring,2024-10-14T00:00:00+10:00,2024-10-21T00:00:00+10:00,2024-10-12T00:00:00+10:00,2024-10-14T00:00:00+10:00,82656,84672,82080,5,0.09803921568627451,"[""W40_2024-10-07"",""W41_2024-10-14"",""W43_2024-10-28"",""W46_2024-11-18"",""W47_2024-11-25""]",0.8694971209124676,1.3984810522998057
12,10,W45_2024-11-11,spring,2024-11-11T00:00:00+10:00,2024-11-18T00:00:00+10:00,2024-11-09T00:00:00+10:00,2024-11-11T00:00:00+10:00,90720,92736,90144,2,0.0392156862745098,"[""W42_2024-10-21"",""W45_2024-11-11""]",0.958902059795187,1.917804119590374
12,11,W48_2024-12-02,summer,2024-12-02T00:00:00+10:00,2024-12-09T00:00:00+10:00,2024-11-30T00:00:00+10:00,2024-12-02T00:00:00+10:00,96768,98784,96192,2,0.0392156862745098,"[""W06_2024-02-12"",""W48_2024-12-02""]",12.310843222719086,24.621686445438172
12,12,W50_2024-12-16,summer,2024-12-16T00:00:00+10:00,2024-12-23T00:00:00+10:00,2024-12-14T00:00:00+10:00,2024-12-16T00:00:00+10:00,100800,102816,100224,4,0.0784313725490196,"[""W01_2024-01-08"",""W03_2024-01-22"",""W50_2024-12-16"",""W51_2024-12-23""]",1.075629230875259,1.961161476321196
