date,B3_1R_DA_rho_max,B3_2R_DA_rho_max,DA_delta_1R_minus_2R,B3_1R_Fresh_rho_max,B3_2R_Fresh_rho_max,Fresh_delta_1R_minus_2R,B3_1R_Actual_rho_max,B3_2R_Actual_rho_max,Actual_delta_1R_minus_2R,1R_Actual_Vmin,2R_Actual_Vmin,1R_Actual_Vmax,2R_Actual_Vmax,1R_critical_line,2R_critical_line,1R_critical_slot,2R_critical_slot,1R_feasible,2R_feasible,2R_incremental_runtime_s,1R_critical_phase,2R_critical_phase
2025-05-01,0.6118430873471966,0.6118430873471966,0,0.6752737434373389,0.67527374249486,9.424788727230293e-10,0.6408922859212755,0.6408922859212755,0,0.9715423179348159,0.9715423179348159,1.0500000000386998,1.0500000000499787,line.sw2,line.sw2,94,94,true,true,7707.919464349747,A,A
2025-05-02,0.5915482667573069,0.5915482667573069,0,0.6444593072030016,0.6444593072030016,0,0.6210927337114072,0.6210927337114072,0,0.9609787074688645,0.9609787074688645,1.0500000000538323,1.0500000000538323,line.l52,line.l52,64,64,true,true,7142.88384437561,A,A
2025-05-03,0.5326160387226051,0.5326160387226051,0,0.5607387626346992,0.5607387626346992,0,0.5812455028165759,0.5812455028165759,0,0.9536910681012694,0.9536910681012694,1.050000000175621,1.050000000175621,line.sw2,line.sw2,67,67,true,true,7758.1525292396545,A,A
2025-05-04,0.49247228431870793,0.49247228431870793,0,0.5098449288041466,0.5098449288041466,0,0.5151721002184766,0.5151721002184766,0,0.9577570434597797,0.9577570434597797,1.050000000891806,1.050000000891806,line.l10,line.l10,25,25,true,true,7989.733034610748,A,A
2025-05-05,0.5162919146736475,0.5162919146736475,0,0.5521454955847408,0.5521454955847408,0,0.5687269290865242,0.5687269290865242,0,0.9574931624551248,0.9574931624551248,1.050000000514125,1.050000000514125,line.sw2,line.sw2,49,49,true,true,6768.452736377716,A,A
2025-05-06,0.5609718117952823,0.5609718117952823,0,0.5811029672642499,0.5811029672642499,0,0.5299242616267181,0.5299242616267181,0,0.9792490092093146,0.9792490092093146,1.0500000007436416,1.0500000007436416,line.sw2,line.sw2,90,90,true,true,7012.167436122894,A,A
2025-05-07,0.5864618523669675,0.5864618523669675,0,0.6331367184553754,0.6331367184553754,0,0.5945512902222159,0.5945512902222159,0,0.9607189685638247,0.9607189685638247,1.0500000000360554,1.0500000000360554,line.l58,line.l58,25,25,true,true,7204.066359758377,A,A
2025-05-08,0.6337552531526833,0.6337552531526833,0,0.6793711373402322,0.6793711373402322,0,0.6364794122460535,0.6364794122460535,0,0.9677463324249542,0.9677463324249542,1.0500000000599734,1.0500000000599734,line.sw2,line.sw2,10,10,true,true,6900.228674650192,A,A
2025-05-09,0.6020243169965812,0.6020243169965812,0,0.6420900273695491,0.6420900273695491,0,0.669497251093641,0.669497251093641,0,0.9571102346588155,0.9571102346588155,1.0500000000560943,1.0500000000560943,line.l58,line.l58,45,45,true,true,7004.90381860733,A,A
2025-05-10,0.5700686581012104,0.5700686581012104,0,0.6053478188359687,0.6053478188359687,0,0.5902658089228372,0.5902658089228372,0,0.9559394882698939,0.9559394882698939,1.0500000009961565,1.0500000009961565,line.sw2,line.sw2,26,26,true,true,7475.163771867752,A,A
2025-05-11,0.5618961886042992,0.5618961886042992,0,0.5766228446653779,0.5766228446653779,0,0.5574247850717393,0.5574247850717393,0,0.9765263441981458,0.9765263441981458,1.0500000000383567,1.0500000000383567,line.sw2,line.sw2,67,67,true,true,7167.691965103149,A,A
2025-05-12,0.606423643621405,0.606423643621405,0,0.6361048092052716,0.6361048092052716,0,0.6432767931528954,0.6432767931528954,0,0.9601097244555964,0.9601097244555964,1.0500000000700296,1.0500000000700296,line.l10,line.l10,30,30,true,true,6993.910817146301,A,A
2025-05-13,0.5934050806817659,0.5934050806817659,0,0.6469734278379045,0.6469734278379045,0,0.637702341369839,0.637702341369839,0,0.9755233732087013,0.9755233732087013,1.0500000007779091,1.0500000007779091,line.l10,line.l10,65,65,true,true,7272.45413851738,A,A
2025-05-14,0.6087515794034098,0.6087515794034098,0,0.6591888799595179,0.6591888799595179,0,0.657348084480749,0.657348084480749,0,0.9652740729385885,0.9652740729385885,1.0500000008773365,1.0500000008773365,line.l58,line.l58,61,61,true,true,7649.786417245865,A,A
2025-05-15,0.6182423998906924,0.6182423998906924,0,0.6765534531529153,0.6765534531529153,0,0.6552508506434103,0.6552508506434103,0,0.9744703794724974,0.9744703794724974,1.0500000002919336,1.0500000002919336,line.sw2,line.sw2,4,4,true,true,7389.501364707947,A,A
2025-05-16,0.5877113330883675,0.5877113330883675,0,0.6359625585687356,0.6359625585687356,0,0.6370556965804621,0.6370556965804621,0,0.9668903092063466,0.9668903092063466,1.050000000046517,1.050000000046517,line.sw2,line.sw2,49,49,true,true,6972.631577968597,A,A
2025-05-17,0.561646045010973,0.561646045010973,0,0.5903492331144174,0.5903492331144174,0,0.5844264328103896,0.5844264328103896,0,0.9572189926633637,0.9572189926633637,1.0500000004358487,1.0500000004358487,line.sw2,line.sw2,60,60,true,true,6973.889636516571,A,A
2025-05-18,0.6351610488831644,0.6351610488831644,0,0.6736237687869188,0.6736237687869188,0,0.7134733192805938,0.7134733192805938,0,0.9692950181361956,0.9692950181361956,1.0500000007696895,1.0500000007696895,line.sw2,line.sw2,32,32,true,true,6781.264448165894,A,A
2025-05-19,0.6949862431093202,0.6949862431093202,0,0.742364592011183,0.7421605425330308,0.00020404947815222396,0.7739202899387626,0.7739202899387626,0,0.9643027130487886,0.9643027130487886,1.0500000007913044,1.0500000007913044,line.l10,line.l10,67,67,true,true,6825.110969543457,A,A
2025-05-20,0.6873379810655036,0.6873379810655036,0,0.7331943675378615,0.7331943675378615,0,0.7478453763589288,0.7478453763589288,0,0.964897566639733,0.964897566639733,1.0500000009809103,1.0500000009809103,line.sw2,line.sw2,67,67,true,true,7280.140483379364,A,A
2025-05-21,0.6977098319043665,0.6977098319043665,0,0.7455249014613375,0.7455249014613375,0,0.7362286600960872,0.7362286600960872,0,0.9628422574933663,0.9628422574933663,1.050000000049795,1.050000000049795,line.sw1,line.sw1,29,29,true,true,6200.931934118271,A,A
2025-05-22,0.6853305688417649,0.6853305688417649,0,0.7342198099774974,0.7342198099774974,0,0.7053369574041887,0.7053369574041887,0,0.949999999964386,0.949999999964386,1.0500000000258032,1.0500000000258032,line.sw2,line.sw2,6,6,true,true,6109.621202468872,A,A
2025-05-23,0.6956261635289512,0.6956261635289512,0,0.7487136898608886,0.7487136898608886,0,0.6961002535364678,0.6961002535364678,0,0.958046076682945,0.958046076682945,1.0500000000420666,1.0500000000420666,line.sw2,line.sw2,8,8,true,true,5385.092667341232,A,A
2025-05-24,0.5615571864681537,0.5615571864681537,0,0.5840225233758097,0.5840225233758097,0,0.5498419835273717,0.5498419835273717,0,0.9506907039639672,0.9506907039639672,1.0500000000477199,1.0500000000477199,line.sw2,line.sw2,3,3,true,true,6173.429848194122,A,A
2025-05-25,0.5529253331274532,0.5529253331274532,0,0.5990866741996859,0.5990866741996859,0,0.5648371624953045,0.5648371624953045,0,0.9594993385313911,0.9594993385313911,1.0500000008382457,1.0500000008382457,line.sw2,line.sw2,69,69,true,true,6142.0315527915955,A,A
2025-05-26,0.5902188267689227,0.5902188267689227,0,0.6409854229981203,0.6409854229981203,0,0.5926615969052245,0.5926615969052245,0,0.9566508737695433,0.9566508737695433,1.0500000000362846,1.0500000000362846,line.l10,line.l10,67,67,true,true,6399.963831186295,A,A
2025-05-27,0.6499863901898176,0.6499863688011839,2.1388633753005593e-8,0.7083562878337537,0.7083519763782594,0.000004311455494288019,0.6957313867695969,0.6957313867695969,0,0.9641139521512433,0.9641139521512433,1.0500000008299872,1.0500000006461747,line.l10,line.l10,63,63,true,true,5787.012912273407,A,A
2025-05-28,0.6632042184056764,0.6632042184056764,0,0.7135571252084765,0.7135571252084765,0,0.6775809233243782,0.6775809233243782,0,0.9525556222975349,0.9525556222975349,1.0500000000272658,1.0500000000272658,line.sw2,line.sw2,25,25,true,true,6286.588463306427,A,A
2025-05-29,0.65991865379628,0.65991865379628,0,0.7146990132660757,0.7146990132660757,0,0.681350731360342,0.681350731360342,0,0.9499999999694774,0.9499999999694774,1.0500000000390017,1.0500000000390017,line.sw2,line.sw2,4,4,true,true,5792.80619263649,A,A
2025-05-30,0.6188662189537193,0.6188662189537193,0,0.6657681164805274,0.6657681164805274,0,0.6876884215598753,0.6876884215598753,0,0.9714226624701949,0.9714226624701949,1.0500000000363077,1.0500000000363077,line.sw2,line.sw2,93,93,true,true,6865.980072975159,A,A
2025-05-31,0.5725636243716723,0.5725636243716723,0,0.6103282758094849,0.6103282758094849,0,0.6248308263232925,0.6248308263232925,0,0.9587228161441782,0.9587228161441782,1.0500000009567274,1.0500000009567274,line.sw2,line.sw2,67,67,true,true,6756.167559146881,A,A
