date,A1_2_rho,M1_2_rho,A2_2_rho,M2_2_rho,A1_2_runtime_s,M1_2_runtime_s,A2_2_runtime_s,M2_2_runtime_s,A1_2_job_decision_changes,M1_2_route_changes,A2_2_job_decision_changes,M2_2_PQ_changes,A1_2_P1,A1_2_P2,A1_2_P3,A1_2_P4,A1_2_P5,A2_2_P1,A2_2_P2,A2_2_P3,A2_2_P4,A2_2_P5,A2_candidate_accepted,M2_candidate_accepted
2025-05-01,0.6118430873471966,0.6118430873471966,0.6118430873471966,0.6118430873471966,2226.0295045375824,904.0976970000047,2301.543886600004,37.30646479999996,5,0,0,0,0.6118430873471966,1888.568797717808,11,18104,2510621370,0.6118430873471966,1888.568797717808,11,18104,2510621370,true,true
2025-05-02,0.5915482667573069,0.5915482667573069,0.5915482667573069,0.5915482667573069,2189.9044559001923,904.5188123999978,2124.9131407999957,38.616923900000984,0,0,0,0,0.5915482667573069,1354.600541328715,9,6202,1939179200,0.5915482667573069,1354.600541328715,9,6202,1939179200,true,true
2025-05-03,0.5326160387226051,0.5326160387226051,0.5326160387226051,0.5326160387226051,2269.7988131046295,905.1973360999982,2174.6516789000016,40.635621299996274,0,0,0,0,0.5326160387226051,1482.9224292804847,7,13006,2441933093,0.5326160387226051,1482.9224292804847,7,13006,2441933093,true,true
2025-05-04,0.49247228431870793,0.49247228431870793,0.49247228431870793,0.49247228431870793,2106.154057264328,905.2805902999971,2135.1303190000035,38.94727050000802,0,0,0,0,0.49247228431870793,1332.5178035716813,6,5654,1560480249,0.49247228431870793,1332.5178035716813,6,5654,1560480249,true,true
2025-05-05,0.5162919146736475,0.5162919146736475,0.5162919146736475,0.5162919146736475,1979.1161942481995,903.4586685999966,2005.7107361999952,39.75274179999542,0,0,0,0,0.5162919146736475,379.12127381073685,20,15900,394761085,0.5162919146736475,379.12127381073685,20,15900,394761085,true,true
2025-05-06,0.5609718117952823,0.5609718117952823,0.5609718117952823,0.5609718117952823,2011.3035690784454,904.7506293999904,2029.6949771000072,39.10710670000117,0,0,0,0,0.5609718117952823,1980.5948676379498,18,22216,705936086,0.5609718117952823,1980.5948676379498,18,22216,705936086,true,true
2025-05-07,0.5864618523669675,0.5864618523669675,0.5864618523669675,0.5864618523669675,1972.4642796516418,906.1137697999948,2003.043593399998,42.098901800010935,0,0,0,0,0.5864618523669675,1674.272899404089,12,3276,228256722,0.5864618523669675,1674.272899404089,12,3276,228256722,true,true
2025-05-08,0.6337552531526833,0.6337552531526833,0.6337552531526833,0.6337552531526833,2003.3627107143402,906.7776997000037,1981.155927300002,39.31845429999521,0,0,0,0,0.6337552531526833,2199.163480703756,15,6220,245969821,0.6337552531526833,2199.163480703756,15,6220,245969821,true,true
2025-05-09,0.6020243169965812,0.6020243169965812,0.6020243169965812,0.6020243169965812,1980.592530488968,907.7832181999984,1952.4605494999996,42.999556299997494,0,0,0,0,0.6020243169965812,2027.571961955688,8,12288,218061984,0.6020243169965812,2027.571961955688,8,12288,218061984,true,true
2025-05-10,0.5700686581012104,0.5700686581012104,0.5700686581012104,0.5700686581012104,2019.7437567710876,906.1500303000066,2079.948655699991,41.85185210000782,0,0,0,0,0.5700686581012104,2169.4378400767996,7,8468,555314531,0.5700686581012104,2169.4378400767996,7,8468,555314531,true,true
