date,decision_type,entity_id,before_1R,after_2R,delta,slot,timestamp_AEST
2025-05-01,AIDC_assignment,8668896,"{""AIDC_site"":""AIDC10"",""Rack_label"":""AIDC10_LP01"",""compute_segments"":[{""end"":187,""site"":""AIDC10"",""start"":0}],""end_slot"":187,""post_H_site"":""AIDC10"",""start_slot"":0}","{""AIDC_site"":""AIDC07"",""Rack_label"":""AIDC07_LP01"",""compute_segments"":[{""end"":25,""site"":""AIDC10"",""start"":0},{""end"":191,""site"":""AIDC07"",""start"":29}],""end_slot"":191,""post_H_site"":""AIDC07"",""start_slot"":0}",,,
2025-05-01,migration,8668896,"{""migration_events"":[],""migration_selected"":false}","{""migration_events"":[{""bytes_axis_origin"":""OPERATING_DAY"",""bytes_by_slot"":[0,0,0,320000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],""checkpoint"":25,""destination_AIDC"":""AIDC07"",""fixed_path_id"":""OD10_07_FIXED"",""fixed_path_links"":[""DNVRng--SNVAng"",""DNVRng--KSCYng""],""interruption_end"":29,""interruption_start"":25,""job_uid"":""8668896"",""path_selection_decisions"":0,""payload_bytes"":320000000000,""ready"":28,""restart_end"":29,""slot_origin"":""D_MINUS_1_ISSUE"",""source_AIDC"":""AIDC10"",""transfer_end"":28,""transfer_start"":27}],""migration_selected"":true}",,,
2025-05-01,AIDC_assignment,8668930,"{""AIDC_site"":""AIDC07"",""Rack_label"":""AIDC07_LP01"",""compute_segments"":[{""end"":25,""site"":""AIDC10"",""start"":0},{""end"":191,""site"":""AIDC07"",""start"":29}],""end_slot"":191,""post_H_site"":""AIDC07"",""start_slot"":0}","{""AIDC_site"":""AIDC10"",""Rack_label"":""AIDC10_LP01"",""compute_segments"":[{""end"":187,""site"":""AIDC10"",""start"":0}],""end_slot"":187,""post_H_site"":""AIDC10"",""start_slot"":0}",,,
2025-05-01,migration,8668930,"{""migration_events"":[{""bytes_axis_origin"":""OPERATING_DAY"",""bytes_by_slot"":[0,0,0,320000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],""checkpoint"":25,""destination_AIDC"":""AIDC07"",""fixed_path_id"":""OD10_07_FIXED"",""fixed_path_links"":[""DNVRng--SNVAng"",""DNVRng--KSCYng""],""interruption_end"":29,""interruption_start"":25,""job_uid"":""8668930"",""path_selection_decisions"":0,""payload_bytes"":320000000000,""ready"":28,""restart_end"":29,""slot_origin"":""D_MINUS_1_ISSUE"",""source_AIDC"":""AIDC10"",""transfer_end"":28,""transfer_start"":27}],""migration_selected"":true}","{""migration_events"":[],""migration_selected"":false}",,,
2025-05-01,AIDC_assignment,8676843,"{""AIDC_site"":""AIDC04"",""Rack_label"":""AIDC04_LP01"",""compute_segments"":[{""end"":233,""site"":""AIDC04"",""start"":83}],""end_slot"":233,""post_H_site"":""AIDC04"",""start_slot"":83}","{""AIDC_site"":""AIDC04"",""Rack_label"":""AIDC04_LP01"",""compute_segments"":[{""end"":85,""site"":""AIDC07"",""start"":83},{""end"":236,""site"":""AIDC04"",""start"":88}],""end_slot"":236,""post_H_site"":""AIDC04"",""start_slot"":83}",,,
2025-05-01,migration,8676843,"{""migration_events"":[],""migration_selected"":false}","{""migration_events"":[{""bytes_axis_origin"":""OPERATING_DAY"",""bytes_by_slot"":[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],""checkpoint"":85,""destination_AIDC"":""AIDC04"",""fixed_path_id"":""OD07_04_FIXED"",""fixed_path_links"":[""DNVRng--KSCYng""],""interruption_end"":88,""interruption_start"":85,""job_uid"":""8676843"",""path_selection_decisions"":0,""payload_bytes"":80000000000,""ready"":87,""restart_end"":88,""slot_origin"":""D_MINUS_1_ISSUE"",""source_AIDC"":""AIDC07"",""transfer_end"":87,""transfer_start"":86}],""migration_selected"":true}",,,
2025-05-01,AIDC_assignment,8680827,"{""AIDC_site"":""AIDC04"",""Rack_label"":""AIDC04_LP01"",""compute_segments"":[{""end"":26,""site"":""AIDC10"",""start"":0},{""end"":612,""site"":""AIDC04"",""start"":103}],""end_slot"":612,""post_H_site"":""AIDC04"",""start_slot"":0}","{""AIDC_site"":""AIDC10"",""Rack_label"":""AIDC10_LP01"",""compute_segments"":[{""end"":535,""site"":""AIDC10"",""start"":0}],""end_slot"":535,""post_H_site"":""AIDC10"",""start_slot"":0}",,,
2025-05-01,migration,8680827,"{""migration_events"":[{""bytes_axis_origin"":""OPERATING_DAY"",""bytes_by_slot"":[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],""checkpoint"":26,""destination_AIDC"":""AIDC04"",""fixed_path_id"":""OD10_04_FIXED"",""fixed_path_links"":[""DNVRng--SNVAng""],""interruption_end"":103,""interruption_start"":26,""job_uid"":""8680827"",""path_selection_decisions"":0,""payload_bytes"":320000000000,""ready"":102,""restart_end"":103,""slot_origin"":""D_MINUS_1_ISSUE"",""source_AIDC"":""AIDC10"",""transfer_end"":102,""transfer_start"":101}],""migration_selected"":true}","{""migration_events"":[],""migration_selected"":false}",,,
2025-05-01,AIDC_assignment,8683054,"{""AIDC_site"":""AIDC10"",""Rack_label"":""AIDC10_LP01"",""compute_segments"":[{""end"":187,""site"":""AIDC10"",""start"":0}],""end_slot"":187,""post_H_site"":""AIDC10"",""start_slot"":0}","{""AIDC_site"":""AIDC04"",""Rack_label"":""AIDC04_LP01"",""compute_segments"":[{""end"":25,""site"":""AIDC10"",""start"":0},{""end"":265,""site"":""AIDC04"",""start"":103}],""end_slot"":265,""post_H_site"":""AIDC04"",""start_slot"":0}",,,
2025-05-01,migration,8683054,"{""migration_events"":[],""migration_selected"":false}","{""migration_events"":[{""bytes_axis_origin"":""OPERATING_DAY"",""bytes_by_slot"":[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],""checkpoint"":25,""destination_AIDC"":""AIDC04"",""fixed_path_id"":""OD10_04_FIXED"",""fixed_path_links"":[""DNVRng--SNVAng""],""interruption_end"":103,""interruption_start"":25,""job_uid"":""8683054"",""path_selection_decisions"":0,""payload_bytes"":320000000000,""ready"":102,""restart_end"":103,""slot_origin"":""D_MINUS_1_ISSUE"",""source_AIDC"":""AIDC10"",""transfer_end"":102,""transfer_start"":101}],""migration_selected"":true}",,,
