metric,B3_1R,B3_2R,absolute_change,relative_change_percent
mean_DA_rho,0.6065007110950924,0.6065007104051365,-6.899558702144759e-10,-1.1376010903082003e-7
max_DA_rho,0.6977098319043665,0.6977098319043665,0,0
mean_Fresh_rho,0.6490229252335828,0.6490162038827401,-0.0000067213508427865776,-0.0010356106974753732
max_Fresh_rho,0.7487136898608886,0.7487136898608886,0,0
mean_Actual_rho,0.6376696918985687,0.6376696918985687,0,0
max_Actual_rho,0.7739202899387626,0.7739202899387626,0,0
mean_Vmin,0.9622993267726725,0.9622993267726725,0,0
worst_Vmin,0.949999999964386,0.949999999964386,0,0
mean_incremental_runtime,,6844.18321692559,,
total_incremental_runtime,,212169.6797246933,,
number_of_days_2R_better_than_1R,,0,,
number_of_days_equal,,31,,
number_of_days_2R_worse_than_1R,,0,,
number_of_days_2R_better_than_1R_DA,,1,,
number_of_days_equal_DA,,30,,
number_of_days_2R_worse_than_1R_DA,,0,,
number_of_days_2R_better_than_1R_Fresh,,3,,
number_of_days_equal_Fresh,,28,,
number_of_days_2R_worse_than_1R_Fresh,,0,,
