location_id,location_role,is_MESS_service_location,traffic_anchor,ieee8500_bus,phases,nominal_kv_ll,bus_x,bus_y,coordinate_units,feeder_depth_hops,electrical_root_distance_ohm,group_id,host_authority_status,PCC_created
AIDC01,AIDC,True,TN_01,l3234149,ABC,12.47,1691184.30665651,12273169.7074301,original_unknown_CRS,34,1.8539536148852378,TRUNK_OR_MINOR_LATERAL,FINAL_IMMUTABLE,False
AIDC02,AIDC,True,TN_02,e182733,ABC,12.47,1662211.05811753,12281038.9385414,original_unknown_CRS,232,13.353642250903814,MAJOR:m1047526,FINAL_IMMUTABLE,False
AIDC03,AIDC,True,TN_03,m1027055,ABC,12.47,1664887.74906402,12293210.2394167,original_unknown_CRS,243,14.196739013311515,MAJOR:m1047526,FINAL_IMMUTABLE,False
AIDC04,AIDC,True,TN_04,m1069411,ABC,12.47,1673857.69825638,12274937.5819917,original_unknown_CRS,226,11.629006420972615,MAJOR:l2820531,FINAL_IMMUTABLE,False
AIDC05,AIDC,True,TN_05,l2688693,ABC,12.47,1679428.32789356,12270111.8058592,original_unknown_CRS,88,4.903899887231937,MAJOR:l3081380,FINAL_IMMUTABLE,False
AIDC06,AIDC,True,TN_06,m1142814,ABC,12.47,1685271.46031501,12273423.8396543,original_unknown_CRS,65,3.3938524874085285,MAJOR:l3081380,FINAL_IMMUTABLE,False
AIDC07,AIDC,True,TN_07,m1026690,ABC,12.47,1664697.56768784,12277902.3691945,original_unknown_CRS,225,12.201711927393825,TRUNK_OR_MINOR_LATERAL,FINAL_IMMUTABLE,False
AIDC08,AIDC,True,TN_08,l3123452,ABC,12.47,1682734.34056864,12277838.7910824,original_unknown_CRS,71,3.1035384674985402,TRUNK_OR_MINOR_LATERAL,FINAL_IMMUTABLE,False
AIDC09,AIDC,True,TN_09,l2728247,ABC,12.47,1678903.34357307,12279275.3197237,original_unknown_CRS,96,5.428287812543354,TRUNK_OR_MINOR_LATERAL,FINAL_IMMUTABLE,False
AIDC10,AIDC,True,TN_10,l2973833,ABC,12.47,1688662.14140616,12275322.6305681,original_unknown_CRS,29,1.5291072480168404,TRUNK_OR_MINOR_LATERAL,FINAL_IMMUTABLE,False
AIDC11,AIDC,True,TN_11,m1047763,ABC,12.47,1670298.08174106,12288479.5109643,original_unknown_CRS,219,11.449474833657849,MAJOR:m1047526,FINAL_IMMUTABLE,False
AIDC12,AIDC,True,TN_12,e192258,ABC,12.47,1693643.1682268,12274381.6441992,original_unknown_CRS,34,1.6346783177936637,TRUNK_OR_MINOR_LATERAL,FINAL_IMMUTABLE,False
STA01,STA,True,TN_43,m1142810,ABC,12.47,1686201.78889187,12273141.309862,original_unknown_CRS,66,3.9719841328031653,MAJOR:l3081380,TOPOLOGY_ONLY_DETERMINISTIC_FEASIBLE,False
STA02,STA,True,TN_14,m1166366,ABC,12.47,1689137.26102261,12275255.550376,original_unknown_CRS,27,1.4195861102644622,TRUNK_OR_MINOR_LATERAL,TOPOLOGY_ONLY_DETERMINISTIC_FEASIBLE,False
STA03,STA,True,TN_35,l3030197,ABC,12.47,1685325.72002706,12276115.4810008,original_unknown_CRS,58,2.35831355174306,TRUNK_OR_MINOR_LATERAL,TOPOLOGY_ONLY_DETERMINISTIC_FEASIBLE,False
STA04,STA,True,TN_28,m1089115,ABC,12.47,1676011.12110638,12268510.4582737,original_unknown_CRS,106,7.138513285847595,MAJOR:l3081380,TOPOLOGY_ONLY_DETERMINISTIC_FEASIBLE,False
STA05,STA,True,TN_37,l2990826,ABC,12.47,1678542.04770074,12279603.163564,original_unknown_CRS,101,5.558983840773196,TRUNK_OR_MINOR_LATERAL,TOPOLOGY_ONLY_DETERMINISTIC_FEASIBLE,False
STA06,STA,True,TN_41,m1069310,ABC,12.47,1674411.76008089,12272915.0345338,original_unknown_CRS,244,12.393388258848564,MAJOR:l2820531,TOPOLOGY_ONLY_DETERMINISTIC_FEASIBLE,False
STA07,STA,True,TN_32,m1009763,ABC,12.47,1662434.20000574,12281193.2184775,original_unknown_CRS,231,13.194783710254203,MAJOR:m1047526,TOPOLOGY_ONLY_DETERMINISTIC_FEASIBLE,False
STA08,STA,True,TN_47,e182732,ABC,12.47,1667533.41281049,12279353.2829878,original_unknown_CRS,206,10.16623292877073,TRUNK_OR_MINOR_LATERAL,TOPOLOGY_ONLY_DETERMINISTIC_FEASIBLE,False
STA09,STA,True,TN_42,m1026855,ABC,12.47,1667474.09863443,12284247.7695204,original_unknown_CRS,196,8.753275292197735,MAJOR:m1047526,TOPOLOGY_ONLY_DETERMINISTIC_FEASIBLE,False
STA10,STA,True,TN_24,e182746,ABC,12.47,1675618.33928202,12286817.0019068,original_unknown_CRS,159,6.737183426979956,TRUNK_OR_MINOR_LATERAL,TOPOLOGY_ONLY_DETERMINISTIC_FEASIBLE,False
STA11,STA,True,TN_44,r18241,ABC,12.47,1670273.23130904,12288254.3374601,original_unknown_CRS,218,11.31672351535111,MAJOR:m1047526,TOPOLOGY_ONLY_DETERMINISTIC_FEASIBLE,False
STA12,STA,True,TN_17,m1027043,ABC,12.47,1664892.57005603,12293065.3802806,original_unknown_CRS,242,14.12525130296691,MAJOR:m1047526,TOPOLOGY_ONLY_DETERMINISTIC_FEASIBLE,False
