section,metric,value,unit,policy,scope,source_file,verified
Scalability,actual_bus_count,4912,buses,ALL,CASE,IEEE8500_pcc_overlay_20260911/PCC_OVERLAY_STRUCTURAL_VALIDATION.json;IEEE8500_scalability_20260910/audit/lines.json;IEEE8500_B3_production_20260912/PRODUCTION_RULES.json,true
Scalability,phase_node_count,8639,nodes,ALL,CASE,IEEE8500_pcc_overlay_20260911/PCC_OVERLAY_STRUCTURAL_VALIDATION.json;IEEE8500_scalability_20260910/audit/lines.json;IEEE8500_B3_production_20260912/PRODUCTION_RULES.json,true
Scalability,branch_count,4911,unique corridors,ALL,CASE,IEEE8500_pcc_overlay_20260911/PCC_OVERLAY_STRUCTURAL_VALIDATION.json;IEEE8500_scalability_20260910/audit/lines.json;IEEE8500_B3_production_20260912/PRODUCTION_RULES.json,true
Scalability,line_count,3703,line elements,ALL,CASE,IEEE8500_pcc_overlay_20260911/PCC_OVERLAY_STRUCTURAL_VALIDATION.json;IEEE8500_scalability_20260910/audit/lines.json;IEEE8500_B3_production_20260912/PRODUCTION_RULES.json,true
Scalability,transformer_count,1226,transformer elements,ALL,CASE,IEEE8500_pcc_overlay_20260911/PCC_OVERLAY_STRUCTURAL_VALIDATION.json;IEEE8500_scalability_20260910/audit/lines.json;IEEE8500_B3_production_20260912/PRODUCTION_RULES.json,true
Scalability,aidc_site_count,12,sites,ALL,CASE,IEEE8500_pcc_overlay_20260911/PCC_OVERLAY_STRUCTURAL_VALIDATION.json;IEEE8500_scalability_20260910/audit/lines.json;IEEE8500_B3_production_20260912/PRODUCTION_RULES.json,true
Scalability,mess_vehicle_count,4,vehicles,ALL,CASE,IEEE8500_pcc_overlay_20260911/PCC_OVERLAY_STRUCTURAL_VALIDATION.json;IEEE8500_scalability_20260910/audit/lines.json;IEEE8500_B3_production_20260912/PRODUCTION_RULES.json,true
Scalability,mess_service_location_count,24,locations,ALL,CASE,IEEE8500_pcc_overlay_20260911/PCC_OVERLAY_STRUCTURAL_VALIDATION.json;IEEE8500_scalability_20260910/audit/lines.json;IEEE8500_B3_production_20260912/PRODUCTION_RULES.json,true
Grid performance,planning rho,0.8487691403696187,pu,B0,PLANNING,IEEE8500_numerical_preflight_20260911/P1_EXACT_B0_WITNESS_BINDING.json,true
Grid performance,max phase-line loading,0.8487691403696187,pu,B0,DAY_AHEAD_AC,IEEE8500_v41r4_production_20260911_r2/B0/exact/AC_VALIDATION.json,true
Grid performance,max phase-line loading,0.9187894369215509,pu,B0,REALIZED_OPERATION_AC,IEEE8500_actual_20260912_r3/B0/FINAL_ACTUAL/AC_SUMMARY.json;IEEE8500_actual_20260912_r3/B0/FINAL_ACTUAL/SLOT_EXTREMA.json,true
Grid performance,planning rho,0.8473104038318897,pu,B1,PLANNING,IEEE8500_v41r4_production_20260911_r2/B1/ACCEPTED_AIDC.json,true
Grid performance,max phase-line loading,0.8488178297477951,pu,B1,DAY_AHEAD_AC,IEEE8500_v41r4_production_20260911_r2/B1/final_exact/AC_VALIDATION.json,true
Grid performance,max phase-line loading,0.9249467613822655,pu,B1,REALIZED_OPERATION_AC,IEEE8500_actual_20260912_r3/B1/FINAL_ACTUAL/AC_SUMMARY.json;IEEE8500_actual_20260912_r3/B1/FINAL_ACTUAL/SLOT_EXTREMA.json,true
Grid performance,planning rho,0.8284125998911473,pu,B2,PLANNING,IEEE8500_B2_physical_closure_20260912_r2/B2_RESTORED_ACCEPTANCE.json,true
Grid performance,max phase-line loading,0.8355810352862253,pu,B2,DAY_AHEAD_AC,IEEE8500_B2_physical_closure_20260912_r2/accepted_clean_exact/AC_VALIDATION.json,true
Grid performance,max phase-line loading,0.9076065509538066,pu,B2,REALIZED_OPERATION_AC,IEEE8500_B2_actual_availability_gating_20260912_r3/B2/FINAL_ACTUAL/AC_SUMMARY.json;IEEE8500_B2_actual_availability_gating_20260912_r3/B2/FINAL_ACTUAL/SLOT_EXTREMA.json,true
Grid performance,planning rho,0.82573859707742,pu,B3,PLANNING,IEEE8500_B3_production_20260912/B3_A1/ACCEPTED_AIDC.json,true
Grid performance,max phase-line loading,0.8366269795479181,pu,B3,DAY_AHEAD_AC,IEEE8500_B3_production_20260912/B3/final_exact/AC_VALIDATION.json,true
Grid performance,max phase-line loading,0.9029293071261447,pu,B3,REALIZED_OPERATION_AC,IEEE8500_actual_20260912_r3/B3/FINAL_ACTUAL/AC_SUMMARY.json;IEEE8500_actual_20260912_r3/B3/FINAL_ACTUAL/SLOT_EXTREMA.json,true
Grid performance,B3 reduction vs B0,2.713404882058909,percent,B3,PLANNING,IEEE8500_numerical_preflight_20260911/P1_EXACT_B0_WITNESS_BINDING.json;IEEE8500_B3_production_20260912/B3_A1/ACCEPTED_AIDC.json,true
Optimization,total algorithm runtime,636.8061095916667,min,B3,DAY_AHEAD_ALGORITHM,IEEE8500_B3_production_20260912/B3/FINAL_AUTHORITY.json;IEEE8500_B3_production_20260912/B3_A1/BOUNDED_SOLVER_REPORT.json;IEEE8500_B3_production_20260912/B3_A1/F_AND_O_LIVE.json;IEEE8500_B3_production_20260912/B3_A1/MODEL_BUILD_MEMORY.json;IEEE8500_B3_production_20260912/B3_A1/SOLVER.log;IEEE8500_B3_production_20260912/B3_A1/SCALABILITY_METRICS.json;IEEE8500_v41r4_production_20260911_r2/aidc_runtime.py;IEEE8500_B3_production_20260912/campaign.py,true
Optimization,incremental runtime,385.93383451833313,min,B3,DAY_AHEAD_ALGORITHM,IEEE8500_B3_production_20260912/B3/FINAL_AUTHORITY.json;IEEE8500_B3_production_20260912/B3_A1/BOUNDED_SOLVER_REPORT.json;IEEE8500_B3_production_20260912/B3_A1/F_AND_O_LIVE.json;IEEE8500_B3_production_20260912/B3_A1/MODEL_BUILD_MEMORY.json;IEEE8500_B3_production_20260912/B3_A1/SOLVER.log;IEEE8500_B3_production_20260912/B3_A1/SCALABILITY_METRICS.json;IEEE8500_v41r4_production_20260911_r2/aidc_runtime.py;IEEE8500_B3_production_20260912/campaign.py,true
Optimization,AIDC A1 search limit,240,min,B3,DAY_AHEAD_ALGORITHM,IEEE8500_B3_production_20260912/B3/FINAL_AUTHORITY.json;IEEE8500_B3_production_20260912/B3_A1/BOUNDED_SOLVER_REPORT.json;IEEE8500_B3_production_20260912/B3_A1/F_AND_O_LIVE.json;IEEE8500_B3_production_20260912/B3_A1/MODEL_BUILD_MEMORY.json;IEEE8500_B3_production_20260912/B3_A1/SOLVER.log;IEEE8500_B3_production_20260912/B3_A1/SCALABILITY_METRICS.json;IEEE8500_v41r4_production_20260911_r2/aidc_runtime.py;IEEE8500_B3_production_20260912/campaign.py,true
Optimization,termination,SEARCH_LOOP_WALL_CLOCK_LIMIT,status,B3,DAY_AHEAD_ALGORITHM,IEEE8500_B3_production_20260912/B3/FINAL_AUTHORITY.json;IEEE8500_B3_production_20260912/B3_A1/BOUNDED_SOLVER_REPORT.json;IEEE8500_B3_production_20260912/B3_A1/F_AND_O_LIVE.json;IEEE8500_B3_production_20260912/B3_A1/MODEL_BUILD_MEMORY.json;IEEE8500_B3_production_20260912/B3_A1/SOLVER.log;IEEE8500_B3_production_20260912/B3_A1/SCALABILITY_METRICS.json;IEEE8500_v41r4_production_20260911_r2/aidc_runtime.py;IEEE8500_B3_production_20260912/campaign.py,true
Optimization,global optimum certified,false,boolean,B3,DAY_AHEAD_ALGORITHM,IEEE8500_B3_production_20260912/B3/FINAL_AUTHORITY.json;IEEE8500_B3_production_20260912/B3_A1/BOUNDED_SOLVER_REPORT.json;IEEE8500_B3_production_20260912/B3_A1/F_AND_O_LIVE.json;IEEE8500_B3_production_20260912/B3_A1/MODEL_BUILD_MEMORY.json;IEEE8500_B3_production_20260912/B3_A1/SOLVER.log;IEEE8500_B3_production_20260912/B3_A1/SCALABILITY_METRICS.json;IEEE8500_v41r4_production_20260911_r2/aidc_runtime.py;IEEE8500_B3_production_20260912/campaign.py,true
Feasibility,overall_ac_feasible,true,boolean,B3,DAY_AHEAD_AC,IEEE8500_B3_production_20260912/B3/final_exact/AC_VALIDATION.json,true
Feasibility,violation_count_voltage,0,count,B3,DAY_AHEAD_AC,IEEE8500_B3_production_20260912/B3/final_exact/AC_VALIDATION.json,true
Feasibility,violation_count_thermal,0,count,B3,DAY_AHEAD_AC,IEEE8500_B3_production_20260912/B3/final_exact/AC_VALIDATION.json,true
Feasibility,max_transformer_phase_current_pu,0.7756078530181562,pu,B3,DAY_AHEAD_AC,IEEE8500_B3_production_20260912/B3/final_exact/AC_VALIDATION.json,true
Feasibility,max_transformer_winding_kva_pu,0.8015313423788907,pu,B3,DAY_AHEAD_AC,IEEE8500_B3_production_20260912/B3/final_exact/AC_VALIDATION.json,true
Feasibility,overall_ac_feasible,true,boolean,B3,REALIZED_OPERATION_AC,IEEE8500_actual_20260912_r3/B3/FINAL_ACTUAL/AC_SUMMARY.json;IEEE8500_actual_20260912_r3/B3/FINAL_ACTUAL/SLOT_EXTREMA.json,true
Feasibility,violation_count_voltage,0,count,B3,REALIZED_OPERATION_AC,IEEE8500_actual_20260912_r3/B3/FINAL_ACTUAL/AC_SUMMARY.json;IEEE8500_actual_20260912_r3/B3/FINAL_ACTUAL/SLOT_EXTREMA.json,true
Feasibility,violation_count_thermal,0,count,B3,REALIZED_OPERATION_AC,IEEE8500_actual_20260912_r3/B3/FINAL_ACTUAL/AC_SUMMARY.json;IEEE8500_actual_20260912_r3/B3/FINAL_ACTUAL/SLOT_EXTREMA.json,true
