element_type,element_id,from_bus,to_bus,x_from,y_from,x_to,y_to,terminal,phase,data_status,B0_loading_at_critical_time,critical_slot,critical_time_AEST
line,line.hvmv_sub_connector,_hvmv_sub_lsb,hvmv_sub_48332,1693852,12277577.7570982,1693886,12277577.7570982,1,1,OK,0.907051633698081,75,2025-05-01T18:45:00+10:00
line,line.hvmv_sub_connector,_hvmv_sub_lsb,hvmv_sub_48332,1693852,12277577.7570982,1693886,12277577.7570982,1,2,OK,0.8891666105460725,75,2025-05-01T18:45:00+10:00
line,line.hvmv_sub_connector,_hvmv_sub_lsb,hvmv_sub_48332,1693852,12277577.7570982,1693886,12277577.7570982,1,3,OK,0.8643727342447276,75,2025-05-01T18:45:00+10:00
line,line.hvmv_sub_connector,_hvmv_sub_lsb,hvmv_sub_48332,1693852,12277577.7570982,1693886,12277577.7570982,2,1,OK,0.907051633698081,75,2025-05-01T18:45:00+10:00
line,line.hvmv_sub_connector,_hvmv_sub_lsb,hvmv_sub_48332,1693852,12277577.7570982,1693886,12277577.7570982,2,2,OK,0.8891666105460725,75,2025-05-01T18:45:00+10:00
line,line.hvmv_sub_connector,_hvmv_sub_lsb,hvmv_sub_48332,1693852,12277577.7570982,1693886,12277577.7570982,2,3,OK,0.8643727342447276,75,2025-05-01T18:45:00+10:00
line,line.ln5502549-1,m1009763,l2673322,1662434.20000574,12281193.2184775,1662466.18157377,12281293.8203336,1,2,OK,0.0028701039984775356,75,2025-05-01T18:45:00+10:00
line,line.ln5502549-1,m1009763,l2673322,1662434.20000574,12281193.2184775,1662466.18157377,12281293.8203336,2,2,OK,0.002870464628580239,75,2025-05-01T18:45:00+10:00
line,line.ln6259988-1,m1069148,l2673309,1674268.12974476,12266091.5900475,1673916.32020843,12266089.1693115,1,3,OK,0.002099356321718394,75,2025-05-01T18:45:00+10:00
line,line.ln6259988-1,m1069148,l2673309,1674268.12974476,12266091.5900475,1673916.32020843,12266089.1693115,2,3,OK,0.0021005960519817125,75,2025-05-01T18:45:00+10:00
line,line.ln6077796-1,m1069588,l2804270,1674984.67169743,12287113.040307,1674953.4315054,12287092.199859,1,2,OK,0.002435481450255237,75,2025-05-01T18:45:00+10:00
line,line.ln6077796-1,m1069588,l2804270,1674984.67169743,12287113.040307,1674953.4315054,12287092.199859,2,2,OK,0.0024356114867038186,75,2025-05-01T18:45:00+10:00
line,line.ln5835135-2,m3036164,l2935553,1668428.08980332,12289757.0697495,1668339.05914724,12289885.9790616,1,2,OK,0.024046551254116033,75,2025-05-01T18:45:00+10:00
line,line.ln5835135-2,m3036164,l2935553,1668428.08980332,12289757.0697495,1668339.05914724,12289885.9790616,2,2,OK,0.024047072469884072,75,2025-05-01T18:45:00+10:00
line,line.ln5896826-1,m1209749,l2748840,1692000.00048127,12273042.1702779,1692304.77974556,12272449.8804854,1,2,OK,0.0012031932264977244,75,2025-05-01T18:45:00+10:00
line,line.ln5896826-1,m1209749,l2748840,1692000.00048127,12273042.1702779,1692304.77974556,12272449.8804854,2,2,OK,0.001205570406155132,75,2025-05-01T18:45:00+10:00
line,line.ln5714038-1,m1108264,m1108263,1679540.54190967,12260421.0589702,1679627.65154175,12260104.7699459,1,2,OK,0.0031853197084520655,75,2025-05-01T18:45:00+10:00
line,line.ln5714038-1,m1108264,m1108263,1679540.54190967,12260421.0589702,1679627.65154175,12260104.7699459,2,2,OK,0.00318642562534253,75,2025-05-01T18:45:00+10:00
line,line.ln5653457-1,l3085398,m1026891,1663360.6087106,12285489.5210735,1663258.8886465,12285227.3688813,1,1,OK,0.056741134456558096,75,2025-05-01T18:45:00+10:00
line,line.ln5653457-1,l3085398,m1026891,1663360.6087106,12285489.5210735,1663258.8886465,12285227.3688813,1,2,OK,0.08949092254704366,75,2025-05-01T18:45:00+10:00
line,line.ln5653457-1,l3085398,m1026891,1663360.6087106,12285489.5210735,1663258.8886465,12285227.3688813,1,3,OK,0.05081098045233557,75,2025-05-01T18:45:00+10:00
line,line.ln5653457-1,l3085398,m1026891,1663360.6087106,12285489.5210735,1663258.8886465,12285227.3688813,2,1,OK,0.05674289358434791,75,2025-05-01T18:45:00+10:00
line,line.ln5653457-1,l3085398,m1026891,1663360.6087106,12285489.5210735,1663258.8886465,12285227.3688813,2,2,OK,0.08949275710435545,75,2025-05-01T18:45:00+10:00
line,line.ln5653457-1,l3085398,m1026891,1663360.6087106,12285489.5210735,1663258.8886465,12285227.3688813,2,3,OK,0.05081226498703592,75,2025-05-01T18:45:00+10:00
line,line.ln5835173-1,l3216367,m1069468,1673511.27086405,12278909.6206514,1673577.79809611,12278791.4018993,1,1,OK,0.048804415733984634,75,2025-05-01T18:45:00+10:00
line,line.ln5835173-1,l3216367,m1069468,1673511.27086405,12278909.6206514,1673577.79809611,12278791.4018993,1,2,OK,0.0996846230840002,75,2025-05-01T18:45:00+10:00
line,line.ln5835173-1,l3216367,m1069468,1673511.27086405,12278909.6206514,1673577.79809611,12278791.4018993,1,3,OK,0.07717853243175679,75,2025-05-01T18:45:00+10:00
line,line.ln5835173-1,l3216367,m1069468,1673511.27086405,12278909.6206514,1673577.79809611,12278791.4018993,2,1,OK,0.048805304965529234,75,2025-05-01T18:45:00+10:00
line,line.ln5835173-1,l3216367,m1069468,1673511.27086405,12278909.6206514,1673577.79809611,12278791.4018993,2,2,OK,0.09968558082996955,75,2025-05-01T18:45:00+10:00
line,line.ln5835173-1,l3216367,m1069468,1673511.27086405,12278909.6206514,1673577.79809611,12278791.4018993,2,3,OK,0.07717913766570342,75,2025-05-01T18:45:00+10:00
line,line.ln6321415-1,m1142800,m1142799,1686401.39106806,12272256.4509812,1686166.70255584,12272059.916709,1,2,OK,0.002044621592578067,75,2025-05-01T18:45:00+10:00
line,line.ln6321415-1,m1142800,m1142799,1686401.39106806,12272256.4509812,1686166.70255584,12272059.916709,2,2,OK,0.002045666520402846,75,2025-05-01T18:45:00+10:00
line,line.ln5565092-1,m1047592,p827512,1668812.72058768,12283524.2602717,1668818.20103568,12283534.9303517,1,3,OK,0.003155042131907536,75,2025-05-01T18:45:00+10:00
line,line.ln5565092-1,m1047592,p827512,1668812.72058768,12283524.2602717,1668818.20103568,12283534.9303517,2,3,OK,0.0031550841891305227,75,2025-05-01T18:45:00+10:00
line,line.ln6073648-1,m1047339,p895104,1671536.88827021,12264379.6013099,1671529.47041421,12264403.8864939,1,1,OK,0.0044435825256088106,75,2025-05-01T18:45:00+10:00
line,line.ln6073648-1,m1047339,p895104,1671536.88827021,12264379.6013099,1671529.47041421,12264403.8864939,2,1,OK,0.004443670056028699,75,2025-05-01T18:45:00+10:00
line,line.ln5774457-1,m1026915,m1026920,1663539.86195877,12285876.8797939,1663580.1502148,12286004.691378,1,1,OK,0.04309708559152889,75,2025-05-01T18:45:00+10:00
line,line.ln5774457-1,m1026915,m1026920,1663539.86195877,12285876.8797939,1663580.1502148,12286004.691378,1,2,OK,0.03515040252489873,75,2025-05-01T18:45:00+10:00
line,line.ln5774457-1,m1026915,m1026920,1663539.86195877,12285876.8797939,1663580.1502148,12286004.691378,1,3,OK,0.033289828597980395,75,2025-05-01T18:45:00+10:00
line,line.ln5774457-1,m1026915,m1026920,1663539.86195877,12285876.8797939,1663580.1502148,12286004.691378,2,1,OK,0.04309786031492157,75,2025-05-01T18:45:00+10:00
line,line.ln5774457-1,m1026915,m1026920,1663539.86195877,12285876.8797939,1663580.1502148,12286004.691378,2,2,OK,0.03515127479173545,75,2025-05-01T18:45:00+10:00
line,line.ln5774457-1,m1026915,m1026920,1663539.86195877,12285876.8797939,1663580.1502148,12286004.691378,2,3,OK,0.033290349409893456,75,2025-05-01T18:45:00+10:00
line,line.ln5534966-3,n1138596,l3254207,1673874.29115239,12274484.2244233,1673949.12097646,12274513.4985353,1,1,OK,0.016076878668651328,75,2025-05-01T18:45:00+10:00
line,line.ln5534966-3,n1138596,l3254207,1673874.29115239,12274484.2244233,1673949.12097646,12274513.4985353,2,1,OK,0.016077158897918276,75,2025-05-01T18:45:00+10:00
line,line.ln5859996-1,m1069464,p873787,1673734.40046426,12278609.6623791,1673733.52392026,12278589.2233391,1,2,OK,0.004096169347834003,75,2025-05-01T18:45:00+10:00
line,line.ln5859996-1,m1069464,p873787,1673734.40046426,12278609.6623791,1673733.52392026,12278589.2233391,2,2,OK,0.004096241426706856,75,2025-05-01T18:45:00+10:00
line,line.ln6138610-2,n1144665,m1047515,1669973.12148476,12282252.9970385,1669891.14823668,12282216.1903825,1,1,OK,0.2210408100865426,75,2025-05-01T18:45:00+10:00
line,line.ln6138610-2,n1144665,m1047515,1669973.12148476,12282252.9970385,1669891.14823668,12282216.1903825,1,2,OK,0.18175667981638227,75,2025-05-01T18:45:00+10:00
line,line.ln6138610-2,n1144665,m1047515,1669973.12148476,12282252.9970385,1669891.14823668,12282216.1903825,1,3,OK,0.19985400242140258,75,2025-05-01T18:45:00+10:00
line,line.ln6138610-2,n1144665,m1047515,1669973.12148476,12282252.9970385,1669891.14823668,12282216.1903825,2,1,OK,0.22104135623509755,75,2025-05-01T18:45:00+10:00
line,line.ln6138610-2,n1144665,m1047515,1669973.12148476,12282252.9970385,1669891.14823668,12282216.1903825,2,2,OK,0.18175726707325515,75,2025-05-01T18:45:00+10:00
line,line.ln6138610-2,n1144665,m1047515,1669973.12148476,12282252.9970385,1669891.14823668,12282216.1903825,2,3,OK,0.19985439153380194,75,2025-05-01T18:45:00+10:00
line,line.ln6258435-3,n1137002,m1047707,1670188.25978896,12285034.7176171,1669945.41204473,12285152.3997932,1,1,OK,0.0036757810802734276,75,2025-05-01T18:45:00+10:00
line,line.ln6258435-3,n1137002,m1047707,1670188.25978896,12285034.7176171,1669945.41204473,12285152.3997932,2,1,OK,0.003676877460692487,75,2025-05-01T18:45:00+10:00
line,line.ln5804790-1,l2729406,l2897768,1677474.04027574,12277937.7504425,1678112.75822834,12277952.0618665,1,3,OK,0.00215600119770051,75,2025-05-01T18:45:00+10:00
line,line.ln5804790-1,l2729406,l2897768,1677474.04027574,12277937.7504425,1678112.75822834,12277952.0618665,2,3,OK,0.002158179995667329,75,2025-05-01T18:45:00+10:00
line,line.ln6900591-14,l3649301,l3649302,1668008.60615493,12284893.004209,1668009.60967493,12285099.8931692,1,1,OK,0.0066482982450925,75,2025-05-01T18:45:00+10:00
line,line.ln6900591-14,l3649301,l3649302,1668008.60615493,12284893.004209,1668009.60967493,12285099.8931692,2,1,OK,0.006649047765795144,75,2025-05-01T18:45:00+10:00
line,line.ln6409873-1,l2970842,m1089113,1676929.30094724,12268558.7337298,1677067.30337936,12268367.5119696,1,2,OK,0.015351899544806525,75,2025-05-01T18:45:00+10:00
line,line.ln6409873-1,l2970842,m1089113,1676929.30094724,12268558.7337298,1677067.30337936,12268367.5119696,2,2,OK,0.015352697064032974,75,2025-05-01T18:45:00+10:00
line,line.ln6014135-1,m1047312,p893163,1670458.30087721,12263309.3083169,1670449.4248452,12263319.6097569,1,1,OK,0.013928379939053962,75,2025-05-01T18:45:00+10:00
line,line.ln6014135-1,m1047312,p893163,1670458.30087721,12263309.3083169,1670449.4248452,12263319.6097569,2,1,OK,0.013928426856871335,75,2025-05-01T18:45:00+10:00
line,line.ln6077784-1,l2822871,m1026872,1665333.16039244,12284492.3416806,1665207.33946432,12284644.3483367,1,1,OK,0.11110555951224228,75,2025-05-01T18:45:00+10:00
line,line.ln6077784-1,l2822871,m1026872,1665333.16039244,12284492.3416806,1665207.33946432,12284644.3483367,1,2,OK,0.12972163834631967,75,2025-05-01T18:45:00+10:00
line,line.ln6077784-1,l2822871,m1026872,1665333.16039244,12284492.3416806,1665207.33946432,12284644.3483367,1,3,OK,0.08953897517874648,75,2025-05-01T18:45:00+10:00
line,line.ln6077784-1,l2822871,m1026872,1665333.16039244,12284492.3416806,1665207.33946432,12284644.3483367,2,1,OK,0.11110689263776939,75,2025-05-01T18:45:00+10:00
line,line.ln6077784-1,l2822871,m1026872,1665333.16039244,12284492.3416806,1665207.33946432,12284644.3483367,2,2,OK,0.12972307268904157,75,2025-05-01T18:45:00+10:00
line,line.ln6077784-1,l2822871,m1026872,1665333.16039244,12284492.3416806,1665207.33946432,12284644.3483367,2,3,OK,0.08953989374543013,75,2025-05-01T18:45:00+10:00
line,line.ln5744338-1,m1026312,l2973163,1664935.63949607,12258310.4106482,1664810.08890395,12258187.8091761,1,2,OK,0.0387847931335439,75,2025-05-01T18:45:00+10:00
line,line.ln5744338-1,m1026312,l2973163,1664935.63949607,12258310.4106482,1664810.08890395,12258187.8091761,2,2,OK,0.038785386801510204,75,2025-05-01T18:45:00+10:00
line,line.ln6991381-4,l3728038,l3728039,1669619.09601243,12279615.9922361,1669413.10407624,12279773.8848442,1,1,OK,0.0073905170413245316,75,2025-05-01T18:45:00+10:00
line,line.ln6991381-4,l3728038,l3728039,1669619.09601243,12279615.9922361,1669413.10407624,12279773.8848442,2,1,OK,0.007391454977808497,75,2025-05-01T18:45:00+10:00
line,line.ln5774480-1,m1069567,m1069582,1674888.19041734,12286519.2595705,1675139.09908957,12286953.7919229,1,2,OK,0.045994735977865873,75,2025-05-01T18:45:00+10:00
line,line.ln5774480-1,m1069567,m1069582,1674888.19041734,12286519.2595705,1675139.09908957,12286953.7919229,2,2,OK,0.045996470881692175,75,2025-05-01T18:45:00+10:00
line,line.ln5986938-3,n1140830,l3216351,1664731.43341588,12277883.8757544,1664756.5992399,12277870.1336744,1,1,OK,0.007832532869500424,75,2025-05-01T18:45:00+10:00
line,line.ln5986938-3,n1140830,l3216351,1664731.43341588,12277883.8757544,1664756.5992399,12277870.1336744,2,1,OK,0.007832629901845656,75,2025-05-01T18:45:00+10:00
line,line.ln5894230-1,l2952007,l2861158,1687211.45289281,12284312.6051044,1686796.48303643,12284325.7737444,1,3,OK,0.00211216393703494,75,2025-05-01T18:45:00+10:00
line,line.ln5894230-1,l2952007,l2861158,1687211.45289281,12284312.6051044,1686796.48303643,12284325.7737444,2,3,OK,0.002113599710571576,75,2025-05-01T18:45:00+10:00
line,line.ln5683858-3,n1140827,m1026726,1665613.6258007,12278455.280043,1665615.0266327,12278511.919531,1,1,OK,0.01770849029956698,75,2025-05-01T18:45:00+10:00
line,line.ln5683858-3,n1140827,m1026726,1665613.6258007,12278455.280043,1665615.0266327,12278511.919531,1,2,OK,0.020056268252587824,75,2025-05-01T18:45:00+10:00
line,line.ln5683858-3,n1140827,m1026726,1665613.6258007,12278455.280043,1665615.0266327,12278511.919531,1,3,OK,0.018174168797504595,75,2025-05-01T18:45:00+10:00
line,line.ln5683858-3,n1140827,m1026726,1665613.6258007,12278455.280043,1665615.0266327,12278511.919531,2,1,OK,0.017708865318903193,75,2025-05-01T18:45:00+10:00
line,line.ln5683858-3,n1140827,m1026726,1665613.6258007,12278455.280043,1665615.0266327,12278511.919531,2,2,OK,0.02005666002922621,75,2025-05-01T18:45:00+10:00
line,line.ln5683858-3,n1140827,m1026726,1665613.6258007,12278455.280043,1665615.0266327,12278511.919531,2,3,OK,0.018174440425315064,75,2025-05-01T18:45:00+10:00
line,line.ln5920279-5,l2730106,n1142099,1681252.82146326,12280907.3791173,1681215.67074323,12280970.6705093,1,1,OK,0.5875301263018056,75,2025-05-01T18:45:00+10:00
line,line.ln5920279-5,l2730106,n1142099,1681252.82146326,12280907.3791173,1681215.67074323,12280970.6705093,1,2,OK,0.5634310891122144,75,2025-05-01T18:45:00+10:00
line,line.ln5920279-5,l2730106,n1142099,1681252.82146326,12280907.3791173,1681215.67074323,12280970.6705093,1,3,OK,0.43598259576294174,75,2025-05-01T18:45:00+10:00
line,line.ln5920279-5,l2730106,n1142099,1681252.82146326,12280907.3791173,1681215.67074323,12280970.6705093,2,1,OK,0.5875303094585482,75,2025-05-01T18:45:00+10:00
line,line.ln5920279-5,l2730106,n1142099,1681252.82146326,12280907.3791173,1681215.67074323,12280970.6705093,2,2,OK,0.563431318009814,75,2025-05-01T18:45:00+10:00
line,line.ln5920279-5,l2730106,n1142099,1681252.82146326,12280907.3791173,1681215.67074323,12280970.6705093,2,3,OK,0.435982416936838,75,2025-05-01T18:45:00+10:00
line,line.ln6439600-1,m1026658,l3172805,1663229.61043848,12276549.5300252,1663438.05997467,12276268.3723929,1,1,OK,0.0018711038548922007,75,2025-05-01T18:45:00+10:00
line,line.ln6439600-1,m1026658,l3172805,1663229.61043848,12276549.5300252,1663438.05997467,12276268.3723929,2,1,OK,0.0018723487872225964,75,2025-05-01T18:45:00+10:00
