element_type,element_id,from_bus,to_bus,x_from,y_from,x_to,y_to,data_status,B0_element_max_loading,max_terminal,max_phase,max_slot,max_time_AEST
line,line.hvmv_sub_connector,_hvmv_sub_lsb,hvmv_sub_48332,1693852,12277577.7570982,1693886,12277577.7570982,OK,0.907051633698081,1,1,75,2025-05-01T18:45:00+10:00
line,line.ln5502549-1,m1009763,l2673322,1662434.20000574,12281193.2184775,1662466.18157377,12281293.8203336,OK,0.002870464628580239,2,2,75,2025-05-01T18:45:00+10:00
line,line.ln6259988-1,m1069148,l2673309,1674268.12974476,12266091.5900475,1673916.32020843,12266089.1693115,OK,0.0021005960519817125,2,3,75,2025-05-01T18:45:00+10:00
line,line.ln6077796-1,m1069588,l2804270,1674984.67169743,12287113.040307,1674953.4315054,12287092.199859,OK,0.0024356114867038186,2,2,75,2025-05-01T18:45:00+10:00
line,line.ln5835135-2,m3036164,l2935553,1668428.08980332,12289757.0697495,1668339.05914724,12289885.9790616,OK,0.024047072469884072,2,2,75,2025-05-01T18:45:00+10:00
line,line.ln5896826-1,m1209749,l2748840,1692000.00048127,12273042.1702779,1692304.77974556,12272449.8804854,OK,0.001205570406155132,2,2,75,2025-05-01T18:45:00+10:00
line,line.ln5714038-1,m1108264,m1108263,1679540.54190967,12260421.0589702,1679627.65154175,12260104.7699459,OK,0.00318642562534253,2,2,75,2025-05-01T18:45:00+10:00
line,line.ln5653457-1,l3085398,m1026891,1663360.6087106,12285489.5210735,1663258.8886465,12285227.3688813,OK,0.08949275710435545,2,2,75,2025-05-01T18:45:00+10:00
line,line.ln5835173-1,l3216367,m1069468,1673511.27086405,12278909.6206514,1673577.79809611,12278791.4018993,OK,0.09968558082996955,2,2,75,2025-05-01T18:45:00+10:00
line,line.ln6321415-1,m1142800,m1142799,1686401.39106806,12272256.4509812,1686166.70255584,12272059.916709,OK,0.002045666520402846,2,2,75,2025-05-01T18:45:00+10:00
line,line.ln5565092-1,m1047592,p827512,1668812.72058768,12283524.2602717,1668818.20103568,12283534.9303517,OK,0.0031550841891305227,2,3,75,2025-05-01T18:45:00+10:00
line,line.ln6073648-1,m1047339,p895104,1671536.88827021,12264379.6013099,1671529.47041421,12264403.8864939,OK,0.004443670056028699,2,1,75,2025-05-01T18:45:00+10:00
line,line.ln5774457-1,m1026915,m1026920,1663539.86195877,12285876.8797939,1663580.1502148,12286004.691378,OK,0.04309786031492157,2,1,75,2025-05-01T18:45:00+10:00
line,line.ln5534966-3,n1138596,l3254207,1673874.29115239,12274484.2244233,1673949.12097646,12274513.4985353,OK,0.016077158897918276,2,1,75,2025-05-01T18:45:00+10:00
line,line.ln5859996-1,m1069464,p873787,1673734.40046426,12278609.6623791,1673733.52392026,12278589.2233391,OK,0.004096241426706856,2,2,75,2025-05-01T18:45:00+10:00
line,line.ln6138610-2,n1144665,m1047515,1669973.12148476,12282252.9970385,1669891.14823668,12282216.1903825,OK,0.22104135623509755,2,1,75,2025-05-01T18:45:00+10:00
line,line.ln6258435-3,n1137002,m1047707,1670188.25978896,12285034.7176171,1669945.41204473,12285152.3997932,OK,0.003676877460692487,2,1,75,2025-05-01T18:45:00+10:00
line,line.ln5804790-1,l2729406,l2897768,1677474.04027574,12277937.7504425,1678112.75822834,12277952.0618665,OK,0.002158179995667329,2,3,75,2025-05-01T18:45:00+10:00
line,line.ln6900591-14,l3649301,l3649302,1668008.60615493,12284893.004209,1668009.60967493,12285099.8931692,OK,0.006649047765795144,2,1,75,2025-05-01T18:45:00+10:00
line,line.ln6409873-1,l2970842,m1089113,1676929.30094724,12268558.7337298,1677067.30337936,12268367.5119696,OK,0.015352697064032974,2,2,75,2025-05-01T18:45:00+10:00
line,line.ln6014135-1,m1047312,p893163,1670458.30087721,12263309.3083169,1670449.4248452,12263319.6097569,OK,0.013928426856871335,2,1,75,2025-05-01T18:45:00+10:00
line,line.ln6077784-1,l2822871,m1026872,1665333.16039244,12284492.3416806,1665207.33946432,12284644.3483367,OK,0.12972307268904157,2,2,75,2025-05-01T18:45:00+10:00
line,line.ln5744338-1,m1026312,l2973163,1664935.63949607,12258310.4106482,1664810.08890395,12258187.8091761,OK,0.038785386801510204,2,2,75,2025-05-01T18:45:00+10:00
line,line.ln6991381-4,l3728038,l3728039,1669619.09601243,12279615.9922361,1669413.10407624,12279773.8848442,OK,0.007391454977808497,2,1,75,2025-05-01T18:45:00+10:00
line,line.ln5774480-1,m1069567,m1069582,1674888.19041734,12286519.2595705,1675139.09908957,12286953.7919229,OK,0.045996470881692175,2,2,75,2025-05-01T18:45:00+10:00
line,line.ln5986938-3,n1140830,l3216351,1664731.43341588,12277883.8757544,1664756.5992399,12277870.1336744,OK,0.007832629901845656,2,1,75,2025-05-01T18:45:00+10:00
line,line.ln5894230-1,l2952007,l2861158,1687211.45289281,12284312.6051044,1686796.48303643,12284325.7737444,OK,0.002113599710571576,2,3,75,2025-05-01T18:45:00+10:00
line,line.ln5683858-3,n1140827,m1026726,1665613.6258007,12278455.280043,1665615.0266327,12278511.919531,OK,0.02005666002922621,2,2,75,2025-05-01T18:45:00+10:00
line,line.ln5920279-5,l2730106,n1142099,1681252.82146326,12280907.3791173,1681215.67074323,12280970.6705093,OK,0.5875303094585482,2,1,75,2025-05-01T18:45:00+10:00
line,line.ln6439600-1,m1026658,l3172805,1663229.61043848,12276549.5300252,1663438.05997467,12276268.3723929,OK,0.0018723487872225964,2,1,75,2025-05-01T18:45:00+10:00
line,line.ln5589097-1,p895112,l3048962,1685510.74453923,12276023.5667607,1685564.43900328,12276088.1688728,OK,0.0028227701095020603,2,1,75,2025-05-01T18:45:00+10:00
line,line.ln5651975-1,l2991914,m1047503,1669053.9790839,12281719.001518,1668955.67098781,12281655.632302,OK,0.1164775898832973,2,1,75,2025-05-01T18:45:00+10:00
line,line.ln5865236-1,m1047751,l2973154,1670806.28884553,12288000.0004359,1670826.33057355,12287978.0008198,OK,0.0036881255846879816,2,1,75,2025-05-01T18:45:00+10:00
line,line.ln5593232-1,l3010565,l2897775,1676182.30933054,12269540.1803867,1676578.54817891,12269464.5805146,OK,0.0020895218259764856,2,3,75,2025-05-01T18:45:00+10:00
line,line.ln5740283-1,m1125955,m1125957,1683291.87170516,12277627.6504742,1683309.14863318,12277641.9004582,OK,0.0025265358872449658,2,3,75,2025-05-01T18:45:00+10:00
line,line.ln6106559-1,m1069640,l2804269,1674008.16891252,12289009.6111888,1674078.03028858,12289268.351413,OK,0.0056868386612378774,2,2,75,2025-05-01T18:45:00+10:00
line,line.ln5714056-3,m1026702,n1139551,1666852.66989785,12278175.7812907,1666463.86528949,12278010.8066986,OK,0.08843162038034981,2,1,75,2025-05-01T18:45:00+10:00
line,line.ln5985355-3,n1136355,l2783231,1675345.01729776,12285527.1469296,1675138.93115357,12285645.6196337,OK,0.08030696185430757,2,2,75,2025-05-01T18:45:00+10:00
line,line.ln5531956-1,l2748143,l3251854,1675902.33953828,12286396.3713784,1675902.33953828,12286616.3716346,OK,0.0018535917659506975,2,1,75,2025-05-01T18:45:00+10:00
line,line.ln5650048-1,m1069610,m1069600,1674805.91406526,12287986.7048199,1674960.5257774,12287859.8394117,OK,0.0020358376021988173,2,2,75,2025-05-01T18:45:00+10:00
line,line.ln6290203-1,m1069424,l2935549,1673946.92961646,12276991.3000096,1673877.42868839,12276709.0610333,OK,0.08697926089645648,2,2,75,2025-05-01T18:45:00+10:00
line,line.ln6134414-1,p895089,l3235242,1676362.37358671,12283389.8172636,1676340.52961869,12283192.5088474,OK,0.004174987079009616,2,3,75,2025-05-01T18:45:00+10:00
line,line.ln6259998-2,m1026795,n1140522,1668183.45210709,12280738.2839491,1668142.77063505,12280738.5665731,OK,0.0025350635527879926,2,3,75,2025-05-01T18:45:00+10:00
line,line.ln6078767-1,l3030199,m1125934,1683921.11151375,12273546.1707904,1683853.92072969,12273477.4481023,OK,0.2415333755000329,2,3,75,2025-05-01T18:45:00+10:00
line,line.ln6017300-1,m1069189,l2860487,1675446.08200185,12268159.0501454,1675290.42990571,12268398.2401616,OK,0.0012558449310130664,2,3,75,2025-05-01T18:45:00+10:00
line,line.ln8979257-2,221-312488,m1089183,1678663.47771685,12279597.547948,1678662.94933285,12279553.204652,OK,0.0044572118768107585,2,3,75,2025-05-01T18:45:00+10:00
line,line.ln81048109-1,m1108464,l3102286,1680280.35733436,12280152.5477566,1680128.16635822,12279984.8902844,OK,0.011353015936860507,2,2,75,2025-05-01T18:45:00+10:00
line,line.293471,f739845,293471,1669719.14900452,12262514.7088921,1669719.14900452,12262515.7088921,OK,0.002095727818821606,2,3,75,2025-05-01T18:45:00+10:00
line,line.ln5534965-2,p827499,n1139254,1673775.8274083,12276424.5160091,1673761.93377629,12276440.1545371,OK,0.001849055959393167,2,1,75,2025-05-01T18:45:00+10:00
line,line.ln5655683-1,m1026657,m1026656,1666714.59373772,12276478.3005851,1666725.33754573,12276461.7650331,OK,0.0293621903506772,2,1,75,2025-05-01T18:45:00+10:00
line,line.ln5686247-1,m1108299,m1108300,1681333.09077534,12270993.318308,1681355.32386336,12270995.038628,OK,0.002871417700884047,2,2,75,2025-05-01T18:45:00+10:00
line,line.ln6048642-1,l3198355,l2805037,1681976.74031194,12271041.8886761,1682339.37148027,12271067.9801961,OK,0.000004855471418308629,1,2,51,2025-05-01T12:45:00+10:00
line,line.ln5928544-3,n1137994,m1069484,1672916.4456475,12279872.8646843,1673050.76167962,12280000.0004284,OK,0.021193298033497805,2,3,75,2025-05-01T18:45:00+10:00
line,line.ln6108172-1,l2860504,l2860493,1664980.35143211,12278329.3198509,1664964.77024809,12279012.3483315,OK,0.00373514861978165,2,1,75,2025-05-01T18:45:00+10:00
line,line.ln5532754-1,m1026783,m1026780,1668025.07617094,12280424.2026688,1667999.91034692,12280371.0816448,OK,0.10965721825064526,2,1,75,2025-05-01T18:45:00+10:00
line,line.ln5591834-1,p895111,l2895496,1684762.95420253,12276444.5249691,1684533.77071432,12276445.0943131,OK,0.0054832194588861375,2,3,75,2025-05-01T18:45:00+10:00
line,line.ln6347196-2,n1140819,m1026700,1665943.435721,12278103.5442346,1665859.20557693,12278130.2255787,OK,0.054238603127146984,2,1,75,2025-05-01T18:45:00+10:00
line,line.ln5532741-1,m1089173,l2935551,1677019.24091532,12277474.7304101,1677018.75349132,12277674.3940262,OK,0.013119879190238765,2,3,75,2025-05-01T18:45:00+10:00
line,line.ln5804803-1,m1026344,m1026364,1667363.35098633,12260734.9313545,1666951.89959394,12261536.7602192,OK,0.0011213392536168728,2,1,75,2025-05-01T18:45:00+10:00
line,line.ln6169248-1,l2879070,l3216345,1668406.4055793,12283697.1892959,1668136.74132305,12283811.72984,OK,0.18855811686641896,2,1,75,2025-05-01T18:45:00+10:00
line,line.ln5532786-2,m1069428,n1139257,1674009.03316852,12277235.0242978,1673959.45518447,12277256.5692579,OK,0.0032860319765157992,2,2,75,2025-05-01T18:45:00+10:00
line,line.ln5744339-1,l2991919,m1026361,1667350.28884232,12261158.4700429,1667347.24141831,12261438.2800911,OK,0.023740141081575943,2,1,75,2025-05-01T18:45:00+10:00
line,line.ln5531255-3,n1147857,m1009742,1662873.97114215,12281228.5137096,1662801.22208608,12281064.2682054,OK,0.02444417068459967,2,1,75,2025-05-01T18:45:00+10:00
line,line.ln5926308-2,q14412,m1047325,1671194.02849389,12264023.3119015,1671194.02849389,12264021.3119015,OK,0.06999705558688275,2,2,75,2025-05-01T18:45:00+10:00
line,line.ln5683856-3,n1139263,l3048227,1673655.35995219,12278801.3797553,1673739.92187227,12278812.2587313,OK,0.0018484288872415273,2,1,75,2025-05-01T18:45:00+10:00
line,line.ln6171502-1,p827506,m1069469,1673605.50344014,12278794.9654193,1673628.44513616,12278797.9145393,OK,0.0029523859944973886,2,1,75,2025-05-01T18:45:00+10:00
line,line.ln5593228-1,m1027019,l2785522,1663359.5519426,12292569.7110321,1663557.67955878,12292571.0299441,OK,0.002058311519343881,2,2,75,2025-05-01T18:45:00+10:00
line,line.ln6380800-1,l3216338,l2973146,1659686.97184318,12283815.981488,1659688.01222718,12283623.7889758,OK,0.0020669965688939816,2,2,75,2025-05-01T18:45:00+10:00
line,line.ln6199525-2,m3037452,l2973164,1667364.19885833,12262666.5394203,1667597.83060255,12262647.3087003,OK,0.0007466484099604655,2,1,75,2025-05-01T18:45:00+10:00
line,line.ln5772710-2,l3120376,m1026925,1667170.01978615,12285936.3004659,1667245.43124222,12286219.5183862,OK,0.014755001634033925,2,1,75,2025-05-01T18:45:00+10:00
line,line.ln8961760-1,m1047612,p828360,1669965.62580475,12283881.77144,1669953.66958074,12283868.823984,OK,0.013346741419064842,2,3,75,2025-05-01T18:45:00+10:00
