kind,element,terminal,bus_connection,local_node,current_rating_A,PDE_flat_conductor_index
line,Line.hvmv_sub_connector,1,_hvmv_sub_lsb,1,400.0,0
line,Line.hvmv_sub_connector,1,_hvmv_sub_lsb,2,400.0,1
line,Line.hvmv_sub_connector,1,_hvmv_sub_lsb,3,400.0,2
line,Line.hvmv_sub_connector,2,hvmv_sub_48332,1,400.0,3
line,Line.hvmv_sub_connector,2,hvmv_sub_48332,2,400.0,4
line,Line.hvmv_sub_connector,2,hvmv_sub_48332,3,400.0,5
line,Line.ln5502549-1,1,m1009763.2,2,400.0,6
line,Line.ln5502549-1,2,l2673322.2,2,400.0,7
line,Line.ln6259988-1,1,m1069148.3,3,400.0,8
line,Line.ln6259988-1,2,l2673309.3,3,400.0,9
line,Line.ln6077796-1,1,m1069588.2,2,400.0,10
line,Line.ln6077796-1,2,l2804270.2,2,400.0,11
line,Line.ln5835135-2,1,m3036164.2,2,400.0,12
line,Line.ln5835135-2,2,l2935553.2,2,400.0,13
line,Line.ln5896826-1,1,m1209749.2,2,400.0,14
line,Line.ln5896826-1,2,l2748840.2,2,400.0,15
line,Line.ln5714038-1,1,m1108264.2,2,400.0,16
line,Line.ln5714038-1,2,m1108263.2,2,400.0,17
line,Line.ln5653457-1,1,l3085398,1,400.0,18
line,Line.ln5653457-1,1,l3085398,2,400.0,19
line,Line.ln5653457-1,1,l3085398,3,400.0,20
line,Line.ln5653457-1,2,m1026891,1,400.0,21
line,Line.ln5653457-1,2,m1026891,2,400.0,22
line,Line.ln5653457-1,2,m1026891,3,400.0,23
line,Line.ln5835173-1,1,l3216367,1,400.0,24
line,Line.ln5835173-1,1,l3216367,2,400.0,25
line,Line.ln5835173-1,1,l3216367,3,400.0,26
line,Line.ln5835173-1,2,m1069468,1,400.0,27
line,Line.ln5835173-1,2,m1069468,2,400.0,28
line,Line.ln5835173-1,2,m1069468,3,400.0,29
line,Line.ln6321415-1,1,m1142800.2,2,400.0,30
line,Line.ln6321415-1,2,m1142799.2,2,400.0,31
line,Line.ln5565092-1,1,m1047592.3,3,400.0,32
line,Line.ln5565092-1,2,p827512.3,3,400.0,33
line,Line.ln6073648-1,1,m1047339.1,1,400.0,34
line,Line.ln6073648-1,2,p895104.1,1,400.0,35
line,Line.ln5774457-1,1,m1026915,1,400.0,36
line,Line.ln5774457-1,1,m1026915,2,400.0,37
line,Line.ln5774457-1,1,m1026915,3,400.0,38
line,Line.ln5774457-1,2,m1026920,1,400.0,39
line,Line.ln5774457-1,2,m1026920,2,400.0,40
line,Line.ln5774457-1,2,m1026920,3,400.0,41
line,Line.ln5534966-3,1,n1138596.1,1,400.0,42
line,Line.ln5534966-3,2,l3254207.1,1,400.0,43
line,Line.ln5859996-1,1,m1069464.2,2,400.0,44
line,Line.ln5859996-1,2,p873787.2,2,400.0,45
line,Line.ln6138610-2,1,n1144665,1,400.0,46
line,Line.ln6138610-2,1,n1144665,2,400.0,47
line,Line.ln6138610-2,1,n1144665,3,400.0,48
line,Line.ln6138610-2,2,m1047515,1,400.0,49
line,Line.ln6138610-2,2,m1047515,2,400.0,50
line,Line.ln6138610-2,2,m1047515,3,400.0,51
line,Line.ln6258435-3,1,n1137002.1,1,400.0,52
line,Line.ln6258435-3,2,m1047707.1,1,400.0,53
line,Line.ln5804790-1,1,l2729406.3,3,400.0,54
line,Line.ln5804790-1,2,l2897768.3,3,400.0,55
line,Line.ln6900591-14,1,l3649301.1,1,400.0,56
line,Line.ln6900591-14,2,l3649302.1,1,400.0,57
line,Line.ln6409873-1,1,l2970842.2,2,400.0,58
line,Line.ln6409873-1,2,m1089113.2,2,400.0,59
line,Line.ln6014135-1,1,m1047312.1,1,400.0,60
line,Line.ln6014135-1,2,p893163.1,1,400.0,61
line,Line.ln6077784-1,1,l2822871,1,400.0,62
line,Line.ln6077784-1,1,l2822871,2,400.0,63
line,Line.ln6077784-1,1,l2822871,3,400.0,64
line,Line.ln6077784-1,2,m1026872,1,400.0,65
line,Line.ln6077784-1,2,m1026872,2,400.0,66
line,Line.ln6077784-1,2,m1026872,3,400.0,67
